corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
dd,6,451,494,_Stage,_Stage,Kang-Schu,NE,kang-schu,7279,,(1)
dd,6,451,494,_Stage,_Stage,.,$.,--,7279,,
dd,6,451,494,_Stage,_Stage,Jao,NE,jao,7279,,(0)
dd,6,451,494,_Stage,_Stage,.,$.,--,7279,,
dd,6,451,494,_Stage,_Stage,(,$(,--,7279,,
dd,6,451,494,_Stage,_Stage,Von,APPR,von,7279,,
dd,6,451,494,_Stage,_Stage,verschiedenen,ADJA,verschieden,7279,,
dd,6,451,494,_Stage,_Stage,Seiten,NN,seite,7279,,
dd,6,451,494,_Stage,_Stage,.,$.,--,7279,,
dd,6,451,494,_Stage,_Stage,),$(,--,7279,,
dd,6,3225,3241,Jao,jao,(,$(,--,7279,,
dd,6,3225,3241,Jao,jao,geheimnißvoll,ADJD,geheimnißvoll,7279,,
dd,6,3225,3241,Jao,jao,),$(,--,7279,,
dd,6,3225,3241,Jao,jao,.,$.,--,7279,,
dd,6,4289,4316,Jao,jao,(,$(,--,7279,,
dd,6,4289,4316,Jao,jao,man,PIS,man,7279,,
dd,6,4289,4316,Jao,jao,hört,VVFIN,hören,7279,,
dd,6,4289,4316,Jao,jao,von,APPR,von,7279,,
dd,6,4289,4316,Jao,jao,außen,ADJA,außen,7279,,
dd,6,4289,4316,Jao,jao,Jubel,NN,jubel,7279,,
dd,6,4289,4316,Jao,jao,.,$.,--,7279,,
dd,6,4289,4316,Jao,jao,),$(,--,7279,,
dd,6,4445,4513,_Stage,_Stage,Vorige,NN,vorige,7279,,
dd,6,4445,4513,_Stage,_Stage,.,$.,--,7279,,
dd,6,4445,4513,_Stage,_Stage,Hoang-Puff,NE,hoang-puff,7279,,(2)
dd,6,4445,4513,_Stage,_Stage,(,$(,--,7279,,
dd,6,4445,4513,_Stage,_Stage,von,APPR,von,7279,,
dd,6,4445,4513,_Stage,_Stage,einem,ART,ein,7279,,
dd,6,4445,4513,_Stage,_Stage,Haufen,NN,haufen,7279,,
dd,6,4445,4513,_Stage,_Stage,Schwarzer,NE,schwarzer,7279,,
dd,6,4445,4513,_Stage,_Stage,und,KON,und,7279,,
dd,6,4445,4513,_Stage,_Stage,Sclaven,NE,sclave,7279,,
dd,6,4445,4513,_Stage,_Stage,umgeben,VVPP,umgeben,7279,,
dd,6,4445,4513,_Stage,_Stage,),$(,--,7279,,
dd,6,4445,4513,_Stage,_Stage,.,$.,--,7279,,
dd,6,4566,4578,Hoang-Puff,hoang-puff,(,$(,--,7279,,
dd,6,4566,4578,Hoang-Puff,hoang-puff,schreyend,ADJD,schreyend,7279,,
dd,6,4566,4578,Hoang-Puff,hoang-puff,),$(,--,7279,,
dd,6,4566,4578,Hoang-Puff,hoang-puff,.,$.,--,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,(,$(,--,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,Alle,PIS,alle,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,machen,VVFIN,machen,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,zugleich,ADV,zugleich,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,eine,ART,ein,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,stumme,ADJA,stumm,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,Verbeugung,NN,verbeugung,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,.,$.,--,7279,,
dd,6,5006,5052,Hoang-Puff,hoang-puff,),$(,--,7279,,
dd,6,5090,5114,_Stage,_Stage,(,$(,--,7279,,
dd,6,5090,5114,_Stage,_Stage,Alle,PIAT,aller,7279,,
dd,6,5090,5114,_Stage,_Stage,Sclaven,NN,sclave,7279,,
dd,6,5090,5114,_Stage,_Stage,gehen,VVFIN,gehen,7279,,
dd,6,5090,5114,_Stage,_Stage,ab,PTKVZ,ab,7279,,
dd,6,5090,5114,_Stage,_Stage,),$(,--,7279,,
dd,6,5090,5114,_Stage,_Stage,.,$.,--,7279,,
