corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
drst,001jk578.0,429,441,_Stage,_Stage,(,TRUNC,--,9773,,
drst,001jk578.0,429,441,_Stage,_Stage,Ein,ART,ein,9773,,
drst,001jk578.0,429,441,_Stage,_Stage,Zimmer,NN,zimmer,9773,,
drst,001jk578.0,429,441,_Stage,_Stage,),TRUNC,--,9773,,
drst,001jk578.0,450,457,Duport,duport,allein,ADV,allein,9773,,
drst,001jk578.0,450,457,Duport,duport,.,$.,--,9773,,
drst,001jk578.0,458,517,Duport,duport,(,TRUNC,--,9773,,
drst,001jk578.0,458,517,Duport,duport,Er,PPER,er,9773,,
drst,001jk578.0,458,517,Duport,duport,sitzt,VVFIN,sitzen,9773,,
drst,001jk578.0,458,517,Duport,duport,hinter,APPR,hinter,9773,,
drst,001jk578.0,458,517,Duport,duport,einem,ART,ein,9773,,
drst,001jk578.0,458,517,Duport,duport,Tische,NN,tisch,9773,,
drst,001jk578.0,458,517,Duport,duport,",","$,",--,9773,,
drst,001jk578.0,458,517,Duport,duport,auf,APPR,auf,9773,,
drst,001jk578.0,458,517,Duport,duport,welchem,PWAT,welcher,9773,,
drst,001jk578.0,458,517,Duport,duport,Papiere,NN,papier,9773,,
drst,001jk578.0,458,517,Duport,duport,liegen,VVFIN,liegen,9773,,
drst,001jk578.0,458,517,Duport,duport,.,$.,--,9773,,
drst,001jk578.0,458,517,Duport,duport,),TRUNC,--,9773,,
drst,001jk578.0,784,830,Duport,duport,(,TRUNC,--,9773,,
drst,001jk578.0,784,830,Duport,duport,die,ART,der,9773,,
drst,001jk578.0,784,830,Duport,duport,vor,APPR,vor,9773,,
drst,001jk578.0,784,830,Duport,duport,ihm,PPER,ihm,9773,,
drst,001jk578.0,784,830,Duport,duport,liegenden,ADJA,liegend,9773,,
drst,001jk578.0,784,830,Duport,duport,Papiere,NN,papier,9773,,
drst,001jk578.0,784,830,Duport,duport,durchblätternd,ADJD,durchblätternd,9773,,
drst,001jk578.0,784,830,Duport,duport,),TRUNC,--,9773,,
