corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
drst,001nnz584.0,271,329,_Stage,_Stage,Platz,NN,platz,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,vor,APPR,vor,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,der,ART,der,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,Meyerei,NN,meyerei,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,",","$,",--,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,im,APPRART,in,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,Hintergrunde,NN,hintergrund,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,Landschaft,NN,landschaft,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,.,$.,--,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,Gebirg,NE,gebirg,6304,,
drst,001nnz584.0,271,329,_Stage,_Stage,.,$.,--,6304,,
drst,001nnz584.0,1129,1151,_Stage,_Stage,Schulmeister,NN,schulmeister,6304,,(0)
drst,001nnz584.0,1129,1151,_Stage,_Stage,.,$.,--,6304,,
drst,001nnz584.0,1129,1151,_Stage,_Stage,Pachter,NN,pachter,6304,,(1)
drst,001nnz584.0,1129,1151,_Stage,_Stage,.,$.,--,6304,,
drst,001nnz584.0,2370,2381,Schulmeister,schulmeister,(,TRUNC,--,6304,,
drst,001nnz584.0,2370,2381,Schulmeister,schulmeister,bei,APPR,bei,6304,,
drst,001nnz584.0,2370,2381,Schulmeister,schulmeister,Seite,NN,seite,6304,,
drst,001nnz584.0,2370,2381,Schulmeister,schulmeister,),TRUNC,--,6304,,
drst,001nnz584.0,2478,2484,Schulmeister,schulmeister,(,TRUNC,--,6304,,
drst,001nnz584.0,2478,2484,Schulmeister,schulmeister,laut,APPR,laut,6304,,
drst,001nnz584.0,2478,2484,Schulmeister,schulmeister,),TRUNC,--,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Landmädchen,NN,landmädchen,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,",","$,",--,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Schnitter,NN,schnitter,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,",","$,",--,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Schnitterinnen,NN,schnitterin,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,",","$,",--,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Röschen,NN,röschen,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,",","$,",--,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Lieschen,VVINF,lieschen,6304,,(2)
drst,001nnz584.0,4933,5014,_Stage,_Stage,",","$,",--,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Hans,NE,hans,6304,,(4)
drst,001nnz584.0,4933,5014,_Stage,_Stage,kommen,VVFIN,kommen,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,vom,APPRART,von,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,Felde,NN,feld,6304,,
drst,001nnz584.0,4933,5014,_Stage,_Stage,.,$.,--,6304,,
drst,001nnz584.0,5798,5805,,,(,TRUNC,--,6304,,
drst,001nnz584.0,5798,5805,,,Tanz,NN,tanz,6304,,
drst,001nnz584.0,5798,5805,,,.,$.,--,6304,,
drst,001nnz584.0,5798,5805,,,),TRUNC,--,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,(,TRUNC,--,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,Ab,APPR,ab,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,mit,APPR,mit,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,einem,ART,ein,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,Schnitter,NN,schnitter,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,zum,APPRART,zu,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,Tanz,NN,tanz,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,.,$.,--,6304,,
drst,001nnz584.0,6540,6574,Lieschen,lieschen,),TRUNC,--,6304,,
drst,001nnz584.0,6577,6599,_Stage,_Stage,Rose,NE,rose,6304,,(3)
drst,001nnz584.0,6577,6599,_Stage,_Stage,und,KON,und,6304,,
drst,001nnz584.0,6577,6599,_Stage,_Stage,Hans,NE,hans,6304,,(4)
drst,001nnz584.0,6577,6599,_Stage,_Stage,tanzend,ADJD,tanzend,6304,,
drst,001nnz584.0,6577,6599,_Stage,_Stage,.,$.,--,6304,,
drst,001nnz584.0,6841,6853,Rose,rose,(,TRUNC,--,6304,,
drst,001nnz584.0,6841,6853,Rose,rose,spöttisch,ADJD,spöttisch,6304,,
drst,001nnz584.0,6841,6853,Rose,rose,.,$.,--,6304,,
drst,001nnz584.0,6841,6853,Rose,rose,),TRUNC,--,6304,,
drst,001nnz584.0,7149,7160,Hans,hans,(,TRUNC,--,6304,,
drst,001nnz584.0,7149,7160,Hans,hans,bei,APPR,bei,6304,,
drst,001nnz584.0,7149,7160,Hans,hans,Seite,NN,seite,6304,,
drst,001nnz584.0,7149,7160,Hans,hans,),TRUNC,--,6304,,
drst,001nnz584.0,7794,7800,Hans,hans,(,TRUNC,--,6304,,
drst,001nnz584.0,7794,7800,Hans,hans,wild,ADJD,wild,6304,,
drst,001nnz584.0,7794,7800,Hans,hans,),TRUNC,--,6304,,
drst,001nnz584.0,7920,7932,Rose,rose,(,TRUNC,--,6304,,
drst,001nnz584.0,7920,7932,Rose,rose,schmollend,ADJD,schmollend,6304,,
drst,001nnz584.0,7920,7932,Rose,rose,),TRUNC,--,6304,,
drst,001nnz584.0,7951,7979,Hans,hans,(,TRUNC,--,6304,,
drst,001nnz584.0,7951,7979,Hans,hans,indem,KOUS,indem,6304,,
drst,001nnz584.0,7951,7979,Hans,hans,er,PPER,er,6304,,
drst,001nnz584.0,7951,7979,Hans,hans,sich,PRF,sich,6304,,
drst,001nnz584.0,7951,7979,Hans,hans,wegschleicht,ADJD,wegschleicht,6304,,
