corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,11g5g.0,918,1056,_stage,923,929,Genien,genien
qd,11g5g.0,908,3085,die_muse,1082,1085,ich,die_muse
qd,11g5g.0,908,3085,die_muse,1101,1104,mir,die_muse
qd,11g5g.0,908,3085,die_muse,1219,1222,mir,die_muse
qd,11g5g.0,908,3085,die_muse,1316,1319,ich,die_muse
qd,11g5g.0,908,3085,die_muse,1332,1335,ich,die_muse
qd,11g5g.0,908,3085,die_muse,1692,1695,mir,die_muse
qd,11g5g.0,908,3085,die_muse,1711,1715,mich,die_muse
qd,11g5g.0,908,3085,die_muse,1783,1786,mir,die_muse
qd,11g5g.0,908,3085,die_muse,1802,1806,mich,die_muse
qd,11g5g.0,908,3085,die_muse,1873,1877,mich,die_muse
qd,11g5g.0,908,3085,die_muse,2505,2508,mir,die_muse
qd,11g5g.0,2841,3085,_stage,2841,2849,Die Muse,die_muse
qd,11g5g.0,2841,3085,_stage,2845,2849,Muse,die_muse
qd,11g5g.0,2841,3085,_stage,2987,2997,Epimenides,epimenides
qd,11g5g.0,3091,3442,die_muse,3115,3118,ich,die_muse
qd,11g5g.0,3091,3442,die_muse,3127,3133,meiner,die_muse
qd,11g5g.0,3492,4415,epimenides,3714,3717,ich,epimenides
qd,11g5g.0,3492,4415,epimenides,3840,3843,ich,epimenides
qd,11g5g.0,3492,4415,epimenides,3925,3929,mich,epimenides
qd,11g5g.0,3492,4415,epimenides,4095,4098,ich,epimenides
qd,11g5g.0,3492,4415,epimenides,4172,4175,ich,epimenides
qd,11g5g.0,3492,4415,epimenides,4176,4182,meinen,epimenides
qd,11g5g.0,4705,5902,epimenides,4765,4768,Ich,epimenides
qd,11g5g.0,4705,5902,epimenides,4875,4878,ich,epimenides
qd,11g5g.0,4705,5902,epimenides,4926,4931,meine,epimenides
qd,11g5g.0,4705,5902,epimenides,4949,4953,mich,epimenides
qd,11g5g.0,4705,5902,epimenides,5025,5028,mir,epimenides
qd,11g5g.0,4705,5902,epimenides,5145,5151,meiner,epimenides
qd,11g5g.0,4705,5902,epimenides,5242,5246,mein,epimenides
qd,11g5g.0,4705,5902,epimenides,5281,5287,meiner,epimenides
qd,11g5g.0,4705,5902,epimenides,5342,5346,mich,epimenides
qd,11g5g.0,4705,5902,epimenides,5377,5380,ich,epimenides
qd,11g5g.0,4705,5902,epimenides,5397,5400,ich,epimenides
qd,11g5g.0,4705,5902,epimenides,5580,5583,ich,epimenides
qd,11g5g.0,4705,5902,epimenides,5602,5605,mir,epimenides
qd,11g5g.0,4705,5902,epimenides,5628,5631,mir,epimenides
qd,11g5g.0,4705,5902,epimenides,5738,5741,ich,epimenides
qd,11g5g.0,4705,5902,epimenides,5798,5801,mir,epimenides
qd,11g5g.0,4705,5902,epimenides,5819,5822,ich,epimenides
qd,11g5g.0,4705,5902,epimenides,5853,5856,mir,epimenides
qd,11g5g.0,4705,5902,epimenides,5866,5869,ich,epimenides
qd,11g5g.0,6083,6508,epimenides,6440,6444,mich,epimenides
qd,11g5g.0,6083,6508,epimenides,6469,6472,Ich,epimenides
qd,11g5g.0,6083,6508,epimenides,6484,6488,mich,epimenides
qd,11g5g.0,6691,7089,_stage,6691,6701,Epimenides,epimenides
qd,11g5g.0,7656,9368,dämon_des_kriegs,7718,7721,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7745,7748,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7793,7797,mich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7812,7816,mich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7824,7828,Mich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7833,7836,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7860,7864,Mein,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7911,7915,mich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7945,7948,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7949,7952,mir,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7986,7989,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,7990,7994,mich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8197,8200,Ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8277,8282,meine,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8335,8338,Ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8442,8445,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8535,8538,ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8581,8586,meine,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8637,8640,Ich,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,8842,8848,meiner,dämon_des_kriegs
qd,11g5g.0,7656,9368,dämon_des_kriegs,9192,9195,mir,dämon_des_kriegs
qd,11g5g.0,10817,10912,pfaffe,10834,10837,ich,pfaffe
qd,11g5g.0,11104,11258,diplomat,11127,11130,ich,diplomat
qd,11g5g.0,11104,11258,diplomat,11164,11167,ich,diplomat
qd,11g5g.0,11264,11436,dame,11413,11416,ich,dame
qd,11g5g.0,11612,12099,dämon_des_kriegs,11646,11649,ich,dämon_des_kriegs
qd,11g5g.0,11612,12099,dämon_des_kriegs,11684,11689,meine,dämon_des_kriegs
qd,11g5g.0,11612,12099,dämon_des_kriegs,11742,11745,ich,dämon_des_kriegs
qd,11g5g.0,11612,12099,dämon_des_kriegs,11802,11805,Ich,dämon_des_kriegs
qd,11g5g.0,11612,12099,dämon_des_kriegs,12005,12008,Ich,dämon_des_kriegs
qd,11g5g.0,11612,12099,dämon_des_kriegs,12067,12072,meine,dämon_des_kriegs
qd,11g5g.0,12249,12399,diplomat,12339,12342,ich,diplomat
qd,11g5g.0,12935,13429,lustige_person,13008,13012,mich,lustige_person
qd,11g5g.0,12935,13429,lustige_person,13141,13145,mich,lustige_person
qd,11g5g.0,12935,13429,lustige_person,13211,13214,ich,lustige_person
qd,11g5g.0,12935,13429,lustige_person,13265,13268,Ich,lustige_person
qd,11g5g.0,12935,13429,lustige_person,13304,13307,ich,lustige_person
qd,11g5g.0,12935,13429,lustige_person,13346,13349,ich,lustige_person
qd,11g5g.0,12935,13429,lustige_person,13350,13354,mich,lustige_person
qd,11g5g.0,13434,13598,diplomat,13549,13552,mir,diplomat
qd,11g5g.0,14080,14259,_stage,14162,14169,Hofmann,hofmann
qd,11g5g.0,14309,14345,_stage,14319,14326,Hofmann,hofmann
qd,11g5g.0,15306,15374,dämon_der_list,15336,15340,Mein,dämon_der_list
qd,11g5g.0,15306,15374,dämon_der_list,15348,15352,mein,dämon_der_list
qd,11g5g.0,15379,15445,dämon_der_unterdrückung,15411,15414,ich,dämon_der_unterdrückung
qd,11g5g.0,15505,15713,dämon_der_unterdrückung,15531,15534,Ich,dämon_der_unterdrückung
qd,11g5g.0,15505,15713,dämon_der_unterdrückung,15575,15579,mein,dämon_der_unterdrückung
qd,11g5g.0,15505,15713,dämon_der_unterdrückung,15612,15615,ich,dämon_der_unterdrückung
qd,11g5g.0,15505,15713,dämon_der_unterdrückung,15632,15636,mich,dämon_der_unterdrückung
qd,11g5g.0,15505,15713,dämon_der_unterdrückung,15709,15712,mir,dämon_der_unterdrückung
qd,11g5g.0,15719,16031,dämon_der_list,15756,15762,meinen,dämon_der_list
qd,11g5g.0,15719,16031,dämon_der_list,15789,15793,mein,dämon_der_list
qd,11g5g.0,16037,16489,dämon_der_unterdrückung,16083,16086,mir,dämon_der_unterdrückung
qd,11g5g.0,16037,16489,dämon_der_unterdrückung,16329,16332,ich,dämon_der_unterdrückung
qd,11g5g.0,16037,16489,dämon_der_unterdrückung,16333,16339,meinen,dämon_der_unterdrückung
qd,11g5g.0,16037,16489,dämon_der_unterdrückung,16403,16406,ich,dämon_der_unterdrückung
qd,11g5g.0,16037,16489,dämon_der_unterdrückung,16417,16420,Ich,dämon_der_unterdrückung
qd,11g5g.0,16541,17267,dämon_der_list,16793,16796,Ich,dämon_der_list
qd,11g5g.0,16541,17267,dämon_der_list,16895,16898,Ich,dämon_der_list
qd,11g5g.0,16541,17267,dämon_der_list,16992,16995,ich,dämon_der_list
qd,11g5g.0,16541,17267,dämon_der_list,17031,17034,ich,dämon_der_list
qd,11g5g.0,16541,17267,dämon_der_list,17195,17201,meinem,dämon_der_list
qd,11g5g.0,16541,17267,dämon_der_list,17241,17244,ich,dämon_der_list
qd,11g5g.0,17319,18521,dämon_der_unterdrückung,18023,18026,mir,dämon_der_unterdrückung
qd,11g5g.0,17319,18521,dämon_der_unterdrückung,18225,18228,mir,dämon_der_unterdrückung
qd,11g5g.0,17319,18521,dämon_der_unterdrückung,18303,18307,mich,dämon_der_unterdrückung
qd,11g5g.0,17319,18521,dämon_der_unterdrückung,18318,18322,Mich,dämon_der_unterdrückung
qd,11g5g.0,17319,18521,dämon_der_unterdrückung,18371,18374,mir,dämon_der_unterdrückung
qd,11g5g.0,18577,19129,liebe,18616,18619,ich,liebe
qd,11g5g.0,18577,19129,liebe,18688,18693,Liebe,liebe
qd,11g5g.0,18577,19129,liebe,18738,18761,DÄMON DER UNTERDRÜCKUNG,dämon_der_unterdrückung
qd,11g5g.0,18577,19129,liebe,18778,18781,ich,liebe
qd,11g5g.0,18577,19129,liebe,18825,18828,Ich,liebe
qd,11g5g.0,19135,19305,liebe,19191,19194,ich,liebe
qd,11g5g.0,19135,19305,liebe,19257,19262,Liebe,liebe
qd,11g5g.0,19403,19469,liebe,19420,19425,Liebe,liebe
qd,11g5g.0,19475,19591,dämon_der_unterdrückung,19555,19558,Ich,dämon_der_unterdrückung
qd,11g5g.0,19597,19677,liebe,19605,19608,Ich,liebe
qd,11g5g.0,19597,19677,liebe,19656,19659,ich,liebe
qd,11g5g.0,19683,19813,dämon_der_unterdrückung,19771,19774,mir,dämon_der_unterdrückung
qd,11g5g.0,19971,20186,_stage,19971,19977,Glaube,glaube
qd,11g5g.0,19971,20186,_stage,20064,20069,Liebe,liebe
qd,11g5g.0,19971,20186,_stage,20130,20136,Glaube,glaube
qd,11g5g.0,20189,20476,glaube,20229,20233,mich,glaube
qd,11g5g.0,20189,20476,glaube,20239,20244,meine,glaube
qd,11g5g.0,20189,20476,glaube,20267,20270,Ich,glaube
qd,11g5g.0,20189,20476,glaube,20341,20344,ich,glaube
qd,11g5g.0,20189,20476,glaube,20357,20360,ich,glaube
qd,11g5g.0,20189,20476,glaube,20367,20371,Mich,glaube
qd,11g5g.0,20189,20476,glaube,20387,20390,ich,glaube
qd,11g5g.0,20482,20778,liebe,20518,20522,mich,liebe
qd,11g5g.0,20482,20778,liebe,20657,20660,mir,liebe
qd,11g5g.0,21264,21482,dämon_der_unterdrückung,21317,21320,ich,dämon_der_unterdrückung
qd,11g5g.0,21488,21588,glaube,21573,21576,ich,glaube
qd,11g5g.0,21488,21588,glaube,21577,21580,mir,glaube
qd,11g5g.0,21619,21629,_stage,21623,21628,Liebe,liebe
qd,11g5g.0,21733,21829,liebe,21777,21780,ich,liebe
qd,11g5g.0,21733,21829,liebe,21817,21822,meine,liebe
qd,11g5g.0,21835,21963,glaube,21894,21897,ich,glaube
qd,11g5g.0,21835,21963,glaube,21922,21927,Liebe,liebe
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22018,22021,mir,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22070,22074,mein,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22084,22089,meine,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22155,22158,mir,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22198,22202,mich,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22362,22368,meiner,dämon_der_unterdrückung
qd,11g5g.0,22394,22442,_stage,22398,22403,Liebe,liebe
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22452,22458,meiner,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22496,22499,ich,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22559,22563,mich,dämon_der_unterdrückung
qd,11g5g.0,21968,22857,dämon_der_unterdrückung,22761,22764,ich,dämon_der_unterdrückung
qd,11g5g.0,22862,23136,glaube,23088,23091,mir,glaube
qd,11g5g.0,22862,23136,glaube,23112,23115,ich,glaube
qd,11g5g.0,23142,23404,liebe,23399,23403,mich,liebe
qd,11g5g.0,23435,23461,_stage,23439,23444,Liebe,liebe
qd,11g5g.0,23855,23947,_stage,23913,23918,Liebe,liebe
qd,11g5g.0,23855,23947,_stage,23934,23940,Glaube,glaube
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,23986,23989,ich,dämon_der_unterdrückung
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24087,24092,Liebe,liebe
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24102,24108,Glaube,glaube
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24128,24136,Hoffnung,hoffnung
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24165,24169,Mein,dämon_der_unterdrückung
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24196,24199,Ich,dämon_der_unterdrückung
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24330,24333,ich,dämon_der_unterdrückung
qd,11g5g.0,23952,24387,dämon_der_unterdrückung,24383,24386,mir,dämon_der_unterdrückung
qd,11g5g.0,24443,24541,_stage,24443,24451,Hoffnung,hoffnung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,24594,24597,Ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,24646,24649,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,24679,24683,mich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,24718,24721,mir,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25057,25060,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25066,25069,Ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25116,25119,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25120,25125,meine,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25280,25283,mir,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25380,25384,mich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25547,25550,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25556,25559,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25560,25563,mir,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25632,25635,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,25903,25907,mich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26059,26063,mich,dämon_der_unterdrückung
qd,11g5g.0,26089,26311,_stage,26248,26256,Hoffnung,hoffnung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26392,26396,mich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26455,26458,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26623,26626,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26661,26664,ich,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26665,26668,mir,dämon_der_unterdrückung
qd,11g5g.0,24544,26793,dämon_der_unterdrückung,26698,26701,mir,dämon_der_unterdrückung
qd,11g5g.0,26716,26793,_stage,26741,26749,Hoffnung,hoffnung
qd,11g5g.0,26858,27193,liebe,26999,27002,ich,liebe
qd,11g5g.0,26858,27193,liebe,27034,27037,ich,liebe
qd,11g5g.0,26858,27193,liebe,27068,27071,ich,liebe
qd,11g5g.0,26858,27193,liebe,27096,27101,Liebe,liebe
qd,11g5g.0,26858,27193,liebe,27111,27114,ich,liebe
qd,11g5g.0,26858,27193,liebe,27142,27145,ich,liebe
qd,11g5g.0,26858,27193,liebe,27163,27168,Liebe,liebe
qd,11g5g.0,27199,27581,glaube,27300,27303,mir,glaube
qd,11g5g.0,27199,27581,glaube,27310,27314,mich,glaube
qd,11g5g.0,27199,27581,glaube,27345,27348,ich,glaube
qd,11g5g.0,27199,27581,glaube,27399,27403,Mich,glaube
qd,11g5g.0,27199,27581,glaube,27415,27420,meine,glaube
qd,11g5g.0,27199,27581,glaube,27441,27444,ich,glaube
qd,11g5g.0,27199,27581,glaube,27499,27502,ich,glaube
qd,11g5g.0,27199,27581,glaube,27519,27522,Mir,glaube
qd,11g5g.0,27199,27581,glaube,27532,27535,mir,glaube
qd,11g5g.0,27199,27581,glaube,27562,27567,meine,glaube
qd,11g5g.0,27587,27747,liebe,27683,27686,ich,liebe
qd,11g5g.0,27587,27747,liebe,27701,27705,mich,liebe
qd,11g5g.0,27587,27747,liebe,27723,27726,ich,liebe
qd,11g5g.0,27753,28088,glaube,27811,27814,ich,glaube
qd,11g5g.0,27753,28088,glaube,27815,27819,mich,glaube
qd,11g5g.0,28093,28225,liebe,28107,28110,ich,liebe
qd,11g5g.0,28093,28225,liebe,28158,28161,ich,liebe
qd,11g5g.0,28491,28845,hoffnung,28561,28564,Ich,hoffnung
qd,11g5g.0,28491,28845,hoffnung,28604,28609,meine,hoffnung
qd,11g5g.0,28491,28845,hoffnung,28671,28675,mein,hoffnung
qd,11g5g.0,28491,28845,hoffnung,28708,28711,mir,hoffnung
qd,11g5g.0,28491,28845,hoffnung,28751,28755,mich,hoffnung
qd,11g5g.0,28491,28845,hoffnung,28778,28781,ich,hoffnung
qd,11g5g.0,28491,28845,hoffnung,28829,28832,mir,hoffnung
qd,11g5g.0,28896,29229,genien,29111,29117,Genien,genien
qd,11g5g.0,29244,29270,_stage,29263,29269,Genien,genien
qd,11g5g.0,29234,29446,hoffnung,29397,29403,Glaube,glaube
qd,11g5g.0,29234,29446,hoffnung,29433,29438,Liebe,liebe
qd,11g5g.0,29459,29514,_stage,29497,29505,Hoffnung,hoffnung
qd,11g5g.0,29452,29578,liebe,29521,29524,ich,liebe
qd,11g5g.0,29452,29578,liebe,29554,29557,ich,liebe
qd,11g5g.0,29452,29578,liebe,29558,29562,mich,liebe
qd,11g5g.0,29584,29657,glaube,29606,29609,ich,glaube
qd,11g5g.0,29584,29657,glaube,29610,29614,mich,glaube
qd,11g5g.0,29584,29657,glaube,29639,29642,ich,glaube
qd,11g5g.0,29584,29657,glaube,29643,29647,mich,glaube
qd,11g5g.0,29663,31148,hoffnung,29691,29694,mir,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29751,29754,ich,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29767,29770,ich,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29814,29817,ich,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29818,29822,mich,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29831,29834,Ich,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29878,29881,ich,hoffnung
qd,11g5g.0,29663,31148,hoffnung,29908,29911,ich,hoffnung
