corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,11hb5.0,188,6227,proserpina,519,522,ich,proserpina
qd,11hb5.0,188,6227,proserpina,534,540,meines,proserpina
qd,11hb5.0,188,6227,proserpina,1254,1257,ich,proserpina
qd,11hb5.0,188,6227,proserpina,1279,1285,meinem,proserpina
qd,11hb5.0,188,6227,proserpina,1325,1328,mir,proserpina
qd,11hb5.0,188,6227,proserpina,1341,1344,ich,proserpina
qd,11hb5.0,188,6227,proserpina,1381,1385,mich,proserpina
qd,11hb5.0,188,6227,proserpina,1440,1444,mich,proserpina
qd,11hb5.0,188,6227,proserpina,1799,1802,ich,proserpina
qd,11hb5.0,188,6227,proserpina,1896,1899,ich,proserpina
qd,11hb5.0,188,6227,proserpina,1989,1992,ich,proserpina
qd,11hb5.0,188,6227,proserpina,2123,2126,ich,proserpina
qd,11hb5.0,188,6227,proserpina,2237,2241,mich,proserpina
qd,11hb5.0,188,6227,proserpina,2259,2262,ich,proserpina
qd,11hb5.0,188,6227,proserpina,2515,2519,mein,proserpina
qd,11hb5.0,188,6227,proserpina,2610,2613,mir,proserpina
qd,11hb5.0,188,6227,proserpina,2624,2628,mein,proserpina
qd,11hb5.0,188,6227,proserpina,3043,3046,mir,proserpina
qd,11hb5.0,188,6227,proserpina,3135,3141,meiner,proserpina
qd,11hb5.0,188,6227,proserpina,3211,3215,mich,proserpina
qd,11hb5.0,188,6227,proserpina,3425,3428,mir,proserpina
qd,11hb5.0,188,6227,proserpina,3434,3437,ich,proserpina
qd,11hb5.0,188,6227,proserpina,3547,3551,mich,proserpina
qd,11hb5.0,188,6227,proserpina,3626,3631,meine,proserpina
qd,11hb5.0,188,6227,proserpina,3832,3835,ich,proserpina
qd,11hb5.0,188,6227,proserpina,3877,3880,ich,proserpina
qd,11hb5.0,188,6227,proserpina,4481,4485,mich,proserpina
qd,11hb5.0,188,6227,proserpina,4547,4551,mich,proserpina
qd,11hb5.0,188,6227,proserpina,4605,4608,ich,proserpina
qd,11hb5.0,188,6227,proserpina,4779,4782,ich,proserpina
qd,11hb5.0,188,6227,proserpina,4824,4827,mir,proserpina
qd,11hb5.0,188,6227,proserpina,4923,4927,mich,proserpina
qd,11hb5.0,188,6227,proserpina,4960,4964,mich,proserpina
qd,11hb5.0,188,6227,proserpina,5036,5039,ich,proserpina
qd,11hb5.0,188,6227,proserpina,5064,5068,mich,proserpina
qd,11hb5.0,188,6227,proserpina,5265,5268,ich,proserpina
qd,11hb5.0,188,6227,proserpina,5338,5341,ich,proserpina
qd,11hb5.0,188,6227,proserpina,5349,5353,mich,proserpina
qd,11hb5.0,188,6227,proserpina,5404,5407,mir,proserpina
qd,11hb5.0,188,6227,proserpina,5493,5497,mich,proserpina
qd,11hb5.0,188,6227,proserpina,5531,5535,mich,proserpina
qd,11hb5.0,188,6227,proserpina,5875,5878,ich,proserpina
qd,11hb5.0,188,6227,proserpina,5895,5898,ich,proserpina
qd,11hb5.0,188,6227,proserpina,5947,5950,mir,proserpina
qd,11hb5.0,188,6227,proserpina,6034,6038,mich,proserpina
qd,11hb5.0,188,6227,proserpina,6077,6081,mich,proserpina
qd,11hb5.0,188,6227,proserpina,6198,6201,mir,proserpina
qd,11hb5.0,6410,6645,proserpina,6474,6477,ich,proserpina
qd,11hb5.0,6410,6645,proserpina,6486,6490,mich,proserpina
qd,11hb5.0,6410,6645,proserpina,6518,6522,mich,proserpina
qd,11hb5.0,6741,7130,proserpina,6791,6794,ich,proserpina
qd,11hb5.0,6741,7130,proserpina,6861,6864,ich,proserpina
qd,11hb5.0,6741,7130,proserpina,6900,6903,Ich,proserpina
qd,11hb5.0,6741,7130,proserpina,6963,6966,ich,proserpina
qd,11hb5.0,6741,7130,proserpina,7077,7080,Ich,proserpina
qd,11hb5.0,7217,7424,proserpina,7244,7247,mir,proserpina
qd,11hb5.0,7217,7424,proserpina,7289,7292,ich,proserpina
qd,11hb5.0,7217,7424,proserpina,7326,7329,ich,proserpina
qd,11hb5.0,7217,7424,proserpina,7378,7381,mir,proserpina
qd,11hb5.0,7217,7424,proserpina,7383,7386,ich,proserpina
qd,11hb5.0,7469,7756,proserpina,7507,7510,mir,proserpina
qd,11hb5.0,7469,7756,proserpina,7630,7635,meine,proserpina
qd,11hb5.0,7469,7756,proserpina,7647,7650,mir,proserpina
qd,11hb5.0,7469,7756,proserpina,7710,7714,mich,proserpina
