corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,jkj1.0,zweiter,5,
qd,jkj1.0,fünfter,8,
qd,jkj1.0,herold,16,
qd,jkj1.0,agamemnon,0,
qd,jkj1.0,dritter,6,
qd,jkj1.0,klytaimestra,18,
qd,jkj1.0,erster_choreute,4,
qd,jkj1.0,zehnter,13,
qd,jkj1.0,vierter,7,
qd,jkj1.0,chor,2,
qd,jkj1.0,aigisthos,1,
qd,jkj1.0,elfter,14,
qd,jkj1.0,zwölfter,15,
qd,jkj1.0,achter,11,
qd,jkj1.0,chorführer,3,
qd,jkj1.0,siebenter,10,
qd,jkj1.0,kassandra,17,
qd,jkj1.0,sechster,9,
qd,jkj1.0,wächter,19,
qd,jkj1.0,neunter,12,
