corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,jkj1.0,235,2236,wächter,261,264,ich,wächter
qd,jkj1.0,235,2236,wächter,318,321,ich,wächter
qd,jkj1.0,235,2236,wächter,552,555,ich,wächter
qd,jkj1.0,235,2236,wächter,673,676,ich,wächter
qd,jkj1.0,235,2236,wächter,685,688,mir,wächter
qd,jkj1.0,235,2236,wächter,698,704,meiner,wächter
qd,jkj1.0,235,2236,wächter,744,747,ich,wächter
qd,jkj1.0,235,2236,wächter,756,761,meine,wächter
qd,jkj1.0,235,2236,wächter,872,875,mir,wächter
qd,jkj1.0,235,2236,wächter,919,923,mein,wächter
qd,jkj1.0,235,2236,wächter,944,947,ich,wächter
qd,jkj1.0,235,2236,wächter,957,960,mir,wächter
qd,jkj1.0,235,2236,wächter,1048,1051,ich,wächter
qd,jkj1.0,235,2236,wächter,1162,1165,mir,wächter
qd,jkj1.0,235,2236,wächter,1166,1172,meiner,wächter
qd,jkj1.0,235,2236,wächter,1305,1308,mir,wächter
qd,jkj1.0,235,2236,wächter,1355,1358,mir,wächter
qd,jkj1.0,235,2236,wächter,1481,1484,ich,wächter
qd,jkj1.0,235,2236,wächter,1701,1704,ich,wächter
qd,jkj1.0,235,2236,wächter,1742,1745,mir,wächter
qd,jkj1.0,235,2236,wächter,1773,1779,meiner,wächter
qd,jkj1.0,235,2236,wächter,1841,1845,mein,wächter
qd,jkj1.0,235,2236,wächter,1853,1856,mir,wächter
qd,jkj1.0,235,2236,wächter,1873,1876,ich,wächter
qd,jkj1.0,235,2236,wächter,1877,1883,meines,wächter
qd,jkj1.0,235,2236,wächter,1976,1979,ich,wächter
qd,jkj1.0,235,2236,wächter,1981,1984,mir,wächter
qd,jkj1.0,235,2236,wächter,2133,2136,ich,wächter
qd,jkj1.0,235,2236,wächter,2178,2181,ich,wächter
qd,jkj1.0,2206,2236,_stage,2210,2214,Chor,chor
qd,jkj1.0,2242,4058,chorführer,2341,2350,Agamemnon,agamemnon
qd,jkj1.0,3946,4058,_stage,4045,4057,Klytaimestra,klytaimestra
qd,jkj1.0,4064,4926,chorführer,4123,4135,Klytaimestra,klytaimestra
qd,jkj1.0,4064,4926,chorführer,4626,4629,mir,chorführer
qd,jkj1.0,4064,4926,chorführer,4678,4681,mir,chorführer
qd,jkj1.0,4064,4926,chorführer,4707,4711,mich,chorführer
qd,jkj1.0,4932,10622,chor,4939,4942,Ich,chor
qd,jkj1.0,4932,10622,chor,5034,5037,mir,chor
qd,jkj1.0,4932,10622,chor,6476,6479,ich,chor
qd,jkj1.0,4932,10622,chor,7074,7077,ich,chor
qd,jkj1.0,4932,10622,chor,7120,7123,ich,chor
qd,jkj1.0,4932,10622,chor,7137,7140,ich,chor
qd,jkj1.0,4932,10622,chor,7217,7220,Ich,chor
qd,jkj1.0,4932,10622,chor,8649,8652,ich,chor
qd,jkj1.0,4932,10622,chor,8670,8674,mein,chor
