corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,jkj1.0,175,231,_Stage,_Stage,Königspalast,NN,königspalast,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,zu,PTKZU,zu,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,Argos,VVINF,argos,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,.,$.,--,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,Auf,APPR,auf,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,dem,ART,der,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,flachen,ADJA,flach,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,Dach,NN,dach,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,der,ART,der,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,Wächter,NN,wächter,14733,,
qd,jkj1.0,175,231,_Stage,_Stage,.,$.,--,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,Auf,APPR,auf,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,den,ART,der,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,Bergen,NN,berg,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,steigt,VVFIN,steigen,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,eine,ART,ein,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,Flamme,NN,flamme,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,auf,PTKVZ,auf,14733,,
qd,jkj1.0,1249,1287,WÄCHTER,wächter,.,$.,--,14733,,
qd,jkj1.0,2192,2203,WÄCHTER,wächter,Wächter,NN,wächter,14733,,
qd,jkj1.0,2192,2203,WÄCHTER,wächter,ab,PTKVZ,ab,14733,,
qd,jkj1.0,2192,2203,WÄCHTER,wächter,.,$.,--,14733,,
qd,jkj1.0,2206,2236,WÄCHTER,wächter,Der,ART,der,14733,,
qd,jkj1.0,2206,2236,WÄCHTER,wächter,Chor,NN,chor,14733,,(2)
qd,jkj1.0,2206,2236,WÄCHTER,wächter,der,ART,der,14733,,
qd,jkj1.0,2206,2236,WÄCHTER,wächter,Greise,NN,greise,14733,,
qd,jkj1.0,2206,2236,WÄCHTER,wächter,tritt,VVFIN,treten,14733,,
qd,jkj1.0,2206,2236,WÄCHTER,wächter,auf,PTKVZ,auf,14733,,
qd,jkj1.0,2206,2236,WÄCHTER,wächter,.,$.,--,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Aus,APPR,aus,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,der,ART,der,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,königlichen,ADJA,königlich,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Pforte,NN,pforte,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,ist,VAFIN,sein,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,ein,ART,ein,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,festlicher,ADJA,festlich,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Zug,NN,zug,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Dienerinnen,NN,dienerin,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,getreten,VVPP,treten,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,.,$.,--,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Dann,ADV,dann,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,erscheint,VVFIN,erscheinen,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,die,ART,der,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Königin,NN,königin,14733,,
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,Klytaimestra,NE,klytaimestra,14733,,(18)
qd,jkj1.0,3946,4058,CHORFÜHRER,chorführer,.,$.,--,14733,,
qd,jkj1.0,4877,4895,CHORFÜHRER,chorführer,Das,ART,der,14733,,
qd,jkj1.0,4877,4895,CHORFÜHRER,chorführer,Opfer,NN,opfer,14733,,
qd,jkj1.0,4877,4895,CHORFÜHRER,chorführer,beginnt,VVFIN,beginnen,14733,,
qd,jkj1.0,4877,4895,CHORFÜHRER,chorführer,.,$.,--,14733,,
qd,jkj1.0,4913,4926,CHORFÜHRER,chorführer,Erste,ADJA,erster,14733,,
qd,jkj1.0,4913,4926,CHORFÜHRER,chorführer,Strophe,NN,strophe,14733,,
qd,jkj1.0,5581,5599,CHOR,chor,Erste,ADJA,erster,14733,,
