corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,jkjb.0,3201,4495,_Stage,_Stage,Sowie,NN,sowie,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,der,ART,der,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Vorhang,NN,vorhang,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,aufgerollt,VVPP,aufrollen,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,wird,VAFIN,werden,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,",","$,",--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,verbreitet,VVFIN,verbreiten,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,sich,PRF,sich,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,ein,ART,ein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,scharfer,ADJA,scharf,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Spiritusduft,NN,spiritusduft,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,über,APPR,über,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,den,ART,der,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Zuschauerraum,NN,zuschauerraum,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,",","$,",--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,man,PIS,man,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,riecht,VVFIN,riechen,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,genau,ADJD,genau,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,",","$,",--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,daß,KOUS,daß,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,es,PPER,es,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,neunziggrädiger,ADJD,neunziggrädig,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,ist,VAFIN,sein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,.,$.,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Die,ART,der,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Bühne,NN,bühne,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,bleibt,VVFIN,bleiben,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,anderthalb,CARD,anderthalb,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Minuten,NN,minute,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,leer,ADJD,leer,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,",","$,",--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,darauf,PROAV,darauf,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,hört,VVFIN,hören,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,man,PIS,man,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,hinter,APPR,hinter,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,der,ART,der,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Szene,NN,szene,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,links,ADV,links,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,eine,ART,ein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,sonore,ADJA,sonor,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Männerstimme,NN,männerstimme,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,in,APPR,in,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,singendem,ADJA,singend,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Sächseln,NN,sächsel,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,:,$.,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Lehmann,NE,lehmann,18036,,(1)
qd,jkjb.0,3201,4495,_Stage,_Stage,",","$,",--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Se,PPER,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,sein,PPOSAT,sein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,ä,NN,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Rindvieh,NE,rindvieh,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,.,$.,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Eine,ART,ein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Tür,NN,tür,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,wird,VAFIN,werden,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,heftig,ADJD,heftig,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,zugeschlagen,VVPP,zuschlagen,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,.,$.,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Nach,APPR,nach,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,einer,ART,ein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,halben,ADJA,halb,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Sekunde,NN,sekunde,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,tritt,VVFIN,treten,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Krawutschke,NN,krawutschke,18036,,(0)
qd,jkjb.0,3201,4495,_Stage,_Stage,aus,APPR,aus,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,dem,ART,der,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Ärztezimmer,NN,ärztezimmer,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,heraus,PTKVZ,heraus,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,.,$.,--,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Er,PPER,er,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,ist,VAFIN,sein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,ein,ART,ein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,kleiner,ADJA,klein,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,Mann,NN,mann,18036,,
qd,jkjb.0,3201,4495,_Stage,_Stage,mit,APPR,mit,18036,,
