corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,jn6f.0,858,1054,MICHL,michl,Bissel,NE,bissel,24142,,
qd,jn6f.0,858,1054,MICHL,michl,christlich,ADJD,christlich,24142,,
qd,jn6f.0,858,1054,MICHL,michl,",","$,",--,24142,,
qd,jn6f.0,858,1054,MICHL,michl,bissel,ADJD,bissel,24142,,
qd,jn6f.0,858,1054,MICHL,michl,gottlos,ADJD,gottlos,24142,,
qd,jn6f.0,858,1054,MICHL,michl,",","$,",--,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Bissel,NE,bissel,24142,,
qd,jn6f.0,858,1054,MICHL,michl,schön,ADJD,schön,24142,,
qd,jn6f.0,858,1054,MICHL,michl,",","$,",--,24142,,
qd,jn6f.0,858,1054,MICHL,michl,bissel,ADJD,bissel,24142,,
qd,jn6f.0,858,1054,MICHL,michl,schiach,ADJD,schiach,24142,,
qd,jn6f.0,858,1054,MICHL,michl,–,XY,–,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Bissel,NE,bissel,24142,,
qd,jn6f.0,858,1054,MICHL,michl,gottlos,ADJD,gottlos,24142,,
qd,jn6f.0,858,1054,MICHL,michl,beim,APPRART,bei,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Dirndl,NN,dirndl,24142,,
qd,jn6f.0,858,1054,MICHL,michl,",","$,",--,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Bissel,NE,bissel,24142,,
qd,jn6f.0,858,1054,MICHL,michl,frumm,VVFIN,frumm,24142,,
qd,jn6f.0,858,1054,MICHL,michl,in,APPR,in,24142,,
qd,jn6f.0,858,1054,MICHL,michl,der,ART,der,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Kirch,NE,kirch,24142,,
qd,jn6f.0,858,1054,MICHL,michl,"!",$.,--,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Dulidieh,ADV,dulidieh,24142,,
qd,jn6f.0,858,1054,MICHL,michl,"!",$.,--,24142,,
qd,jn6f.0,858,1054,MICHL,michl,Dulidieh,ADV,dulidieh,24142,,
qd,jn6f.0,858,1054,MICHL,michl,"!",$.,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Heilig,NE,heilig,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,werdn,VVFIN,werdn,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,",","$,",--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,heilig,ADJD,heilig,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,werdn,VVFIN,werdn,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,",","$,",--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Das,PDS,der,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,möcht,VVFIN,möchen,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,ich,PPER,ich,24142,loisl,(1)
qd,jn6f.0,1060,1348,LOISL,loisl,eh,ADV,eh,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,–,XY,–,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Drum,PROAV,drum,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,kraxl,VVFIN,kraxl,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,ich,PPER,ich,24142,loisl,(1)
qd,jn6f.0,1060,1348,LOISL,loisl,all,PIDAT,all,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Tag,NN,tag,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Zun,NE,zun,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Himmel,NN,himmel,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,auf,APPR,auf,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,d,FM,D,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,',$[,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Höh,ITJ,höhe,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,"!",$.,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Doch,KON,doch,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,kimm,VVFIN,kimm,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,ich,PPER,ich,24142,loisl,(1)
qd,jn6f.0,1060,1348,LOISL,loisl,net,PTKNEG,net,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,viel,ADV,viel,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,hoch,ADJD,hoch,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,",","$,",--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Dös,NE,dös,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,geht,VVFIN,gehen,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,ma,FM,ma,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,nit,FM,nit,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,ein,ART,ein,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,–,NN,–,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,[,TRUNC,[,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,:,$.,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Beim,APPRART,bei,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Dirndal,NN,dirndal,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,sein,PPOSAT,sein,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Fenster,NN,fenster,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Draht,NN,draht,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,',$[,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,s,PPER,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,mich,PRF,mich,24142,loisl,(1)
qd,jn6f.0,1060,1348,LOISL,loisl,allmal,ADV,allmal,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,hinein,PTKVZ,hinein,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,"!",$.,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,:,$.,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,],TRUNC,],24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Holladieh,NN,holladieh,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,"!",$.,--,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,Holladieh,NE,holladieh,24142,,
qd,jn6f.0,1060,1348,LOISL,loisl,"!",$.,--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,No,FM,--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,",","$,",--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,Buben,NN,bube,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,",","$,",--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,jetzt,ADV,jetzt,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,stellts,ADV,stellts,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,aber,ADV,aber,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,die,ART,der,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,besoffene,ADJA,besoffen,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,Metten,NN,mette,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,ein,PTKVZ,ein,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,",","$,",--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,der,ART,der,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,Segen,NN,segen,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,is,VAFIN,--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,aus,PTKVZ,aus,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,",","$,",--,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,die,ART,der,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,Manner,NN,manner,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,werdn,VVFIN,werdn,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,gleich,ADV,gleich,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,kämma,ADJD,kämma,24142,,
qd,jn6f.0,1353,1516,VEIT,veit,"!",$.,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,Laß,VVIMP,lassen,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,s,PPER,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,',$[,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,nur,ADV,nur,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,kommen,VVINF,kommen,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,",","$,",--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,dö,CARD,dö,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,Männer,NN,mann,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,",","$,",--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,So,ADV,so,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,gehen,VVFIN,gehen,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,doch,ADV,doch,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,glei,ADV,glei,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,",","$,",--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,Hoam,NE,hoam,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,müssen,VMFIN,müssen,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,s,PPER,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,',$[,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,gehn,CARD,gehn,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,–,XY,–,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,hoam,PDS,hoam,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,müssen,VMFIN,müssen,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,s,PPER,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,',$[,--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,gehn,CARD,gehn,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,",","$,",--,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,Sonst,ADV,sonst,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,greint,VVFIN,greinen,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,es,PPER,es,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,Wei,ITJ,wei,24142,,
qd,jn6f.0,1521,1668,MARTIN,martin,"!",$.,--,24142,,
qd,jn6f.0,1674,1754,,,Hoam,NE,hoam,24142,,
qd,jn6f.0,1674,1754,,,müssen,VMFIN,müssen,24142,,
qd,jn6f.0,1674,1754,,,s,PPER,--,24142,,
qd,jn6f.0,1674,1754,,,',$[,--,24142,,
qd,jn6f.0,1674,1754,,,gehn,CARD,gehn,24142,,
qd,jn6f.0,1674,1754,,,–,XY,–,24142,,
qd,jn6f.0,1674,1754,,,hoam,PDS,hoam,24142,,
qd,jn6f.0,1674,1754,,,müssen,VMFIN,müssen,24142,,
qd,jn6f.0,1674,1754,,,s,PPER,--,24142,,
qd,jn6f.0,1674,1754,,,',$[,--,24142,,
qd,jn6f.0,1674,1754,,,gehn,CARD,gehn,24142,,
qd,jn6f.0,1674,1754,,,",","$,",--,24142,,
qd,jn6f.0,1674,1754,,,Sonst,ADV,sonst,24142,,
qd,jn6f.0,1674,1754,,,greint,VVFIN,greinen,24142,,
qd,jn6f.0,1674,1754,,,es,PPER,es,24142,,
qd,jn6f.0,1674,1754,,,Wei,ITJ,wei,24142,,
qd,jn6f.0,1674,1754,,,"!",$.,--,24142,,
qd,jn6f.0,1674,1754,,,Juchhu,NE,juchhu,24142,,
qd,jn6f.0,1674,1754,,,"!",$.,--,24142,,
qd,jn6f.0,1760,2301,STRINKLOPFERHANNS,strinklopferhanns,Ein,ART,ein,24142,,
