corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,jn6k.0,414,432,_Stage,_Stage,Knechte,NN,knecht,21900,,(0)
qd,jn6k.0,414,432,_Stage,_Stage,und,KON,und,21900,,
qd,jn6k.0,414,432,_Stage,_Stage,Mägde,NN,mägde,21900,,
qd,jn6k.0,414,432,_Stage,_Stage,.,$.,--,21900,,
qd,jn6k.0,435,439,_Stage,_Stage,Chor,NN,chor,21900,,(9)
qd,jn6k.0,684,691,,,Jodler,NE,jodler,21900,,
qd,jn6k.0,684,691,,,.,$.,--,21900,,
qd,jn6k.0,706,718,,,Ausklingend,NN,ausklingend,21900,,
qd,jn6k.0,706,718,,,.,$.,--,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,Von,APPR,von,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,links,ADV,links,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,:,$.,--,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,Rosl,NE,rosl,21900,,(3)
qd,jn6k.0,761,846,_Stage,_Stage,ältere,ADJA,alt,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,Magd,NN,magd,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,führt,VVFIN,führen,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,Grillhofer,NN,grillhofer,21900,,(2)
qd,jn6k.0,761,846,_Stage,_Stage,",","$,",--,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,der,PRELS,der,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,sich,PRF,sich,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,leicht,ADJD,leicht,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,auf,APPR,auf,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,sie,PPER,sie,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,stützt,VVFIN,stützen,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,",","$,",--,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,herein,PTKVZ,herein,21900,,
qd,jn6k.0,761,846,_Stage,_Stage,.,$.,--,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,Hat,VAFIN,haben,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,sich,PRF,sich,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,mit,APPR,mit,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,Beschwer,NE,beschwer,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,niedergelassen,VVPP,niederlassen,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,",","$,",--,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,schneidet,VVFIN,schneiden,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,behend,ADJD,behend,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,sich,PRF,sich,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,Brot,NN,brot,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,in,APPR,in,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,die,ART,der,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,Schüssel,NN,schüssel,21900,,
qd,jn6k.0,1072,1181,GRTLLHOFER,grillhofer,und,KON,und,21900,,
