corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,jn6r.0,florian,25,
qd,jn6r.0,fähnlein,4,
qd,jn6r.0,sein_weib,19,
qd,jn6r.0,doktor_hammer,7,
qd,jn6r.0,frau_seitzer,14,
qd,jn6r.0,rost,11,
qd,jn6r.0,rellmann,12,
qd,jn6r.0,adalgise,20,
qd,jn6r.0,taterl,15,
qd,jn6r.0,schrauber,3,
qd,jn6r.0,zweiter_schreiber,1,
qd,jn6r.0,ein_strolch,24,
qd,jn6r.0,zänker,6,
qd,jn6r.0,die_andern,10,
qd,jn6r.0,jette,27,
qd,jn6r.0,thomas,22,
qd,jn6r.0,hermine,5,
qd,jn6r.0,ein_teil_der_gesellschaft,9,
qd,jn6r.0,dienstmann,23,
qd,jn6r.0,frau_xandl,16,
qd,jn6r.0,alwine,8,
qd,jn6r.0,arbeiter,17,
qd,jn6r.0,erster_schreiber,0,
qd,jn6r.0,frau_holler,21,
qd,jn6r.0,seitzer,13,
qd,jn6r.0,die_anderen,2,
qd,jn6r.0,bursche,18,
qd,jn6r.0,alte_hammer,26,
