corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,jn73.0,hannsl,5,
qd,jn73.0,michel,9,
qd,jn73.0,hell,2,
qd,jn73.0,schulmeister,8,
qd,jn73.0,chor,11,
qd,jn73.0,brigitte,16,
qd,jn73.0,loisl,10,
qd,jn73.0,finsterberg,1,
qd,jn73.0,wirt,3,
qd,jn73.0,hochzeitschor,12,
qd,jn73.0,hochzeitsreigen,7,
qd,jn73.0,junge_burschen,19,
qd,jn73.0,vetter,15,
qd,jn73.0,wirtin,4,
qd,jn73.0,ein_alter_bauer,20,
qd,jn73.0,lux,0,
qd,jn73.0,einige_bauern,17,
qd,jn73.0,wallfahrerchor,6,
qd,jn73.0,sepp,13,
qd,jn73.0,mehrere_alte_bauern,21,
qd,jn73.0,annerl,14,
qd,jn73.0,bauern,18,
