corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,k1ff.0,404,462,_stage,404,414,Lysistrate,lysistrate
qd,k1ff.0,404,462,_stage,416,424,Kalonike,kalonike
qd,k1ff.0,404,462,_stage,426,434,Myrrhine,myrrhine
qd,k1ff.0,404,462,_stage,436,443,Lampito,lampito
qd,k1ff.0,466,750,lysistrate,633,642,eine Frau,eine_frau
qd,k1ff.0,667,686,_stage,667,675,Kalonike,kalonike
qd,k1ff.0,466,750,lysistrate,704,709,meine,lysistrate
qd,k1ff.0,466,750,lysistrate,741,749,Kalonike,kalonike
qd,k1ff.0,756,868,kalonike,812,822,Lysistrate,lysistrate
qd,k1ff.0,874,1029,lysistrate,892,900,Kalonike,kalonike
qd,k1ff.0,874,1029,lysistrate,908,911,mir,lysistrate
qd,k1ff.0,874,1029,lysistrate,945,948,ich,lysistrate
qd,k1ff.0,1238,1447,kalonike,1268,1272,mein,kalonike
qd,k1ff.0,1530,1644,kalonike,1549,1552,mir,kalonike
qd,k1ff.0,1774,1927,lysistrate,1861,1864,ich,lysistrate
qd,k1ff.0,1774,1927,lysistrate,1890,1894,Mich,lysistrate
qd,k1ff.0,2375,2431,kalonike,2397,2400,Ich,kalonike
qd,k1ff.0,2436,2661,lysistrate,2471,2474,ich,lysistrate
qd,k1ff.0,2436,2661,lysistrate,2518,2521,mir,lysistrate
qd,k1ff.0,3146,3202,kalonike,3169,3172,ich,kalonike
qd,k1ff.0,3146,3202,kalonike,3191,3194,mir,kalonike
qd,k1ff.0,3246,3289,kalonike,3262,3265,Ich,kalonike
qd,k1ff.0,3336,3373,kalonike,3346,3349,Ich,kalonike
qd,k1ff.0,3336,3373,kalonike,3356,3359,mir,kalonike
qd,k1ff.0,3743,3854,lysistrate,3785,3788,ich,lysistrate
qd,k1ff.0,4074,4194,kalonike,4105,4108,Ich,kalonike
qd,k1ff.0,4074,4194,kalonike,4138,4141,mir,kalonike
qd,k1ff.0,4156,4194,_stage,4156,4164,Myrrhine,myrrhine
qd,k1ff.0,4200,4261,myrrhine,4235,4245,Lysistrate,lysistrate
qd,k1ff.0,4267,4365,lysistrate,4286,4294,Myrrhine,myrrhine
qd,k1ff.0,4371,4474,myrrhine,4382,4385,Ich,myrrhine
qd,k1ff.0,4371,4474,myrrhine,4393,4399,meinen,myrrhine
qd,k1ff.0,4480,4596,lysistrate,4493,4496,Ich,lysistrate
qd,k1ff.0,4602,4733,myrrhine,4618,4621,ich,myrrhine
qd,k1ff.0,4602,4733,myrrhine,4675,4682,Lampito,lampito
qd,k1ff.0,4688,4733,_stage,4688,4695,Lampito,lampito
qd,k1ff.0,4739,4925,lysistrate,4772,4779,Lampito,lampito
qd,k1ff.0,5653,5669,lysistrate,5665,5668,Ich,lysistrate
qd,k1ff.0,5821,5889,lysistrate,5876,5879,mir,lysistrate
qd,k1ff.0,5931,6082,lysistrate,6019,6022,Ich,lysistrate
qd,k1ff.0,6088,6189,kalonike,6115,6119,mein,kalonike
qd,k1ff.0,6195,6245,lysistrate,6211,6215,mein,lysistrate
qd,k1ff.0,6349,6620,lysistrate,6443,6446,Mir,lysistrate
qd,k1ff.0,6349,6620,lysistrate,6567,6570,ich,lysistrate
qd,k1ff.0,6626,6734,myrrhine,6637,6640,Ich,myrrhine
qd,k1ff.0,6626,6734,myrrhine,6673,6676,ich,myrrhine
qd,k1ff.0,6626,6734,myrrhine,6677,6683,meinen,myrrhine
qd,k1ff.0,6740,6837,kalonike,6755,6758,ich,kalonike
qd,k1ff.0,6740,6837,kalonike,6776,6779,ich,kalonike
qd,k1ff.0,6740,6837,kalonike,6787,6791,mich,kalonike
qd,k1ff.0,6843,6929,lampito,6858,6861,Mir,lampito
qd,k1ff.0,6935,7103,lysistrate,6958,6961,Ich,lysistrate
qd,k1ff.0,7529,7590,myrrhine,7547,7550,ich,myrrhine
qd,k1ff.0,7595,7658,kalonike,7605,7609,Mein,kalonike
qd,k1ff.0,7595,7658,kalonike,7621,7624,ich,kalonike
qd,k1ff.0,7769,7910,kalonike,7815,7818,Ich,kalonike
qd,k1ff.0,7769,7910,kalonike,7862,7865,mir,kalonike
qd,k1ff.0,7769,7910,kalonike,7868,7878,Lysistrate,lysistrate
qd,k1ff.0,7769,7910,kalonike,7880,7883,ich,kalonike
qd,k1ff.0,7963,8009,frau_1,7974,7977,ich,frau_1
qd,k1ff.0,7963,8009,frau_1,7998,8001,ich,frau_1
qd,k1ff.0,8014,8281,lysistrate,8212,8215,Mir,lysistrate
qd,k1ff.0,8014,8281,lysistrate,8277,8280,mir,lysistrate
