corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k4xx.0,544,566,_Stage,_Stage,Scene,NN,scene,18828,,
qd,k4xx.0,544,566,_Stage,_Stage,:,$.,--,18828,,
qd,k4xx.0,544,566,_Stage,_Stage,Ein,ART,ein,18828,,
qd,k4xx.0,544,566,_Stage,_Stage,Büchersaal,NN,büchersaal,18828,,
qd,k4xx.0,544,566,_Stage,_Stage,.,$.,--,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,tritt,VVFIN,treten,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,aus,APPR,aus,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,dem,ART,der,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,Bücherschranke,NN,bücherschranke,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,herunter,PTKVZ,herunter,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,und,KON,und,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,spricht,VVFIN,sprechen,18828,,
qd,k4xx.0,586,636,JOHANNES MÜLLER,johannes_müller,.,$.,--,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,bietet,VVFIN,bieten,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,ihm,PPER,ihm,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,die,ART,der,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,Hand,NN,hand,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,und,KON,und,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,spricht,VVFIN,sprechen,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,weiter,PTKVZ,weiter,18828,,
qd,k4xx.0,1250,1289,BÜSCHING,büsching,.,$.,--,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,Beide,PIS,beide,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,steigen,VVFIN,steigen,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,auf,APPR,auf,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,die,ART,der,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,Bücherrepositorien,NN,bücherrepositorie,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,zurück,PTKVZ,zurück,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,",","$,",--,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,von,APPR,von,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,denen,PRELS,der,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,sie,PPER,sie,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,herabgestiegen,VVPP,herabsteigen,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,waren,VAFIN,sein,18828,,
qd,k4xx.0,1596,1680,BÜSCHING,büsching,.,$.,--,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,Ragusa,NE,ragusa,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,.,$.,--,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,Eingang,NN,eingang,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,der,ART,der,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,Marienkirche,NN,marienkirche,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,.,$.,--,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,Wohlgeordnete,ADJA,wohlgeordneter,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,Sitze,NN,sitz,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,bezeichnen,VVFIN,bezeichnen,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,in,APPR,in,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,einer,ART,ein,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,Kapelle,NN,kapelle,18828,,
qd,k4xx.0,1724,1987,_Stage,_Stage,den,ART,der,18828,,
