corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,k59h.0,100,353,_stage,271,287,Schriftgelehrter,schriftgelehrter
qd,k59h.0,511,570,jesus,519,523,Mein,jesus
qd,k59h.0,511,570,jesus,530,534,mein,jesus
qd,k59h.0,511,570,jesus,555,559,mich,jesus
qd,k59h.0,729,883,der_andere_schächer,848,852,mich,der_andere_schächer
qd,k59h.0,888,959,jesus,905,908,ich,jesus
qd,k59h.0,888,959,jesus,937,940,mir,jesus
qd,k59h.0,964,1088,schriftgelehrter,991,994,mir,schriftgelehrter
qd,k59h.0,964,1088,schriftgelehrter,1002,1005,ich,schriftgelehrter
qd,k59h.0,1093,1267,jesus,1108,1111,ich,jesus
qd,k59h.0,1093,1267,jesus,1120,1126,meinen,jesus
qd,k59h.0,1339,1434,_stage,1366,1375,Ahasverus,ahasverus
qd,k59h.0,1339,1434,_stage,1377,1385,Cardenio,cardenio
qd,k59h.0,1339,1434,_stage,1387,1394,Celinde,celinde
qd,k59h.0,1437,1690,ahasverus,1601,1604,Mir,ahasverus
qd,k59h.0,1696,1959,celinde,1718,1721,ich,celinde
qd,k59h.0,1696,1959,celinde,1758,1761,ich,celinde
qd,k59h.0,1696,1959,celinde,1787,1791,mich,celinde
qd,k59h.0,1696,1959,celinde,1826,1832,meinem,celinde
qd,k59h.0,1696,1959,celinde,1841,1847,Meiner,celinde
qd,k59h.0,1696,1959,celinde,1876,1880,mich,celinde
qd,k59h.0,1965,2897,cardenio,2025,2028,mir,cardenio
qd,k59h.0,1965,2897,cardenio,2223,2226,ich,cardenio
qd,k59h.0,1965,2897,cardenio,2420,2424,mein,cardenio
qd,k59h.0,1965,2897,cardenio,2490,2493,ich,cardenio
qd,k59h.0,1965,2897,cardenio,2594,2600,meiner,cardenio
qd,k59h.0,1965,2897,cardenio,2682,2685,ich,cardenio
qd,k59h.0,1965,2897,cardenio,2711,2714,ich,cardenio
qd,k59h.0,1965,2897,cardenio,2772,2776,mich,cardenio
qd,k59h.0,1965,2897,cardenio,2870,2874,mich,cardenio
qd,k59h.0,2903,3110,celinde,2917,2920,ich,celinde
qd,k59h.0,2903,3110,celinde,2933,2937,mich,celinde
qd,k59h.0,2903,3110,celinde,2950,2954,mich,celinde
qd,k59h.0,3263,4206,ahasverus,3430,3433,mir,ahasverus
qd,k59h.0,3263,4206,ahasverus,3439,3442,ich,ahasverus
qd,k59h.0,3263,4206,ahasverus,3513,3518,meine,ahasverus
qd,k59h.0,3263,4206,ahasverus,3530,3533,ich,ahasverus
qd,k59h.0,3263,4206,ahasverus,3534,3538,mich,ahasverus
qd,k59h.0,3263,4206,ahasverus,3560,3564,mein,ahasverus
qd,k59h.0,3263,4206,ahasverus,3574,3579,meine,ahasverus
qd,k59h.0,3263,4206,ahasverus,3644,3649,Viele,viele_engländer
qd,k59h.0,3263,4206,ahasverus,4086,4091,viele,viele_engländer
qd,k59h.0,4213,4285,kapitän,4238,4242,Jude,jude
qd,k59h.0,4213,4285,kapitän,4266,4274,Christen,christen
qd,k59h.0,4290,4368,cardenio,4320,4323,mir,cardenio
qd,k59h.0,4373,4468,ahasverus,4385,4388,Ich,ahasverus
qd,k59h.0,4373,4468,ahasverus,4400,4404,mein,ahasverus
qd,k59h.0,4373,4468,ahasverus,4430,4433,ich,ahasverus
qd,k59h.0,4373,4468,ahasverus,4455,4461,meinen,ahasverus
qd,k59h.0,4556,4613,ahasverus,4568,4572,Mein,ahasverus
qd,k59h.0,4705,5076,kapitän,4722,4725,mir,kapitän
qd,k59h.0,4705,5076,kapitän,4935,4938,ich,kapitän
qd,k59h.0,4705,5076,kapitän,5031,5034,ich,kapitän
qd,k59h.0,5081,5173,lichterzieher,5136,5141,einer,einer
qd,k59h.0,5178,5402,kapitän,5235,5248,Lichterzieher,lichterzieher
qd,k59h.0,5178,5402,kapitän,5274,5277,mir,kapitän
qd,k59h.0,5464,5551,kapitän,5480,5483,mir,kapitän
qd,k59h.0,5556,5715,lichterzieher,5632,5635,ich,lichterzieher
