corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,k77x.0,941,1625,_stage,1115,1125,Gevatterin,gevatterin
qd,k77x.0,941,1625,_stage,1157,1166,Pamphilio,pamphilio
qd,k77x.0,941,1625,_stage,1168,1177,Dienemann,dienemann
qd,k77x.0,941,1625,_stage,1179,1186,Suppius,suppius
qd,k77x.0,941,1625,_stage,1195,1201,Becker,becker
qd,k77x.0,941,1625,_stage,1242,1250,Magister,magister
qd,k77x.0,941,1625,_stage,1555,1564,Ahasverus,ahasverus
qd,k77x.0,1628,1912,ahasverus,1661,1664,mir,ahasverus
qd,k77x.0,1628,1912,ahasverus,1720,1723,mir,ahasverus
qd,k77x.0,1628,1912,ahasverus,1742,1745,mir,ahasverus
qd,k77x.0,1628,1912,ahasverus,1757,1760,ich,ahasverus
qd,k77x.0,1628,1912,ahasverus,1809,1817,Cardenio,cardenio
qd,k77x.0,1628,1912,ahasverus,1841,1851,Gevatterin,gevatterin
qd,k77x.0,1628,1912,ahasverus,1907,1911,Frau,frau
qd,k77x.0,1949,2016,ahasverus,1961,1964,Ich,ahasverus
qd,k77x.0,2103,2232,suppius,2135,2138,ich,suppius
qd,k77x.0,2103,2232,suppius,2150,2159,Ahasverus,ahasverus
qd,k77x.0,2331,2427,suppius,2379,2389,Gevatterin,gevatterin
qd,k77x.0,2432,2594,gevatterin,2563,2566,mir,gevatterin
qd,k77x.0,2735,2916,ahasverus,2783,2788,Meine,ahasverus
qd,k77x.0,2735,2916,ahasverus,2835,2838,ich,ahasverus
qd,k77x.0,2922,3008,meyer,2930,2934,Mein,meyer
qd,k77x.0,3013,3160,waisenhäuser,3028,3031,Ich,waisenhäuser
qd,k77x.0,3013,3160,waisenhäuser,3086,3090,alle,alle_1.18
qd,k77x.0,3165,3255,dienemann,3177,3180,Mir,dienemann
qd,k77x.0,3165,3255,dienemann,3246,3254,Cardenio,cardenio
qd,k77x.0,3267,3283,_stage,3271,3275,alle,alle_1.18
qd,k77x.0,3509,3898,dienemann,3632,3638,Wagner,wagner
qd,k77x.0,3509,3898,dienemann,3749,3757,Cardenio,cardenio
qd,k77x.0,3509,3898,dienemann,3858,3866,Cardenio,cardenio
qd,k77x.0,3903,4156,pamphilio,4086,4092,Wagner,wagner
qd,k77x.0,4161,4225,suppius,4192,4195,ich,suppius
qd,k77x.0,4230,4342,dienemann,4253,4256,ich,dienemann
qd,k77x.0,4347,4433,pamphilio,4386,4389,ich,pamphilio
qd,k77x.0,4347,4433,pamphilio,4394,4398,mich,pamphilio
qd,k77x.0,4499,4594,dienemann,4521,4529,Cardenio,cardenio
qd,k77x.0,4499,4594,dienemann,4553,4556,mir,dienemann
qd,k77x.0,4646,4784,_stage,4646,4654,Cardenio,cardenio
qd,k77x.0,4646,4784,_stage,4753,4766,ein Philister,ein_philister
qd,k77x.0,4646,4784,_stage,4757,4766,Philister,ein_philister
qd,k77x.0,4787,4943,pferdephilister,4825,4833,Cardenio,cardenio
qd,k77x.0,4787,4943,pferdephilister,4842,4846,mein,pferdephilister
qd,k77x.0,4948,5105,cardenio,4989,4992,mir,cardenio
qd,k77x.0,4948,5105,cardenio,5028,5032,mich,cardenio
qd,k77x.0,4948,5105,cardenio,5069,5074,meine,cardenio
qd,k77x.0,5111,5225,pferdephilister,5138,5141,ich,pferdephilister
qd,k77x.0,5111,5225,pferdephilister,5165,5168,ich,pferdephilister
qd,k77x.0,5111,5225,pferdephilister,5169,5174,meine,pferdephilister
qd,k77x.0,5231,5369,dienemann,5251,5254,mir,dienemann
qd,k77x.0,5231,5369,dienemann,5312,5318,Wagner,wagner
qd,k77x.0,5624,5664,cardenio,5639,5645,Wagner,wagner
qd,k77x.0,5694,6623,cardenio,5705,5708,Ich,cardenio
qd,k77x.0,5694,6623,cardenio,5784,5787,ich,cardenio
qd,k77x.0,5694,6623,cardenio,5820,5823,ich,cardenio
qd,k77x.0,5694,6623,cardenio,5878,5881,ich,cardenio
qd,k77x.0,5694,6623,cardenio,5960,5964,mich,cardenio
qd,k77x.0,5694,6623,cardenio,5971,5974,ich,cardenio
qd,k77x.0,5694,6623,cardenio,5975,5979,mich,cardenio
qd,k77x.0,5694,6623,cardenio,6009,6012,ich,cardenio
qd,k77x.0,5694,6623,cardenio,6061,6067,Wagner,wagner
qd,k77x.0,5694,6623,cardenio,6083,6086,ich,cardenio
qd,k77x.0,5694,6623,cardenio,6115,6118,mir,cardenio
qd,k77x.0,5694,6623,cardenio,6158,6164,Wagner,wagner
qd,k77x.0,5694,6623,cardenio,6220,6223,ich,cardenio
qd,k77x.0,5694,6623,cardenio,6242,6245,mir,cardenio
qd,k77x.0,5694,6623,cardenio,6265,6271,meinem,cardenio
qd,k77x.0,5694,6623,cardenio,6283,6286,ich,cardenio
qd,k77x.0,5694,6623,cardenio,6297,6300,Ich,cardenio
qd,k77x.0,5694,6623,cardenio,6367,6377,Gevatterin,gevatterin
qd,k77x.0,5694,6623,cardenio,6398,6401,mir,cardenio
qd,k77x.0,5694,6623,cardenio,6421,6427,meinen,cardenio
qd,k77x.0,5694,6623,cardenio,6586,6596,Gevatterin,gevatterin
qd,k77x.0,5694,6623,cardenio,6602,6611,Pamphilio,pamphilio
qd,k77x.0,6628,6853,gevatterin,6724,6727,ich,gevatterin
qd,k77x.0,6628,6853,gevatterin,6780,6783,ich,gevatterin
qd,k77x.0,6858,7336,cardenio,6898,6901,ich,cardenio
qd,k77x.0,6858,7336,cardenio,6928,6931,ich,cardenio
qd,k77x.0,6858,7336,cardenio,6960,6969,Pamphilio,pamphilio
qd,k77x.0,6858,7336,cardenio,6992,6995,mir,cardenio
qd,k77x.0,6858,7336,cardenio,7145,7149,mich,cardenio
qd,k77x.0,6858,7336,cardenio,7151,7154,ich,cardenio
qd,k77x.0,6858,7336,cardenio,7181,7184,ich,cardenio
qd,k77x.0,6858,7336,cardenio,7201,7205,mein,cardenio
