corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k77x.0,941,1625,_Stage,_Stage,Der,ART,der,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Marktplatz,NN,marktplatz,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,.,$.,--,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Auf,APPR,auf,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,einen,ADJA,ein,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Seite,NN,seite,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,stehen,VVFIN,stehen,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,drei,CARD,drei,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,einsame,ADJA,einsam,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Pferdeverleiher,NN,pferdeverleiher,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,in,APPR,in,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Sonne,NN,sonne,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,auf,APPR,auf,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,andern,VVFIN,anderer,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,die,ART,der,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,beiden,PIDAT,beide,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Gevaterbuden,NN,gevaterbude,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,mit,APPR,mit,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Blumen,NN,blume,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,und,KON,und,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Früchten,NN,frücht,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,reichlich,ADV,reichlich,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,angefüllt,VVPP,anfüllen,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,;,$.,--,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,die,ART,der,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Gevatterin,NN,gevatterin,56559,,(1)
qd,k77x.0,941,1625,_Stage,_Stage,zählt,VVFIN,zählen,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Kirschen,NN,kirsche,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,in,APPR,in,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Papiertüten,NN,papiertut,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,.,$.,--,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Pamphilio,NE,pamphilio,56559,,(6)
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,56559,,
qd,k77x.0,941,1625,_Stage,_Stage,Dienemann,NE,dienemann,56559,,(3)
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,56559,,
