corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k7f7.0,5038,5058,_Stage,_Stage,Kaiser,NN,kaiser,7289,,(0)
qd,k7f7.0,5038,5058,_Stage,_Stage,und,KON,und,7289,,
qd,k7f7.0,5038,5058,_Stage,_Stage,Kaiserin,NN,kaiserin,7289,,(1)
qd,k7f7.0,5038,5058,_Stage,_Stage,.,$.,--,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,Er,PPER,er,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,führt,VVFIN,führen,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,sie,PPER,sie,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,zur,APPRART,zu,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,Treppe,NN,treppe,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,und,KON,und,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,schließt,VVFIN,schließen,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,sie,PPER,sie,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,ein,PTKVZ,ein,7289,,
qd,k7f7.0,6996,7041,KAISERIN,kaiserin,.,$.,--,7289,,
qd,k7f7.0,7149,7155,KASPER,kasper,kommt,VVFIN,kommen,7289,,
qd,k7f7.0,7149,7155,KASPER,kasper,.,$.,--,7289,,
qd,k7f7.0,7337,7356,KASPER,kasper,schiebt,VVFIN,schieben,7289,,
qd,k7f7.0,7337,7356,KASPER,kasper,sie,PPER,sie,7289,,
qd,k7f7.0,7337,7356,KASPER,kasper,herbei,VVFIN,herbei,7289,,
qd,k7f7.0,7337,7356,KASPER,kasper,.,$.,--,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,Während,KOUS,während,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,sie,PPER,sie,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,sich,PRF,sich,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,da,ADV,da,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,hinsetzen,VVINF,hinsetzen,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,",","$,",--,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,tritt,VVFIN,treten,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,die,ART,der,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,Kaiserin,NN,kaiserin,7289,,(1)
qd,k7f7.0,9244,9373,KAISER,kaiser,ans,APPRART,an,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,Fenster,NN,fenster,7289,,
qd,k7f7.0,9244,9373,KAISER,kaiser,des,ART,der,7289,,
