corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,k936.0,123,279,_stage,205,215,der Bruder,bruder
qd,k936.0,123,279,_stage,209,215,Bruder,bruder
qd,k936.0,123,279,_stage,241,246,Faust,faust
qd,k936.0,482,533,faust,502,509,Stimmen,stimmen_der_andrängenden
qd,k936.0,538,914,bruder,844,848,mich,bruder
qd,k936.0,920,1072,faust,950,955,meine,faust
qd,k936.0,920,1072,faust,1009,1013,mein,faust
qd,k936.0,1078,1298,bruder,1116,1119,ich,bruder
qd,k936.0,1305,1356,faust,1325,1332,Stimmen,stimmen_der_andrängenden
qd,k936.0,1361,2333,bruder,1383,1390,Stimmen,stimmen_der_andrängenden
qd,k936.0,1361,2333,bruder,1933,1939,Bruder,bruder
qd,k936.0,1361,2333,bruder,2035,2037,Er,er
qd,k936.0,1361,2333,bruder,2163,2166,ich,bruder
qd,k936.0,2171,2333,_stage,2184,2194,der Bruder,bruder
qd,k936.0,2171,2333,_stage,2188,2194,Bruder,bruder
qd,k936.0,2171,2333,_stage,2257,2264,Stimmen,stimmen_der_andrängenden
qd,k936.0,2338,3904,die_stimme,2605,2609,Mein,die_stimme
qd,k936.0,2338,3904,die_stimme,2616,2620,mein,die_stimme
qd,k936.0,2338,3904,die_stimme,2631,2635,mich,die_stimme
qd,k936.0,2735,2756,_stage,2735,2745,Die Stimme,die_stimme_4
qd,k936.0,2735,2756,_stage,2735,2745,Die Stimme,die_stimme
qd,k936.0,2735,2756,_stage,2739,2745,Stimme,die_stimme_4
qd,k936.0,2338,3904,die_stimme,2773,2776,ich,die_stimme
qd,k936.0,2338,3904,die_stimme,3047,3051,mein,die_stimme
qd,k936.0,2338,3904,die_stimme,3062,3066,mein,die_stimme
qd,k936.0,2338,3904,die_stimme,3193,3203,der Bruder,bruder
qd,k936.0,2338,3904,die_stimme,3197,3203,Bruder,bruder
qd,k936.0,2338,3904,die_stimme,3204,3208,mein,die_stimme
qd,k936.0,2338,3904,die_stimme,3232,3235,ich,die_stimme
qd,k936.0,2338,3904,die_stimme,3305,3309,Mein,die_stimme
