corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k93c.0,7965,7997,_Stage,_Stage,Marcus,NE,marcus,19646,,(0)
qd,k93c.0,7965,7997,_Stage,_Stage,mit,APPR,mit,19646,,
qd,k93c.0,7965,7997,_Stage,_Stage,vier,CARD,vier,19646,,
qd,k93c.0,7965,7997,_Stage,_Stage,Sklaven,NN,sklave,19646,,
qd,k93c.0,7965,7997,_Stage,_Stage,.,$.,--,19646,,
qd,k93c.0,7965,7997,_Stage,_Stage,Lucius,NE,lucius,19646,,(1)
qd,k93c.0,7965,7997,_Stage,_Stage,.,$.,--,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Virginia,NE,virginia,19646,,(2)
qd,k93c.0,9266,9322,_Stage,_Stage,",","$,",--,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Albina,NE,albina,19646,,(3)
qd,k93c.0,9266,9322,_Stage,_Stage,aus,APPR,aus,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,dem,ART,der,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Tempel,NN,tempel,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,.,$.,--,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Die,ART,der,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Vorigen,NN,vorige,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,.,$.,--,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Dann,ADV,dann,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,Volk,NN,volk,19646,,
qd,k93c.0,9266,9322,_Stage,_Stage,.,$.,--,19646,,
qd,k93c.0,9333,9346,MARKUS,markus,etwas,ADV,etwas,19646,,
qd,k93c.0,9333,9346,MARKUS,markus,leiser,ADJD,leise,19646,,
qd,k93c.0,9333,9346,MARKUS,markus,.,$.,--,19646,,
qd,k93c.0,9363,9398,MARKUS,markus,Zween,NN,zweer,19646,,
qd,k93c.0,9363,9398,MARKUS,markus,Sklaven,NE,sklave,19646,,
qd,k93c.0,9363,9398,MARKUS,markus,ergreiffen,VVPP,ergreiff,19646,,
qd,k93c.0,9363,9398,MARKUS,markus,Virginien,VVINF,virginie,19646,,
qd,k93c.0,9363,9398,MARKUS,markus,.,$.,--,19646,,
