corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k93c.0,8000,8111,MARKUS,markus,Bald,ADV,bald,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,",","$,",--,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,Lucius,NE,lucius,19646,lucius,(1)
qd,k93c.0,8000,8111,MARKUS,markus,",","$,",--,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,entweicht,VVFIN,entweichen,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,mir,PPER,sich,19646,marcus,(0)
qd,k93c.0,8000,8111,MARKUS,markus,die,ART,der,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,Geduld,NN,geduld,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,.,$.,--,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,So,ADV,so,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,lange,ADV,lange,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,weilt,VVFIN,weilen,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,kein,PIAT,kein,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,Flamen,NN,flame,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,in,APPR,in,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,dem,ART,der,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,Tempel,NN,tempel,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,wie,KOKOM,wie,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,dieses,PDAT,dieser,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,Mädchen,NN,mädchen,19646,,
qd,k93c.0,8000,8111,MARKUS,markus,.,$.,--,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Wahr,NN,wahr,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,"!",$.,--,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,–,XY,–,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Nun,ADV,nun,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,schließe,VVFIN,schließen,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,",","$,",--,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Freund,NN,freund,19646,,
qd,k93c.0,8117,8438,LUCIUS,lucius,",","$,",--,19646,,
