corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kd4r.0,708,812,WELTING,welting,Baron,NE,baron,19078,,
qd,kd4r.0,708,812,WELTING,welting,Wildenhain,NE,wildenhain,19078,wildenhain,(1)
qd,kd4r.0,708,812,WELTING,welting,"!",$.,--,19078,,
qd,kd4r.0,708,812,WELTING,welting,Meine,PPOSAT,mein,19078,welting,(0)
qd,kd4r.0,708,812,WELTING,welting,Gedanken,NN,gedanke,19078,,
qd,kd4r.0,708,812,WELTING,welting,waren,VAFIN,sein,19078,,
qd,kd4r.0,708,812,WELTING,welting,eben,ADV,eben,19078,,
qd,kd4r.0,708,812,WELTING,welting,mit,APPR,mit,19078,,
qd,kd4r.0,708,812,WELTING,welting,Ihnen,PPER,ihnen,19078,,
qd,kd4r.0,708,812,WELTING,welting,beschäftigt,VVPP,beschäftigen,19078,,
qd,kd4r.0,708,812,WELTING,welting,.,$.,--,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Ich,PPER,ich,19078,wildenhain,(1)
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,bin,VAFIN,sein,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,ein,ART,ein,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,schlechtes,ADJA,schlecht,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Geschäft,NN,geschäft,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,für,APPR,für,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Sie,PPER,sie,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,",","$,",--,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Welting,NE,welting,19078,welting,(0)
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,:,$.,--,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,ich,PPER,ich,19078,wildenhain,(1)
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,trage,VVFIN,tragen,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,keine,PIAT,kein,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Zinsen,NN,zins,19078,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,.,$.,--,19078,,
qd,kd4r.0,908,953,WELTING,welting,Wer,PWS,wer,19078,,
qd,kd4r.0,908,953,WELTING,welting,weiß,VVFIN,weiß,19078,,
qd,kd4r.0,908,953,WELTING,welting,"!",$.,--,19078,,
qd,kd4r.0,908,953,WELTING,welting,Sie,PPER,sie,19078,,
qd,kd4r.0,908,953,WELTING,welting,sollen,VMFIN,sollen,19078,,
qd,kd4r.0,908,953,WELTING,welting,welche,PWAT,welcher,19078,,
qd,kd4r.0,908,953,WELTING,welting,tragen,VVINF,tragen,19078,,
qd,kd4r.0,908,953,WELTING,welting,.,$.,--,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,Vor,APPR,vor,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,der,ART,der,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,Hand,NN,hand,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,muß,VMFIN,müssen,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,ich,PPER,ich,19078,wildenhain,(1)
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,sie,PPER,sie,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,leider,ADV,leider,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,bezahlen,VVINF,bezahlen,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,.,$.,--,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,–,XY,–,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,Wo,PWAV,wo,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,ist,VAFIN,sein,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,unsere,PPOSAT,unser,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,schöne,ADJA,schön,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,Hausfrau,NN,hausfrau,19078,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,?,$.,--,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Bei,APPR,bei,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,den,ART,der,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Zurüstungen,NN,zurüstung,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,zu,APPR,zu,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,dem,ART,der,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,großen,ADJA,groß,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Ball,NN,ball,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,",","$,",--,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,der,PRELS,der,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,heute,ADV,heute,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,–,XY,–,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,–,XY,–,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Nun,ADV,nun,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,",","$,",--,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,lieber,ADJD,lieber,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Baron,NE,baron,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,",","$,",--,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,erinnern,VVFIN,erinnern,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Sie,PPER,sie,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,sich,PRF,sich,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,an,APPR,an,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,unser,PPOSAT,unser,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,letztes,ADJA,letzter,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,Gespräch,NN,gespräch,19078,,
qd,kd4r.0,1050,1177,WELTING,welting,?,$.,--,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,So,ADV,so,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,wenig,PIDAT,wenig,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,als,KOKOM,als,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,an,APPR,an,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,meine,PPOSAT,mein,19078,wildenhain,(1)
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,letzte,ADJA,letzter,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,Liebschaft,NN,liebschaft,19078,,
qd,kd4r.0,1182,1273,WILDENHAIN,wildenhain,.,$.,--,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,Ich,PPER,ich,19078,welting,(0)
qd,kd4r.0,1278,1357,WELTING,welting,erzählte,VVFIN,erzählen,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,Ihnen,PPER,ihnen,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,von,APPR,von,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,einer,ART,ein,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,großen,ADJA,groß,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,Spekulation,NN,spekulation,19078,,
qd,kd4r.0,1278,1357,WELTING,welting,–,XY,–,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,Das,PDS,der,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,ist,VAFIN,sein,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,gewöhnlich,ADJD,gewöhnlich,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,der,ART,der,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,Inhalt,NN,inhalt,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,Ihrer,PPOSAT,ihr,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,Novellen,NN,novelle,19078,,
qd,kd4r.0,1362,1420,WILDENHAIN,wildenhain,.,$.,--,19078,,
qd,kd4r.0,1425,1466,WELTING,welting,Von,APPR,von,19078,,
qd,kd4r.0,1425,1466,WELTING,welting,einer,ART,ein,19078,,
qd,kd4r.0,1425,1466,WELTING,welting,Aktien-Unternehmung,NN,aktien-unternehmung,19078,,
qd,kd4r.0,1425,1466,WELTING,welting,–,XY,–,19078,,
qd,kd4r.0,1471,1532,WILDENHAIN,wildenhain,Um,APPR,um,19078,,
qd,kd4r.0,1471,1532,WILDENHAIN,wildenhain,den,ART,der,19078,,
qd,kd4r.0,1471,1532,WILDENHAIN,wildenhain,Leuten,NN,leute,19078,,
qd,kd4r.0,1471,1532,WILDENHAIN,wildenhain,das,ART,der,19078,,
qd,kd4r.0,1471,1532,WILDENHAIN,wildenhain,Geld,NN,geld,19078,,
