corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,kd4v.0,377,47940,0,391,5949,0
qd,kd4v.0,377,47940,0,5963,10321,0
qd,kd4v.0,377,47940,0,10335,15798,0
qd,kd4v.0,377,47940,0,15811,21639,0
qd,kd4v.0,377,47940,0,21652,26932,0
qd,kd4v.0,377,47940,0,26946,28947,0
qd,kd4v.0,377,47940,0,28961,33128,0
qd,kd4v.0,377,47940,0,33141,34248,0
qd,kd4v.0,377,47940,0,34262,41757,0
qd,kd4v.0,377,47940,0,41771,42819,0
qd,kd4v.0,377,47940,0,42833,43586,0
qd,kd4v.0,377,47940,0,43599,43882,0
qd,kd4v.0,377,47940,0,43895,46125,0
qd,kd4v.0,377,47940,0,46138,47940,0
qd,kd4v.0,47955,88846,0,47969,51935,0
qd,kd4v.0,47955,88846,0,51948,53233,0
qd,kd4v.0,47955,88846,0,53247,54830,0
qd,kd4v.0,47955,88846,0,54844,55610,0
qd,kd4v.0,47955,88846,0,55623,59042,0
qd,kd4v.0,47955,88846,0,59055,68493,0
qd,kd4v.0,47955,88846,0,68507,75949,0
qd,kd4v.0,47955,88846,0,75963,77057,0
qd,kd4v.0,47955,88846,0,77071,79059,0
qd,kd4v.0,47955,88846,0,79073,83414,0
qd,kd4v.0,47955,88846,0,83427,88846,0
