corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kd4z.0,1265,1353,SITTIG,sittig,»,XY,»,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,Und,KON,und,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,so,ADV,so,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,hat,VAFIN,haben,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,denn,ADV,denn,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,das,ART,der,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,Juste-Milieu,NN,juste-milieu,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,fast,ADV,fast,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,alle,PIS,aller,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,seine,PPOSAT,sein,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,Anhänger,NN,anhänger,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,verloren,VVFIN,verlieren,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,–,XY,–,23442,,
qd,kd4z.0,1265,1353,SITTIG,sittig,«,XY,«,23442,,
qd,kd4z.0,1358,1421,RAT,rat,Schade,ADJD,schade,23442,,
qd,kd4z.0,1358,1421,RAT,rat,um,APPR,um,23442,,
qd,kd4z.0,1358,1421,RAT,rat,das,ART,der,23442,,
qd,kd4z.0,1358,1421,RAT,rat,Juste-Milieu,NN,juste-milieu,23442,,
qd,kd4z.0,1358,1421,RAT,rat,"!",$.,--,23442,,
qd,kd4z.0,1358,1421,RAT,rat,Es,PPER,es,23442,,
qd,kd4z.0,1358,1421,RAT,rat,war,VAFIN,sein,23442,,
qd,kd4z.0,1358,1421,RAT,rat,eine,ART,ein,23442,,
qd,kd4z.0,1358,1421,RAT,rat,schöne,ADJA,schön,23442,,
qd,kd4z.0,1358,1421,RAT,rat,Erfindung,NN,erfindung,23442,,
qd,kd4z.0,1358,1421,RAT,rat,.,$.,--,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,Herr,NN,herr,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,Rat,NN,Rat,23442,rat,(1)
qd,kd4z.0,1427,1482,SITTIG,sittig,",","$,",--,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,diese,PDAT,dieser,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,Ansicht,NN,ansicht,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,kann,VMFIN,können,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,ich,PPER,ich,23442,sittig,(0)
qd,kd4z.0,1427,1482,SITTIG,sittig,nicht,PTKNEG,nicht,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,teilen,VVINF,teilen,23442,,
qd,kd4z.0,1427,1482,SITTIG,sittig,.,$.,--,23442,,
qd,kd4z.0,1487,1560,RAT,rat,Ich,PPER,ich,23442,rat,(1)
qd,kd4z.0,1487,1560,RAT,rat,weiß,VVFIN,weiß,23442,,
qd,kd4z.0,1487,1560,RAT,rat,",","$,",--,23442,,
qd,kd4z.0,1487,1560,RAT,rat,Sie,PPER,sie,23442,,
qd,kd4z.0,1487,1560,RAT,rat,sind,VAFIN,sein,23442,,
qd,kd4z.0,1487,1560,RAT,rat,ein,ART,ein,23442,,
qd,kd4z.0,1487,1560,RAT,rat,Radikaler,NN,radikale,23442,,
qd,kd4z.0,1487,1560,RAT,rat,",","$,",--,23442,,
qd,kd4z.0,1487,1560,RAT,rat,aber,KON,aber,23442,,
qd,kd4z.0,1487,1560,RAT,rat,Sie,PPER,sie,23442,,
qd,kd4z.0,1487,1560,RAT,rat,werden,VAFIN,werden,23442,,
qd,kd4z.0,1487,1560,RAT,rat,einsehen,VVINF,einsehen,23442,,
qd,kd4z.0,1487,1560,RAT,rat,lernen,VVFIN,lernen,23442,,
qd,kd4z.0,1487,1560,RAT,rat,–,XY,–,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,Zankt,NN,zankt,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,ihr,PPOSAT,ihr,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,schon,ADV,schon,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,wieder,ADV,wieder,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,?,$.,--,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,Was,PWS,was,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,radikal,ADJD,radikal,23442,,
qd,kd4z.0,1565,1717,RÄTIN,rätin,"!",$.,--,23442,,
