corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,kjfz.0,482,575,_stage,482,491,Constanze,constanze
qd,kjfz.0,482,575,_stage,548,558,Langenberg,langenberg
qd,kjfz.0,628,659,constanze,640,643,Ich,constanze
qd,kjfz.0,664,746,langenberg,703,709,meinen,langenberg
qd,kjfz.0,751,830,constanze,810,813,ich,constanze
qd,kjfz.0,835,971,langenberg,873,877,mich,langenberg
qd,kjfz.0,835,971,langenberg,898,901,ich,langenberg
qd,kjfz.0,835,971,langenberg,948,951,ich,langenberg
qd,kjfz.0,976,1324,constanze,1044,1048,mein,constanze
qd,kjfz.0,976,1324,constanze,1073,1077,mein,constanze
qd,kjfz.0,976,1324,constanze,1104,1108,mich,constanze
qd,kjfz.0,976,1324,constanze,1152,1155,ich,constanze
qd,kjfz.0,976,1324,constanze,1176,1179,ich,constanze
qd,kjfz.0,976,1324,constanze,1282,1286,mich,constanze
qd,kjfz.0,1453,1596,langenberg,1495,1501,meines,langenberg
qd,kjfz.0,1453,1596,langenberg,1592,1595,mir,langenberg
qd,kjfz.0,1601,1829,constanze,1683,1687,mich,constanze
qd,kjfz.0,1834,1869,langenberg,1856,1861,meine,langenberg
qd,kjfz.0,1874,1951,constanze,1903,1907,mein,constanze
qd,kjfz.0,1956,2268,langenberg,1980,1983,mir,langenberg
qd,kjfz.0,1956,2268,langenberg,2036,2045,Constanze,constanze
qd,kjfz.0,1956,2268,langenberg,2116,2119,mir,langenberg
qd,kjfz.0,1956,2268,langenberg,2142,2145,Ich,langenberg
qd,kjfz.0,2273,2570,constanze,2469,2472,ich,constanze
qd,kjfz.0,2273,2570,constanze,2506,2509,ich,constanze
qd,kjfz.0,2273,2570,constanze,2526,2530,mein,constanze
qd,kjfz.0,2597,2784,constanze,2614,2618,mein,constanze
qd,kjfz.0,2597,2784,constanze,2660,2663,mir,constanze
qd,kjfz.0,2789,3101,langenberg,2842,2845,mir,langenberg
qd,kjfz.0,2789,3101,langenberg,2909,2912,mir,langenberg
qd,kjfz.0,2789,3101,langenberg,2915,2918,Ich,langenberg
qd,kjfz.0,2789,3101,langenberg,2948,2954,meiner,langenberg
qd,kjfz.0,2789,3101,langenberg,3031,3037,meiner,langenberg
qd,kjfz.0,2789,3101,langenberg,3038,3047,Constanze,constanze
qd,kjfz.0,2789,3101,langenberg,3052,3055,ich,langenberg
qd,kjfz.0,3106,3209,constanze,3145,3151,meines,constanze
qd,kjfz.0,3106,3209,constanze,3190,3193,mir,constanze
qd,kjfz.0,3214,3305,langenberg,3244,3248,mich,langenberg
qd,kjfz.0,3214,3305,langenberg,3285,3290,meine,langenberg
qd,kjfz.0,3311,3583,constanze,3360,3363,ich,constanze
qd,kjfz.0,3311,3583,constanze,3374,3378,mein,constanze
qd,kjfz.0,3311,3583,constanze,3500,3503,Ich,constanze
qd,kjfz.0,3311,3583,constanze,3553,3556,ich,constanze
qd,kjfz.0,3311,3583,constanze,3557,3563,meiner,constanze
qd,kjfz.0,3588,3682,langenberg,3664,3670,meiner,langenberg
qd,kjfz.0,3588,3682,langenberg,3671,3680,Constanze,constanze
qd,kjfz.0,3687,3798,constanze,3773,3777,mein,constanze
qd,kjfz.0,3803,3905,langenberg,3816,3825,Constanze,constanze
qd,kjfz.0,3803,3905,langenberg,3877,3881,mein,langenberg
qd,kjfz.0,3943,4326,langenberg,3977,3980,ich,langenberg
qd,kjfz.0,3943,4326,langenberg,3997,4002,meine,langenberg
qd,kjfz.0,3943,4326,langenberg,4034,4037,ich,langenberg
qd,kjfz.0,3943,4326,langenberg,4065,4069,mich,langenberg
qd,kjfz.0,3943,4326,langenberg,4105,4109,mich,langenberg
qd,kjfz.0,3943,4326,langenberg,4139,4145,meinen,langenberg
qd,kjfz.0,3943,4326,langenberg,4192,4195,ich,langenberg
qd,kjfz.0,3943,4326,langenberg,4248,4251,ich,langenberg
qd,kjfz.0,3943,4326,langenberg,4302,4306,mich,langenberg
qd,kjfz.0,4331,4424,constanze,4377,4380,ich,constanze
qd,kjfz.0,4429,4491,langenberg,4475,4481,Moritz,moritz
qd,kjfz.0,4527,4952,langenberg,4566,4569,mir,langenberg
qd,kjfz.0,4527,4952,langenberg,4579,4582,ich,langenberg
qd,kjfz.0,4527,4952,langenberg,4729,4732,Mir,langenberg
qd,kjfz.0,4527,4952,langenberg,4925,4928,ich,langenberg
qd,kjfz.0,5101,5144,constanze,5122,5125,ich,constanze
qd,kjfz.0,5219,5289,constanze,5269,5273,mich,constanze
qd,kjfz.0,5294,5530,langenberg,5377,5383,Moritz,moritz
qd,kjfz.0,5294,5530,langenberg,5488,5491,ich,langenberg
qd,kjfz.0,5535,5578,constanze,5547,5550,Ich,constanze
qd,kjfz.0,5583,5730,langenberg,5596,5599,Ich,langenberg
qd,kjfz.0,5583,5730,langenberg,5637,5640,ich,langenberg
qd,kjfz.0,5583,5730,langenberg,5693,5698,meine,langenberg
qd,kjfz.0,5735,5906,constanze,5781,5785,mein,constanze
qd,kjfz.0,5735,5906,constanze,5811,5814,ich,constanze
qd,kjfz.0,5911,5976,langenberg,5929,5938,Constanze,constanze
qd,kjfz.0,5981,6052,constanze,6043,6047,mich,constanze
qd,kjfz.0,6103,6136,_stage,6111,6119,Gustchen,gustchen
qd,kjfz.0,6492,6558,langenberg,6529,6532,ich,langenberg
qd,kjfz.0,6492,6558,langenberg,6541,6547,meiner,langenberg
qd,kjfz.0,6564,6723,constanze,6588,6592,Mein,constanze
qd,kjfz.0,6564,6723,constanze,6602,6605,ich,constanze
qd,kjfz.0,6564,6723,constanze,6682,6686,mein,constanze
qd,kjfz.0,6972,7174,langenberg,6988,6991,ich,langenberg
qd,kjfz.0,6972,7174,langenberg,7093,7096,ich,langenberg
qd,kjfz.0,6972,7174,langenberg,7108,7111,ich,langenberg
qd,kjfz.0,7332,7537,constanze,7374,7377,Ich,constanze
qd,kjfz.0,7332,7537,constanze,7421,7424,mir,constanze
qd,kjfz.0,7710,7956,constanze,7811,7814,mir,constanze
qd,kjfz.0,7710,7956,constanze,7844,7850,meinen,constanze
