corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kjg2.0,320,381,EDMUND,edmund,geht,VVFIN,gehen,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,auf,PTKVZ,auf,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,und,KON,und,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,nieder,PTKVZ,nieder,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,",","$,",--,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,ein,ART,ein,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,Buch,NN,buch,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,in,APPR,in,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,der,ART,der,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,Hand,NN,hand,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,",","$,",--,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,auswendig,ADJD,auswendig,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,lernend,ADJD,lernend,13012,,
qd,kjg2.0,320,381,EDMUND,edmund,.,$.,--,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,Edmund,NE,edmund,13012,,(0)
qd,kjg2.0,763,817,_Stage,_Stage,.,$.,--,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,Hahnensporn,NE,hahnensporn,13012,,(1)
qd,kjg2.0,763,817,_Stage,_Stage,mit,APPR,mit,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,einem,ART,ein,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,Koffer,NN,koffer,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,auf,APPR,auf,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,der,ART,der,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,Schulter,NN,schulter,13012,,
qd,kjg2.0,763,817,_Stage,_Stage,.,$.,--,13012,,
qd,kjg2.0,1820,1825,EDMUND,edmund,naiv,ADJD,naiv,13012,,
qd,kjg2.0,1820,1825,EDMUND,edmund,.,$.,--,13012,,
qd,kjg2.0,3727,3735,EDMUND,edmund,lachend,ADJD,lachend,13012,,
qd,kjg2.0,3727,3735,EDMUND,edmund,.,$.,--,13012,,
qd,kjg2.0,7455,7481,HAHNENSPORN,hahnensporn,nimmt,VVFIN,nehmen,13012,,
qd,kjg2.0,7455,7481,HAHNENSPORN,hahnensporn,einen,ART,ein,13012,,
qd,kjg2.0,7455,7481,HAHNENSPORN,hahnensporn,Kragen,NN,kragen,13012,,
qd,kjg2.0,7455,7481,HAHNENSPORN,hahnensporn,heraus,PTKVZ,heraus,13012,,
qd,kjg2.0,7455,7481,HAHNENSPORN,hahnensporn,.,$.,--,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,empfängt,VVFIN,empfangen,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,die,ART,der,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,Sachen,NN,sache,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,",","$,",--,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,hält,VVFIN,halten,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,sie,PPER,sie,13012,,
qd,kjg2.0,7622,7704,EDMUND,edmund,gegen,APPR,gegen,13012,,
