corpus,drama,figure_surface,figure_id,Gender,Age
qd,kjgv.0,FRANZ,franz,,
qd,kjgv.0,RÖSCHEN,röschen,,
qd,kjgv.0,HUGO,hugo,,
qd,kjgv.0,DREI HEXEN,drei_hexen,,
qd,kjgv.0,SYCORAX,sycorax,,
qd,kjgv.0,MEPHISTO,mephistopheles,,
qd,kjgv.0,GANZER CHOR,ganzer_chor,,
qd,kjgv.0,KNAPPE,knappe,,
qd,kjgv.0,FAUST,faust,,
qd,kjgv.0,MOOR,moor,,
qd,kjgv.0,EINE HEXE,eine_hexe,,
qd,kjgv.0,CHOR DER BEGLEITER HUGO'S,chor_der_begleiter_hugos,,
qd,kjgv.0,CHOR DER MÄNNER,chor_der_männer,,
qd,kjgv.0,KUNIGUNDE,kunigunde,,
qd,kjgv.0,KAYLINGER,kaylinger,,
qd,kjgv.0,KUNIGUNDENS DIENERIN,kunigundens_dienerin,,
qd,kjgv.0,GULF,gulf,,
qd,kjgv.0,WAGNER,wagner,,
qd,kjgv.0,CHOR DER GEISTER,geister,,
qd,kjgv.0,HOCHZEITSGÄSTE,hochzeitsgäste,,
qd,kjgv.0,WOHLHALDT,wohlhaldt,,
