corpus,drama,figure_surface,figure_id,Gender,Age
qd,kmdh.0,ROSE,rose,,
qd,kmdh.0,Fleure,fleure,,
qd,kmdh.0,KATHRIN,kathrin,,
qd,kmdh.0,DORLE,dore,,
qd,kmdh.0,ADOLPH,adolph,,
qd,kmdh.0,VEIT,veit,,
qd,kmdh.0,LISBETH,lisbeth,,
qd,kmdh.0,STEFFEN,steffen,,
qd,kmdh.0,BASTIAN,bastian,,
qd,kmdh.0,Michel,michel,,
qd,kmdh.0,CHARLES,charles,,
qd,kmdh.0,AMÉLIE,amélie,,
qd,kmdh.0,PETER,peter,,
qd,kmdh.0,GRAF,graf,,
qd,kmdh.0,GERTRUDE,gertrud,,
qd,kmdh.0,DENISE,denise,,
qd,kmdh.0,LEBLANC,leblanc,,
qd,kmdh.0,DIENER,diener,,
