corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kmqb.0,1036,1369,_Stage,_Stage,Saal,NN,saal,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,in,APPR,in,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,den,ART,der,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Tuilerien,NN,tuilerium,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Links,NE,links,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,ein,ART,ein,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Schreibtisch,NN,schreibtisch,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,",","$,",--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,an,APPR,an,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,welchem,PWAT,welcher,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Danton,NN,danton,23381,,(0)
qd,kmqb.0,1036,1369,_Stage,_Stage,und,KON,und,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,die,ART,der,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Andern,NN,ander,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,sitzen,VVFIN,sitzen,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,",","$,",--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,lesend,ADJD,lesend,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,und,KON,und,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,schreibend,ADJD,schreibend,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Es,PPER,es,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,ist,VAFIN,sein,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Nacht,NN,nacht,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Mächtige,ADJA,mächtig,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Leuchter,NN,leuchter,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,brennen,VVFIN,brennen,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Im,APPRART,in,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Hintergrund,NN,hintergrund,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,links,ADV,links,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,ein,ART,ein,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Erker,NN,erker,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,mit,APPR,mit,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,offenem,ADJA,offen,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Altan,NN,altan,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,",","$,",--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,durch,APPR,durch,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,den,PRELS,der,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,man,PIS,man,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,nach,APPR,nach,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Paris,NE,paris,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,hineinschaut,VVFIN,hineinschauen,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,–,XY,–,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Links,NE,links,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,und,KON,und,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,rechts,ADV,rechts,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Thüren,NN,thüre,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Rechts,NN,rechts,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,im,APPRART,in,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Hintergrund,NN,hintergrund,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,offene,ADJA,offen,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Thür,NN,thür,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,",","$,",--,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,von,APPR,von,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,wo,PWAV,wo,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,man,PIS,man,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,in,APPR,in,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,Nebensäle,NE,nebensäle,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,sieht,VVFIN,sehen,23381,,
qd,kmqb.0,1036,1369,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1372,1418,_Stage,_Stage,Danton,NE,danton,23381,,(0)
qd,kmqb.0,1372,1418,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1372,1418,_Stage,_Stage,Barras,NE,barras,23381,,(4)
qd,kmqb.0,1372,1418,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1372,1418,_Stage,_Stage,Talleyrand,NN,talleyrand,23381,,(1)
qd,kmqb.0,1372,1418,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1372,1418,_Stage,_Stage,Collot,NE,collot,23381,,(5)
qd,kmqb.0,1372,1418,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1372,1418,_Stage,_Stage,Theroigne,NN,theroigne,23381,,(3)
qd,kmqb.0,1372,1418,_Stage,_Stage,.,$.,--,23381,,
qd,kmqb.0,1429,1439,DANTON,danton,steht,VVFIN,stehen,23381,,
qd,kmqb.0,1429,1439,DANTON,danton,auf,PTKVZ,auf,23381,,
