corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,knb2.0,3346,3818,RESI,resi,»,XY,»,30157,,
qd,knb2.0,3346,3818,RESI,resi,A,NN,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Busserl,NE,busserl,30157,,
qd,knb2.0,3346,3818,RESI,resi,is,VAFIN,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,a,ART,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,schnackig,ADJD,schnackig,30157,,
qd,knb2.0,3346,3818,RESI,resi,Ding,NN,ding,30157,,
qd,knb2.0,3346,3818,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Das,ART,der,30157,,
qd,knb2.0,3346,3818,RESI,resi,Beste,NN,gut,30157,,
qd,knb2.0,3346,3818,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3346,3818,RESI,resi,was,PRELS,was,30157,,
qd,knb2.0,3346,3818,RESI,resi,man,PIS,man,30157,,
qd,knb2.0,3346,3818,RESI,resi,hoat,ADJD,hoat,30157,,
qd,knb2.0,3346,3818,RESI,resi,–,XY,–,30157,,
qd,knb2.0,3346,3818,RESI,resi,Man,PIS,man,30157,,
qd,knb2.0,3346,3818,RESI,resi,ißt,VVFIN,essen,30157,,
qd,knb2.0,3346,3818,RESI,resi,',$[,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,s,PPER,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,halt,ADV,halt,30157,,
qd,knb2.0,3346,3818,RESI,resi,net,PTKNEG,net,30157,,
qd,knb2.0,3346,3818,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3346,3818,RESI,resi,man,PIS,man,30157,,
qd,knb2.0,3346,3818,RESI,resi,trinkt,VVFIN,trinken,30157,,
qd,knb2.0,3346,3818,RESI,resi,',$[,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,s,PPER,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,halt,ADV,halt,30157,,
qd,knb2.0,3346,3818,RESI,resi,net,PTKNEG,net,30157,,
qd,knb2.0,3346,3818,RESI,resi,Und,KON,und,30157,,
qd,knb2.0,3346,3818,RESI,resi,allweil,ADJD,allweil,30157,,
qd,knb2.0,3346,3818,RESI,resi,schmeckt,VVFIN,schmecken,30157,,
qd,knb2.0,3346,3818,RESI,resi,',$[,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,s,PPER,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,so,ADV,so,30157,,
qd,knb2.0,3346,3818,RESI,resi,guat,ADJD,guat,30157,,
qd,knb2.0,3346,3818,RESI,resi,"!",$.,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Und,KON,und,30157,,
qd,knb2.0,3346,3818,RESI,resi,was,PWS,was,30157,,
qd,knb2.0,3346,3818,RESI,resi,a,XY,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Schreiber,NE,schreiber,30157,,
qd,knb2.0,3346,3818,RESI,resi,schreiben,VVINF,schreiben,30157,,
qd,knb2.0,3346,3818,RESI,resi,kunnt,VVFIN,kunnen,30157,,
qd,knb2.0,3346,3818,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Wohl,NN,wohl,30157,,
qd,knb2.0,3346,3818,RESI,resi,in,APPR,in,30157,,
qd,knb2.0,3346,3818,RESI,resi,zehntausend,CARD,zehntausend,30157,,
qd,knb2.0,3346,3818,RESI,resi,Stund,NN,stund,30157,,
qd,knb2.0,3346,3818,RESI,resi,',$[,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Dös,NE,dös,30157,,
qd,knb2.0,3346,3818,RESI,resi,drückt,VVFIN,drücken,30157,,
qd,knb2.0,3346,3818,RESI,resi,oan,ADV,oan,30157,,
qd,knb2.0,3346,3818,RESI,resi,einzig,ADJD,einzig,30157,,
qd,knb2.0,3346,3818,RESI,resi,',$[,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,s,PPER,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Busserl,NN,busserl,30157,,
qd,knb2.0,3346,3818,RESI,resi,aus,PTKVZ,aus,30157,,
qd,knb2.0,3346,3818,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3346,3818,RESI,resi,Dem,ART,der,30157,,
qd,knb2.0,3346,3818,RESI,resi,Dearndl,NN,dearndl,30157,,
qd,knb2.0,3346,3818,RESI,resi,auf,APPR,auf,30157,,
qd,knb2.0,3346,3818,RESI,resi,den,ART,der,30157,,
qd,knb2.0,3346,3818,RESI,resi,Mund,NN,mund,30157,,
qd,knb2.0,3346,3818,RESI,resi,.,$.,--,30157,,
qd,knb2.0,3346,3818,RESI,resi,«,XY,«,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,Ja,PTKANT,ja,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,ein,ART,ein,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,Busserl,NN,busserl,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,"!",$.,--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,Gut,ADJD,gut,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,schmeckt,VVFIN,schmecken,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,',$[,--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,s,PPER,--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,schon,ADV,schon,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,"!",$.,--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,Aber,KON,aber,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,kriegen,VVFIN,kriegen,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,muß,VMFIN,müssen,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,man,PIS,man,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,',$[,--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,s,PPER,--,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,halt,ADV,halen,30157,,
qd,knb2.0,3823,3911,LEOPOLD,leopold,"!",$.,--,30157,,
qd,knb2.0,3916,3980,RESI,resi,Aber,KON,aber,30157,,
qd,knb2.0,3916,3980,RESI,resi,Ihnen,PPER,ihnen,30157,,
qd,knb2.0,3916,3980,RESI,resi,kann,VMFIN,können,30157,,
qd,knb2.0,3916,3980,RESI,resi,dös,ADV,dös,30157,,
qd,knb2.0,3916,3980,RESI,resi,doch,ADV,doch,30157,,
qd,knb2.0,3916,3980,RESI,resi,net,PTKNEG,net,30157,,
qd,knb2.0,3916,3980,RESI,resi,schwer,ADJD,schwer,30157,,
qd,knb2.0,3916,3980,RESI,resi,werd,ADJD,werden,30157,,
qd,knb2.0,3916,3980,RESI,resi,',$[,--,30157,,
qd,knb2.0,3916,3980,RESI,resi,n,XY,--,30157,,
qd,knb2.0,3916,3980,RESI,resi,",","$,",--,30157,,
qd,knb2.0,3916,3980,RESI,resi,Herr,NN,herr,30157,,
qd,knb2.0,3916,3980,RESI,resi,Le,FM,Le,30157,,
qd,knb2.0,3916,3980,RESI,resi,',$[,--,30157,,
qd,knb2.0,3916,3980,RESI,resi,pold,FM,pold,30157,,
qd,knb2.0,3916,3980,RESI,resi,.,$.,--,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Einem,ART,ein,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Mann,NN,mann,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,",","$,",--,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,wie,PWAV,wie,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Sie,PPER,sie,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,–,XY,–,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,in,APPR,in,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,einer,ART,ein,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,so,ADV,so,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,bedeutenden,ADJA,bedeutend,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Stellung,NN,stellung,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,:,$.,--,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Zählkellner,NN,zählkellner,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,im,APPRART,in,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,»,NN,»,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Weißen,ADJA,weißen,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Rößl,NN,rößl,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,«,XY,«,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,"!",$.,--,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Da,ADV,da,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,ist,VAFIN,sein,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,ja,ADV,ja,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,ein,ART,ein,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,Minister,NN,minister,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,a,XY,--,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,net,PTKNEG,net,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,viel,ADV,viel,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,mehr,ADV,mehr,30157,,
qd,knb2.0,3985,4118,LOIDL,loidl,"!",$.,--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Na,ITJ,na,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,ja,ADV,ja,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,–,VVFIN,–,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,man,PIS,man,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,ist,VAFIN,sein,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,schon,ADV,schon,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,wer,PWS,wer,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,in,APPR,in,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,der,ART,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Welt,NN,welt,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,"!",$.,--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Mit,APPR,mit,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,dem,ART,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Gelde,NN,geld,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Gelingend,ADJD,gelingend,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,das,PRELS,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,er,PPER,er,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,nach,APPR,nach,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Art,NN,Art,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,der,ART,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Zahlkellner,NN,zahlkellner,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,unter,APPR,unter,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,dem,ART,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Frackschoß,NN,frackschoß,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,in,APPR,in,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,einer,ART,ein,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Ledertasche,NN,ledertasche,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,trägt,VVFIN,tragen,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,.,$.,--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Man,PIS,man,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,hat,VAFIN,haben,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,',$[,--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,s,PPER,--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,ja,ADV,ja,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,zu,APPR,zu,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,was,PWS,was,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,bracht,VVFIN,bracht,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,aber,KON,aber,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,glaubend,ADJD,glaubend,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,daß,KOUS,daß,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,das,PDS,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,die,ART,der,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,Leute,NN,leute,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,einsehen,VVINF,einsehen,30157,,
qd,knb2.0,4123,4364,LEOPOLD,leopold,?,$.,--,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,Wird,VAFIN,werden,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,schon,ADV,schon,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,kommen,VVFIN,kommen,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,",","$,",--,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,–,VVFIN,–,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,nur,ADV,nur,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,net,PTKNEG,net,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,nachlassen,VVINF,nachlassen,30157,,
qd,knb2.0,4369,4417,LOIDL,loidl,"!",$.,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,Ich,PPER,ich,30157,leopold,(1)
qd,knb2.0,4423,4518,LEOPOLD,leopold,laß,VVFIN,lassen,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,',$[,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,auch,ADV,auch,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,net,PTKNEG,net,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,nach,APPR,nach,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,"!",$.,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,Aber,KON,aber,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,sagen,VVFIN,sagen,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,',$[,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,s,PPER,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,Resi,NE,resi,30157,resi,(0)
qd,knb2.0,4423,4518,LEOPOLD,leopold,",","$,",--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,wo,PWAV,wo,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,haben,VAFIN,haben,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,',$[,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,s,PPER,--,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,denn,ADV,denn,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,die,ART,der,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,schönen,ADJA,schön,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,Blümeln,NN,blümel,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,her,PTKVZ,her,30157,,
qd,knb2.0,4423,4518,LEOPOLD,leopold,?,$.,--,30157,,
qd,knb2.0,4523,4670,RESI,resi,Droben,ADV,drobe,30157,,
qd,knb2.0,4523,4670,RESI,resi,vom,APPRART,von,30157,,
qd,knb2.0,4523,4670,RESI,resi,Steinkogel,NN,steinkogel,30157,,
qd,knb2.0,4523,4670,RESI,resi,"!",$.,--,30157,,
qd,knb2.0,4523,4670,RESI,resi,Wie,PWAV,wie,30157,,
qd,knb2.0,4523,4670,RESI,resi,ich,PPER,ich,30157,resi,(0)
qd,knb2.0,4523,4670,RESI,resi,heut,ADV,heut,30157,,
qd,knb2.0,4523,4670,RESI,resi,in,APPR,in,30157,,
qd,knb2.0,4523,4670,RESI,resi,der,ART,der,30157,,
qd,knb2.0,4523,4670,RESI,resi,Früh,ADJD,früh,30157,,
