corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,Ey,NE,ey,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,",","$,",--,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,wenn,KOUS,wenn,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,wird,VAFIN,werden,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,denn,ADV,denn,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,das,ART,der,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,unzeitige,ADJA,unzeitig,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,Singen,NN,singen,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,einmal,ADV,einmal,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,aufhören,VVFIN,aufhören,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,?,$.,--,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,Ich,PPER,ich,22191,sittenreich,(0)
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,habe,VAFIN,haben,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,euch,PRF,euch,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,schon,ADV,schon,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,so,ADV,so,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,oft,ADV,oft,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,darum,PROAV,darum,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,ersucht,VVPP,ersuchen,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,.,$.,--,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,Alle,PIDAT,aller,22191,,
qd,kpkv.0,793,2449,SITTENREICH,sittenreich,Nachbarn,NN,nachbar,22191,,
