corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,kpsp.0,199,363,_stage,277,280,Fru,fru
qd,kpsp.0,366,543,bahnmeester,454,457,Fru,fru
qd,kpsp.0,475,543,_stage,478,481,Fru,fru
qd,kpsp.0,1608,1857,bahnmeester,1675,1681,meinen,bahnmeester
qd,kpsp.0,1862,1921,fru,1876,1887,Bahnmeester,bahnmeester
qd,kpsp.0,1862,1921,fru,1909,1920,Bahnmeester,bahnmeester
qd,kpsp.0,1938,1948,_stage,1944,1947,Fru,fru
qd,kpsp.0,1926,2157,bahnmeester,2029,2032,ich,bahnmeester
qd,kpsp.0,1926,2157,bahnmeester,2046,2050,mein,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,2312,2315,ich,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,2345,2348,ich,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,2582,2587,meine,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,2732,2735,ich,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,2947,2950,ich,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,2964,2968,mein,bahnmeester
qd,kpsp.0,2197,3244,bahnmeester,3042,3045,ich,bahnmeester
qd,kpsp.0,3249,3317,fru,3281,3292,Bahnmeester,bahnmeester
qd,kpsp.0,3778,4489,bahnmeester,3868,3871,ich,bahnmeester
qd,kpsp.0,3778,4489,bahnmeester,3893,3897,mein,bahnmeester
qd,kpsp.0,3778,4489,bahnmeester,3984,3987,ich,bahnmeester
qd,kpsp.0,3778,4489,bahnmeester,3988,3991,mir,bahnmeester
qd,kpsp.0,3778,4489,bahnmeester,4363,4366,ich,bahnmeester
qd,kpsp.0,3778,4489,bahnmeester,4418,4421,ich,bahnmeester
qd,kpsp.0,4495,4552,fru,4518,4529,Bahnmeester,bahnmeester
qd,kpsp.0,5797,5942,fru,5857,5868,Bahnmeester,bahnmeester
qd,kpsp.0,6516,6678,fru,6641,6652,Bahnmeester,bahnmeester
qd,kpsp.0,7327,7543,bahnmeester,7425,7436,Bahnmeester,bahnmeester
qd,kpsp.0,7969,8076,fru,8040,8051,Bahnmeester,bahnmeester
qd,kpsp.0,8081,8198,bahnmeester,8173,8184,Bahnmeester,bahnmeester
qd,kpsp.0,8934,9655,bahnmeester,9447,9458,Bahnmeester,bahnmeester
qd,kpsp.0,9660,9904,fru,9768,9771,Fru,fru
qd,kpsp.0,10944,11065,fru,11005,11016,Bahnmeester,bahnmeester
