corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kq6k.0,885,1184,KERN,kern,Das,ART,der,24510,,
qd,kq6k.0,885,1184,KERN,kern,Studium,NN,studium,24510,,
qd,kq6k.0,885,1184,KERN,kern,der,ART,der,24510,,
qd,kq6k.0,885,1184,KERN,kern,Historia,NE,historia,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,Der,ART,der,24510,,
qd,kq6k.0,885,1184,KERN,kern,großen,ADJA,groß,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,ganzen,ADJA,ganz,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,die,ART,der,24510,,
qd,kq6k.0,885,1184,KERN,kern,allgemein,ADJD,allgemein,24510,,
qd,kq6k.0,885,1184,KERN,kern,Die,ART,der,24510,,
qd,kq6k.0,885,1184,KERN,kern,Welt,NN,welt,24510,,
qd,kq6k.0,885,1184,KERN,kern,umfaßt,VVFIN,umfassen,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,nicht,PTKNEG,nicht,24510,,
qd,kq6k.0,885,1184,KERN,kern,blos,ADJD,blos,24510,,
qd,kq6k.0,885,1184,KERN,kern,Germania,NE,germania,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,Nimmt,VVFIN,nehmen,24510,,
qd,kq6k.0,885,1184,KERN,kern,mich,PPER,mich,24510,kern,(0)
qd,kq6k.0,885,1184,KERN,kern,mit,APPR,mit,24510,,
qd,kq6k.0,885,1184,KERN,kern,allen,PIDAT,aller,24510,,
qd,kq6k.0,885,1184,KERN,kern,Wundern,NN,wunder,24510,,
qd,kq6k.0,885,1184,KERN,kern,jetzt,ADV,jetzt,24510,,
qd,kq6k.0,885,1184,KERN,kern,ein,PTKVZ,ein,24510,,
qd,kq6k.0,885,1184,KERN,kern,.,$.,--,24510,,
qd,kq6k.0,885,1184,KERN,kern,Ich,PPER,ich,24510,kern,(0)
qd,kq6k.0,885,1184,KERN,kern,forsche,VVFIN,forschen,24510,,
qd,kq6k.0,885,1184,KERN,kern,ihren,PPOSAT,ihr,24510,,
qd,kq6k.0,885,1184,KERN,kern,Quellen,NN,quelle,24510,,
qd,kq6k.0,885,1184,KERN,kern,nach,PTKVZ,nach,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,Und,KON,und,24510,,
qd,kq6k.0,885,1184,KERN,kern,ich,PPER,ich,24510,kern,(0)
qd,kq6k.0,885,1184,KERN,kern,mag,VMFIN,mögen,24510,,
qd,kq6k.0,885,1184,KERN,kern,mich,PRF,mich,24510,kern,(0)
qd,kq6k.0,885,1184,KERN,kern,wol,ADJD,wol,24510,,
qd,kq6k.0,885,1184,KERN,kern,erdreisten,ADJA,erdreisten,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,Zu,PTKZU,zu,24510,,
qd,kq6k.0,885,1184,KERN,kern,sagen,VVINF,sagen,24510,,
qd,kq6k.0,885,1184,KERN,kern,laut,ADJD,laut,24510,,
qd,kq6k.0,885,1184,KERN,kern,",","$,",--,24510,,
qd,kq6k.0,885,1184,KERN,kern,daß,KOUS,daß,24510,,
qd,kq6k.0,885,1184,KERN,kern,ich,PPER,ich,24510,kern,(0)
qd,kq6k.0,885,1184,KERN,kern,allgemach,VVFIN,allgemach,24510,,
qd,kq6k.0,885,1184,KERN,kern,Will,NE,wollen,24510,,
qd,kq6k.0,885,1184,KERN,kern,zur,APPRART,zu,24510,,
qd,kq6k.0,885,1184,KERN,kern,Zeit,NN,zeit,24510,,
qd,kq6k.0,885,1184,KERN,kern,in,APPR,in,24510,,
qd,kq6k.0,885,1184,KERN,kern,dem,ART,der,24510,,
qd,kq6k.0,885,1184,KERN,kern,Fach,NN,fach,24510,,
qd,kq6k.0,885,1184,KERN,kern,was,PWS,was,24510,,
qd,kq6k.0,885,1184,KERN,kern,leisten,VVINF,leisten,24510,,
qd,kq6k.0,885,1184,KERN,kern,.,$.,--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Neben,APPR,neben,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,der,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,dürren,ADJA,dürr,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Prudenz,NN,prudenz,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,des,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Rechts,NN,recht,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Die,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,mich,PPER,mich,24510,weinhold,(1)
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,molestirt,VVFIN,molestiren,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,je,ADV,je,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,mehr,PIS,mehr,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,je,ADV,je,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,länger,ADJD,lang,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Studir,FM,studir,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,',$[,--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,ich,PPER,ich,24510,weinhold,(1)
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,die,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Blumen,NN,blume,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,des,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Menschengeschlechts,NN,menschengeschlecht,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Die,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,alten,ADJA,alt,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,und,KON,und,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,die,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,neuen,ADJA,neu,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Sänger,NN,sänger,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,;,$.,--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Versuche,NN,versuch,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,mich,PPER,mich,24510,weinhold,(1)
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,selber,ADV,selber,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,so,ADV,so,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,gut,ADJD,gut,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,es,PPER,es,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,geht,VVFIN,gehen,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Manchmal,ADV,manchmal,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,den,ART,der,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Parnaß,NN,parnaß,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,breit,ADJD,breit,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,zu,PTKZU,zu,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,treten,VVINF,treten,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,;,$.,--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Und,KON,und,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,ist,VAFIN,sein,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,auch,ADV,auch,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,verdorben,VVPP,verderben,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,an,APPR,an,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,mir,PPER,sich,24510,weinhold,(1)
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,kein,PIAT,kein,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Poet,NN,poet,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,",","$,",--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,Versteh,ADV,versteh,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,',$[,--,24510,,
qd,kq6k.0,1190,1534,WEINHOLD,weinhold,ich,PPER,ich,24510,weinhold,(1)
