corpus,drama,figure_surface,figure_id,Gender,Age
qd,kqwr.0,PEREZ,perez,,
qd,kqwr.0,ZIGEUNERIN,zigeunerin,,
qd,kqwr.0,PORPORINO,porporino,,
qd,kqwr.0,DER ALTE DIENER,der_alte_diener,,
qd,kqwr.0,ISABELLA,isabella,,
qd,kqwr.0,AQUILAR,aquilar,,
qd,kqwr.0,FELIX,felix,,
qd,kqwr.0,TRÄGER,träger,,
qd,kqwr.0,ZWEITER DIENER,anderer_diener,,
qd,kqwr.0,GEIGER,geiger,,
qd,kqwr.0,BEDIENTER,bedienter,,
qd,kqwr.0,DAME,dame,,
qd,kqwr.0,ERSTER,diener,,
qd,kqwr.0,MELANIE,melanie,,
qd,kqwr.0,PFEIFER,pfeifer,,
qd,kqwr.0,LUCILLA,lucilla,,
qd,kqwr.0,ISIDORA,isidora,,
qd,kqwr.0,EIN DIENER,ein_diener,,
qd,kqwr.0,VALERIO,valerio,,
qd,kqwr.0,ALONSO,alonso,,
qd,kqwr.0,PONCE,ponce,,
qd,kqwr.0,JUANNA,juanna,,
qd,kqwr.0,RITTER,ritter,,
qd,kqwr.0,SARMIENTO,sarmiento,,
qd,kqwr.0,VALERIA,valeria,,
qd,kqwr.0,VIELE,viele,,
