corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,krdh.0,20567,20614,primislaus,20579,20586,Libussa,libussa
qd,krdh.0,20619,21888,libussa,20941,20944,mir,libussa
qd,krdh.0,20976,20997,_stage,20976,20982,Druhan,druhan
qd,krdh.0,20976,20997,_stage,20987,20993,Chobol,chobol
qd,krdh.0,20619,21888,libussa,21067,21077,Primislaus,primislaus
qd,krdh.0,20619,21888,libussa,21574,21582,Trinitas,trinitas
qd,krdh.0,20619,21888,libussa,21838,21844,Druhan,druhan
qd,krdh.0,20619,21888,libussa,21849,21855,Chobol,chobol
qd,krdh.0,21893,24790,druhan,22381,22388,Libussa,libussa
qd,krdh.0,21893,24790,druhan,22807,22813,meinem,druhan
qd,krdh.0,21893,24790,druhan,22934,22937,ich,druhan
qd,krdh.0,21893,24790,druhan,22970,22973,Ich,druhan
qd,krdh.0,21893,24790,druhan,23815,23818,Ich,druhan
qd,krdh.0,21893,24790,druhan,23869,23877,das Volk,das_volk
qd,krdh.0,21893,24790,druhan,23873,23877,Volk,das_volk
qd,krdh.0,21893,24790,druhan,24011,24017,meines,druhan
qd,krdh.0,21893,24790,druhan,24370,24376,meines,druhan
qd,krdh.0,21893,24790,druhan,24407,24415,Trinitas,trinitas
qd,krdh.0,21893,24790,druhan,24417,24420,ich,druhan
qd,krdh.0,21893,24790,druhan,24612,24622,alles Volk,das_volk
qd,krdh.0,21893,24790,druhan,24618,24622,Volk,das_volk
qd,krdh.0,24751,24790,_stage,24761,24766,Tetka,tetka
qd,krdh.0,24751,24790,_stage,24771,24777,Kascha,kascha
qd,krdh.0,24796,24990,primislaus,24818,24821,mir,primislaus
qd,krdh.0,24796,24990,primislaus,24837,24840,mir,primislaus
qd,krdh.0,24796,24990,primislaus,24841,24848,Libussa,libussa
qd,krdh.0,24796,24990,primislaus,24886,24889,ich,primislaus
qd,krdh.0,42540,43137,_stage,42906,42913,Zwratka,zwratka
qd,krdh.0,42540,43137,_stage,42921,42930,Hubaljuta,lado
qd,krdh.0,42540,43137,_stage,42932,42941,Meneljuba,erste_huldin
qd,krdh.0,42540,43137,_stage,42943,42953,Moriwescha,moriwescha
qd,krdh.0,42540,43137,_stage,42955,42963,Entawopa,zweite_huldin
qd,krdh.0,42540,43137,_stage,42979,42984,Ziack,ziack
qd,krdh.0,42540,43137,_stage,43031,43035,Lado,lado
qd,krdh.0,42540,43137,_stage,43061,43066,Ziack,ziack
qd,krdh.0,42540,43137,_stage,43077,43080,Lel,ziack
qd,krdh.0,43140,43312,zwratka,43212,43215,mir,zwratka
qd,krdh.0,43140,43312,zwratka,43261,43264,mir,zwratka
qd,krdh.0,43140,43312,zwratka,43303,43306,ich,zwratka
qd,krdh.0,43357,43613,zwratka,43367,43370,Ich,zwratka
qd,krdh.0,43357,43613,zwratka,43392,43395,mir,zwratka
qd,krdh.0,43357,43613,zwratka,43416,43422,Lapack,lapack
qd,krdh.0,43474,43535,_stage,43474,43480,Lapack,lapack
qd,krdh.0,43357,43613,zwratka,43578,43587,Meneljuba,erste_huldin
qd,krdh.0,43357,43613,zwratka,43601,43607,meinen,zwratka
qd,krdh.0,43619,43681,erste_huldin,43630,43633,Ich,erste_huldin
qd,krdh.0,43619,43681,erste_huldin,43651,43655,mich,erste_huldin
qd,krdh.0,43686,43738,ziack,43715,43718,ich,ziack
qd,krdh.0,43743,43792,lado,43770,43773,mir,lado
qd,krdh.0,43797,43851,moriwescha,43820,43823,mir,moriwescha
qd,krdh.0,43856,43908,zweite_huldin,43866,43869,Ich,zweite_huldin
qd,krdh.0,43856,43908,zweite_huldin,43887,43890,ich,zweite_huldin
qd,krdh.0,43913,44050,zwratka,43942,43945,ich,zwratka
qd,krdh.0,43913,44050,zwratka,44015,44021,Lapack,lapack
qd,krdh.0,44055,44118,erste_huldin,44108,44111,mir,erste_huldin
qd,krdh.0,44124,44153,ziack,44131,44135,Mich,ziack
qd,krdh.0,44167,44240,_stage,44227,44233,Lapack,lapack
qd,krdh.0,44158,44292,zwratka,44252,44256,mich,zwratka
qd,krdh.0,44519,44939,zwratka,44663,44667,mein,zwratka
qd,krdh.0,44519,44939,zwratka,44702,44706,mein,zwratka
qd,krdh.0,44519,44939,zwratka,44859,44862,ich,zwratka
qd,krdh.0,45080,45174,_stage,45111,45117,Lapack,lapack
qd,krdh.0,45179,45361,lapack,45211,45217,meinem,lapack
qd,krdh.0,45179,45361,lapack,45245,45248,mir,lapack
qd,krdh.0,45179,45361,lapack,45295,45299,mich,lapack
qd,krdh.0,45367,45502,zwratka,45480,45486,Lapack,lapack
qd,krdh.0,45508,45560,lapack,45523,45526,ich,lapack
qd,krdh.0,45565,45991,zwratka,45598,45604,Wlasta,wlasta
qd,krdh.0,45565,45991,zwratka,45605,45608,mir,zwratka
qd,krdh.0,45565,45991,zwratka,45803,45811,das Volk,das_volk
qd,krdh.0,45565,45991,zwratka,45807,45811,Volk,das_volk
qd,krdh.0,45565,45991,zwratka,45852,45855,ich,zwratka
qd,krdh.0,45565,45991,zwratka,45916,45920,Lado,lado
qd,krdh.0,45565,45991,zwratka,45936,45939,Lel,ziack
qd,krdh.0,45565,45991,zwratka,45970,45975,meine,zwratka
qd,krdh.0,46104,47174,zwratka,46118,46121,ich,zwratka
qd,krdh.0,46104,47174,zwratka,46255,46259,Volk,das_volk
qd,krdh.0,46104,47174,zwratka,46338,46346,das Volk,das_volk
qd,krdh.0,46104,47174,zwratka,46342,46346,Volk,das_volk
qd,krdh.0,46104,47174,zwratka,46699,46709,Die Dirnen,die_dirnen
qd,krdh.0,46104,47174,zwratka,46703,46709,Dirnen,die_dirnen
qd,krdh.0,46104,47174,zwratka,46753,46758,meine,zwratka
qd,krdh.0,46104,47174,zwratka,46823,46826,mir,zwratka
qd,krdh.0,46104,47174,zwratka,46861,46867,meinem,zwratka
qd,krdh.0,46104,47174,zwratka,46882,46888,Wlasta,wlasta
qd,krdh.0,46104,47174,zwratka,46982,46985,ich,zwratka
qd,krdh.0,46104,47174,zwratka,47023,47026,ich,zwratka
qd,krdh.0,46104,47174,zwratka,47155,47158,ich,zwratka
qd,krdh.0,47180,47611,lapack,47369,47373,mich,lapack
qd,krdh.0,47617,48124,zwratka,47646,47649,ich,zwratka
qd,krdh.0,47617,48124,zwratka,47679,47682,ich,zwratka
qd,krdh.0,47617,48124,zwratka,47719,47724,meine,zwratka
qd,krdh.0,47617,48124,zwratka,47782,47786,mein,zwratka
qd,krdh.0,47617,48124,zwratka,47815,47819,mich,zwratka
qd,krdh.0,47617,48124,zwratka,47848,47851,Ich,zwratka
qd,krdh.0,47617,48124,zwratka,47922,47928,meinem,zwratka
qd,krdh.0,47617,48124,zwratka,47955,47963,das Volk,das_volk
qd,krdh.0,47617,48124,zwratka,47959,47963,Volk,das_volk
qd,krdh.0,48130,48273,lapack,48155,48158,ich,lapack
qd,krdh.0,48130,48273,lapack,48170,48174,mein,lapack
qd,krdh.0,48130,48273,lapack,48190,48193,mir,lapack
qd,krdh.0,48130,48273,lapack,48214,48217,ich,lapack
qd,krdh.0,48130,48273,lapack,48222,48226,mich,lapack
