corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Dem,ART,der,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Frieden,NN,frieden,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Heil,NN,heil,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,"!",$.,--,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,dem,ART,der,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Frieden,NN,frieden,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Heil,NN,heil,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,"!",$.,--,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Dem,ART,der,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Frieden,NN,frieden,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Heil,NN,heil,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,nach,APPR,nach,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Sturmestagen,NN,sturmestag,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,"!",$.,--,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Heil,NN,heil,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,dieser,PDAT,dieser,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Feier,NN,feier,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,reiner,ADJA,rein,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Lust,NN,lust,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,"!",$.,--,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Des,ART,der,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Helden,NN,held,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Herz,NN,herz,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,in,APPR,in,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,starker,ADJA,stark,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Brust,NN,brust,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Darf,VMFIN,dürfen,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,nun,ADV,nun,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,für,APPR,für,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,sanfte,ADJA,sanft,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Freuden,NN,freude,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,schlagen,VVFIN,schlagen,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,.,$.,--,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Dem,ART,der,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Frieden,NN,frieden,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Heil,NN,heil,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,"!",$.,--,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,dem,ART,der,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Frieden,NN,frieden,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,Heil,NN,heil,11026,,
qd,kw8v.0,1897,2480,CHOR DER FRAUEN,chor_der_frauen,"!",$.,--,11026,,
qd,kw8v.0,2485,2679,DIE RITTER,chor_der_ritter,Den,ART,der,11026,,
qd,kw8v.0,2485,2679,DIE RITTER,chor_der_ritter,Frauen,NN,frau,11026,,
qd,kw8v.0,2485,2679,DIE RITTER,chor_der_ritter,Heil,NN,heil,11026,,
