corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,m08h.0,581,608,_Stage,_Stage,Nureddin,NE,nureddin,9128,,(1)
qd,m08h.0,581,608,_Stage,_Stage,.,$.,--,9128,,
qd,m08h.0,581,608,_Stage,_Stage,Diener,NN,diener,9128,,(0
qd,m08h.0,581,608,_Stage,_Stage,Nureddins,NE,nureddin,9128,,0)
qd,m08h.0,581,608,_Stage,_Stage,.,$.,--,9128,,
qd,m08h.0,847,856,NUREDDIN,nureddin,träumend,ADJD,träumend,9128,,
qd,m08h.0,847,856,NUREDDIN,nureddin,.,$.,--,9128,,
qd,m08h.0,922,938,NUREDDIN,nureddin,zart,ADJD,zart,9128,,
qd,m08h.0,922,938,NUREDDIN,nureddin,gesteigert,VVPP,steigern,9128,,
qd,m08h.0,922,938,NUREDDIN,nureddin,.,$.,--,9128,,
qd,m08h.0,2256,2315,CHOR,chor,Der,ART,der,9128,,
qd,m08h.0,2256,2315,CHOR,chor,Chor,NN,chor,9128,,(2)
qd,m08h.0,2256,2315,CHOR,chor,zieht,VVFIN,ziehen,9128,,
qd,m08h.0,2256,2315,CHOR,chor,sich,PRF,sich,9128,,
qd,m08h.0,2256,2315,CHOR,chor,während,APPR,während,9128,,
qd,m08h.0,2256,2315,CHOR,chor,der,ART,der,9128,,
qd,m08h.0,2256,2315,CHOR,chor,letzten,ADJA,letzter,9128,,
qd,m08h.0,2256,2315,CHOR,chor,Worte,NN,wort,9128,,
qd,m08h.0,2256,2315,CHOR,chor,leise,ADJD,leise,9128,,
qd,m08h.0,2256,2315,CHOR,chor,zurück,PTKVZ,zurück,9128,,
qd,m08h.0,2256,2315,CHOR,chor,.,$.,--,9128,,
qd,m08h.0,2365,2381,_Stage,_Stage,Nureddin,NE,nureddin,9128,,(1)
qd,m08h.0,2365,2381,_Stage,_Stage,allein,ADV,allein,9128,,
qd,m08h.0,2365,2381,_Stage,_Stage,.,$.,--,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,fährt,VVFIN,fahren,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,vom,APPRART,von,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,Lager,NN,lager,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,empor,ADJA,empor,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,",","$,",--,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,erhebt,VVFIN,erheben,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,sich,PRF,sich,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,und,KON,und,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,tritt,VVFIN,treten,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,in,APPR,in,9128,,
qd,m08h.0,2394,2458,NUREDDIN,nureddin,den,ART,der,9128,,
