corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,mgfp.0,306,46682,0,320,1760,0
qd,mgfp.0,306,46682,0,1773,4862,0
qd,mgfp.0,306,46682,0,4875,13089,0
qd,mgfp.0,306,46682,0,13102,14951,0
qd,mgfp.0,306,46682,0,14964,17094,0
qd,mgfp.0,306,46682,0,17108,20363,0
qd,mgfp.0,306,46682,0,20376,25335,0
qd,mgfp.0,306,46682,0,25349,26536,0
qd,mgfp.0,306,46682,0,26550,26877,0
qd,mgfp.0,306,46682,0,26891,28007,0
qd,mgfp.0,306,46682,0,28020,29491,0
qd,mgfp.0,306,46682,0,29505,34349,0
qd,mgfp.0,306,46682,0,34362,40006,0
qd,mgfp.0,306,46682,0,40019,42635,0
qd,mgfp.0,306,46682,0,42649,46682,0
qd,mgfp.0,46698,78592,0,46712,48737,0
qd,mgfp.0,46698,78592,0,48751,52115,0
qd,mgfp.0,46698,78592,0,52129,53267,0
qd,mgfp.0,46698,78592,0,53280,54876,0
qd,mgfp.0,46698,78592,0,54890,59743,0
qd,mgfp.0,46698,78592,0,59756,62985,0
qd,mgfp.0,46698,78592,0,62999,64920,0
qd,mgfp.0,46698,78592,0,64933,67136,0
qd,mgfp.0,46698,78592,0,67150,71849,0
qd,mgfp.0,46698,78592,0,71862,74981,0
qd,mgfp.0,46698,78592,0,74994,78592,0
qd,mgfp.0,78608,118405,0,78622,79629,0
qd,mgfp.0,78608,118405,0,79643,82816,0
qd,mgfp.0,78608,118405,0,82829,83240,0
qd,mgfp.0,78608,118405,0,83254,85627,0
qd,mgfp.0,78608,118405,0,85641,87340,0
qd,mgfp.0,78608,118405,0,87353,89880,0
qd,mgfp.0,78608,118405,0,89893,91334,0
qd,mgfp.0,78608,118405,0,91348,94867,0
qd,mgfp.0,78608,118405,0,94881,97587,0
qd,mgfp.0,78608,118405,0,97600,98952,0
qd,mgfp.0,78608,118405,0,98965,101186,0
qd,mgfp.0,78608,118405,0,101200,103061,0
qd,mgfp.0,78608,118405,0,103075,103436,0
qd,mgfp.0,78608,118405,0,103449,113532,0
qd,mgfp.0,78608,118405,0,113546,118405,0
