corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,mk3n.0,314,560,_Stage,_Stage,Scene,NE,scene,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Ein,ART,ein,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Zimmer,NN,zimmer,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,mit,APPR,mit,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Steinwänden,NN,steinwand,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,",","$,",--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,auf,APPR,auf,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,beiden,PIDAT,beide,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Seiten,NN,seite,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Karyatiden,NN,karyatide,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Hans,NE,hans,7545,,(2)
qd,mk3n.0,314,560,_Stage,_Stage,Volk,NE,volk,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,liegt,VVFIN,liegen,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,in,APPR,in,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Decken,NN,decken,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,gehüllt,VVPP,hüllen,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,",","$,",--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,eine,ART,ein,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Schlafmütze,NN,schlafmütze,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,auf,APPR,auf,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,dem,ART,der,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Haupte,NN,haupte,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,",","$,",--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,auf,APPR,auf,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,einem,ART,ein,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Bette,NN,bette,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,und,KON,und,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,schläft,VVFIN,schlafen,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Aufrecht,NN,aufrecht,7545,,(0)
qd,mk3n.0,314,560,_Stage,_Stage,und,KON,und,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Kriechel,NN,kriechel,7545,,(1)
qd,mk3n.0,314,560,_Stage,_Stage,im,APPRART,in,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Gespräch,NN,gespräch,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Aufrecht,NE,aufrecht,7545,,(0)
qd,mk3n.0,314,560,_Stage,_Stage,spricht,VVFIN,sprechen,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,durchgehends,NN,durchgehends,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,mit,APPR,mit,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,starker,ADJA,stark,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,Stimme,NN,stimme,7545,,
qd,mk3n.0,314,560,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,3501,3527,HANS,hans,gähnt,ADJD,gähnen,7545,,
qd,mk3n.0,3501,3527,HANS,hans,mit,APPR,mit,7545,,
qd,mk3n.0,3501,3527,HANS,hans,donnerndem,ADJA,donnernd,7545,,
qd,mk3n.0,3501,3527,HANS,hans,Tone,NN,tone,7545,,
qd,mk3n.0,3501,3527,HANS,hans,.,$.,--,7545,,
qd,mk3n.0,3553,3565,AUFRECHT,aufrecht,will,VMFIN,wollen,7545,,
qd,mk3n.0,3553,3565,AUFRECHT,aufrecht,zu,PTKZU,zu,7545,,
qd,mk3n.0,3553,3565,AUFRECHT,aufrecht,ihm,PPER,ihm,7545,,
qd,mk3n.0,3553,3565,AUFRECHT,aufrecht,.,$.,--,7545,,
qd,mk3n.0,3625,3647,KRIECHEL,kriechel,Aufrecht,NN,aufrecht,7545,,(0)
qd,mk3n.0,3625,3647,KRIECHEL,kriechel,fest,ADJD,fest,7545,,
qd,mk3n.0,3625,3647,KRIECHEL,kriechel,haltend,ADJD,haltend,7545,,
qd,mk3n.0,3625,3647,KRIECHEL,kriechel,.,$.,--,7545,,
qd,mk3n.0,4583,4620,HANS,hans,mit,APPR,mit,7545,,
qd,mk3n.0,4583,4620,HANS,hans,tiefster,ADJA,tief,7545,,
qd,mk3n.0,4583,4620,HANS,hans,schläfrigster,ADJA,schläfrig,7545,,
qd,mk3n.0,4583,4620,HANS,hans,Baßstimme,NN,baßstimme,7545,,
qd,mk3n.0,4583,4620,HANS,hans,.,$.,--,7545,,
qd,mk3n.0,4695,4708,KRIECHEL,kriechel,eilt,ADJD,eilen,7545,,
qd,mk3n.0,4695,4708,KRIECHEL,kriechel,zu,APPR,zu,7545,,
qd,mk3n.0,4695,4708,KRIECHEL,kriechel,Hans,NE,hans,7545,,(2)
qd,mk3n.0,4695,4708,KRIECHEL,kriechel,.,$.,--,7545,,
qd,mk3n.0,7141,7153,KRIECHEL,kriechel,Kriechel,NE,kriechel,7545,,(1)
qd,mk3n.0,7141,7153,KRIECHEL,kriechel,ab,PTKVZ,ab,7545,,
qd,mk3n.0,7141,7153,KRIECHEL,kriechel,.,$.,--,7545,,
qd,mk3n.0,11133,11164,_Stage,_Stage,Kriechel,NE,kriechel,7545,,(1)
qd,mk3n.0,11133,11164,_Stage,_Stage,tritt,VVFIN,treten,7545,,
qd,mk3n.0,11133,11164,_Stage,_Stage,ein,ART,ein,7545,,
qd,mk3n.0,11133,11164,_Stage,_Stage,mit,APPR,mit,7545,,
qd,mk3n.0,11133,11164,_Stage,_Stage,Dienern,NN,diener,7545,,
qd,mk3n.0,11133,11164,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,11404,11410,HANS,hans,lacht,VVFIN,lachen,7545,,
qd,mk3n.0,11404,11410,HANS,hans,.,$.,--,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,wird,VAFIN,werden,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,angegriffen,VVPP,angreifen,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,",","$,",--,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,und,KON,und,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,schlägt,VVFIN,schlagen,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,um,APPR,um,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,sich,PRF,sich,7545,,
qd,mk3n.0,11593,11631,AUFRECHT,aufrecht,.,$.,--,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,Er,PPER,er,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,wird,VAFIN,werden,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,hinausgeworfen,VVPP,hinauswerfen,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,.,$.,--,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,Diener,NN,diener,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,ab,PTKVZ,ab,7545,,
qd,mk3n.0,11940,11974,AUFRECHT,aufrecht,.,$.,--,7545,,
qd,mk3n.0,12655,12667,KRIECHEL,kriechel,Kriechel,NE,kriechel,7545,,(1)
qd,mk3n.0,12655,12667,KRIECHEL,kriechel,ab,PTKVZ,ab,7545,,
qd,mk3n.0,12655,12667,KRIECHEL,kriechel,.,$.,--,7545,,
qd,mk3n.0,12794,12809,HANS,hans,Er,PPER,er,7545,,
qd,mk3n.0,12794,12809,HANS,hans,schläft,VVFIN,schlafen,7545,,
qd,mk3n.0,12794,12809,HANS,hans,ein,PTKVZ,ein,7545,,
qd,mk3n.0,12794,12809,HANS,hans,.,$.,--,7545,,
qd,mk3n.0,12860,12875,_Stage,_Stage,Chor,NN,chor,7545,,
qd,mk3n.0,12860,12875,_Stage,_Stage,der,ART,der,7545,,
qd,mk3n.0,12860,12875,_Stage,_Stage,Wände,NN,wand,7545,,
qd,mk3n.0,12860,12875,_Stage,_Stage,.,$.,--,7545,,
qd,mk3n.0,13740,13748,BEIDE CHÖRE,beide_chöre,Strophe,NN,strophe,7545,,
qd,mk3n.0,13740,13748,BEIDE CHÖRE,beide_chöre,.,$.,--,7545,,
qd,mk3n.0,14206,14219,BEIDE CHÖRE,beide_chöre,Gegenstrophe,NN,gegenstrophe,7545,,
qd,mk3n.0,14206,14219,BEIDE CHÖRE,beide_chöre,.,$.,--,7545,,
qd,mk3n.0,14730,14843,_Stage,_Stage,Es,PPER,es,7545,,
qd,mk3n.0,14730,14843,_Stage,_Stage,treten,VVFIN,treten,7545,,
qd,mk3n.0,14730,14843,_Stage,_Stage,ein,ART,ein,7545,,
qd,mk3n.0,14730,14843,_Stage,_Stage,:,$.,--,7545,,
qd,mk3n.0,14730,14843,_Stage,_Stage,Dr,NN,dr,7545,,
