corpus,drama,figure_surface,figure_id,Gender,Age
qd,mr3k.0,ERSTER POLNISCHER SOLDAT,erster_polnischer_soldat,,
qd,mr3k.0,DIENER BEI RENYS,diener_bei_renys,,
qd,mr3k.0,RODE,rode,,
qd,mr3k.0,ERSTER REISIG,erster_reisig,,
qd,mr3k.0,EIN HAUPTMANN,ein_hauptmann,,
qd,mr3k.0,MERHEIM,walther,,
qd,mr3k.0,ERSTER DIENER,erster_diener,,
qd,mr3k.0,ZENGER,zenger,,
qd,mr3k.0,SOLDAT,soldat,,
qd,mr3k.0,RITTER,ritter,,
qd,mr3k.0,DER BURGEMEISTER VON MARIENBURG,der_burgemeister_von_marienburg,,
qd,mr3k.0,POLKAU,polkau,,
qd,mr3k.0,CZERVANY,czervany,,
qd,mr3k.0,HAUPTMANN,hauptmann,,
qd,mr3k.0,HERMANN GANS,hermann_gans,,
qd,mr3k.0,KUNTZ,kuntz,,
qd,mr3k.0,STIMME,stimme,,
qd,mr3k.0,SCHÄVEN,schäven,,
qd,mr3k.0,GESANG,gesang,,
qd,mr3k.0,HANNS VON BAYSEN,baysen,,
qd,mr3k.0,GRAF VON KYBURG,graf_von_kyburg,,
qd,mr3k.0,SCHLOSSWART,schlosswart,,
qd,mr3k.0,FÜR ALLE,graf_sayn,,
qd,mr3k.0,EIN RITTER,ein_ritter,,
qd,mr3k.0,KINTHENAU,friedrich_von_kinthenau,,
qd,mr3k.0,BAUER,bauer,,
qd,mr3k.0,KÜCHMEISTER,küchmeister,,
qd,mr3k.0,ERSTER SOLDAT,erster_soldat,,
qd,mr3k.0,BURGWART,burgwart,,
qd,mr3k.0,ERSTER BAUER,erster_bauer,,
qd,mr3k.0,ZWEITER REISIG,zweiter_reisig,,
qd,mr3k.0,KÖNIG,könig,,
qd,mr3k.0,ZWEITER DIENER,zweiter_diener,,
qd,mr3k.0,ZWEITER POLNISCHER SOLDAT,zweiter_polnischer_soldat,,
qd,mr3k.0,LANGSCHENKEL,langschenkel,,
qd,mr3k.0,ZWEITER BAUER,zweiter_bauer,,
qd,mr3k.0,HEROLD,herold,,
qd,mr3k.0,EIN DIENER BEI KÜCHMEISTER,diener_bei_küchmeister,,
qd,mr3k.0,GÜNTHER VON SCHWARZBURG,günther_von_schwarzburg,,
qd,mr3k.0,ZWEITE STIMME,zweite_stimme,,
qd,mr3k.0,DRITTER DIENER,dritter_diener,,
qd,mr3k.0,ZWEITER SOLDAT,zweiter_soldat,,
qd,mr3k.0,GRAF HEINRICH VON PLAUEN,heinrich_von_plauen,,
qd,mr3k.0,GERTRUD,gertrud,,
qd,mr3k.0,HOHENKIRCH,hohenkirch,,
qd,mr3k.0,JOLANTE,jolante,,
qd,mr3k.0,WIRSBERG,georg_von_wirsberg,,
qd,mr3k.0,MEHRERE BAUERN,mehrere_bauern,,
qd,mr3k.0,WUTTKE,wuttke,,
qd,mr3k.0,ROMINTA,rominta,,
qd,mr3k.0,JOHANN VON SCHÖNFELD,johann_von_schönfeld,,
qd,mr3k.0,DIETRICH,dietrich,,
qd,mr3k.0,ERSTE STIMME,erste_stimme,,
qd,mr3k.0,SÖLDNER,mehrere_söldner,,
qd,mr3k.0,ELSBETH,elsbeth,,
qd,mr3k.0,RENYS,renys,,
