corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,mr3k.0,erster_polnischer_soldat,15,
qd,mr3k.0,ein_diener_bei_renys,42,
qd,mr3k.0,rode,3,
qd,mr3k.0,erster_reisig,50,
qd,mr3k.0,ein_hauptmann,18,
qd,mr3k.0,walther,1,
qd,mr3k.0,erster_diener,47,
qd,mr3k.0,zenger,0,
qd,mr3k.0,soldat,20,
qd,mr3k.0,ritter,14,
qd,mr3k.0,der_burgemeister_von_marienburg,25,
qd,mr3k.0,polkau,31,
qd,mr3k.0,czervany,23,
qd,mr3k.0,hauptmann,32,
qd,mr3k.0,hermann_gans,9,
qd,mr3k.0,kuntz,29,
qd,mr3k.0,stimme,46,
qd,mr3k.0,schäven,33,
qd,mr3k.0,gesang,19,
qd,mr3k.0,hanns_von_baysen,21,
qd,mr3k.0,graf_von_kyburg,10,
qd,mr3k.0,schlosswart,55,
qd,mr3k.0,graf_sayn,36,
qd,mr3k.0,ein_ritter,26,
qd,mr3k.0,friedrich_von_kinthenau,30,
qd,mr3k.0,bauer,13,
qd,mr3k.0,küchmeister,2,
qd,mr3k.0,erster_soldat,7,
qd,mr3k.0,burgwart,41,
qd,mr3k.0,erster_bauer,52,
qd,mr3k.0,zweiter_reisig,51,
qd,mr3k.0,könig,35,
qd,mr3k.0,zweiter_diener,48,
qd,mr3k.0,zweiter_polnischer_soldat,16,
qd,mr3k.0,langschenkel,24,
qd,mr3k.0,zweiter_bauer,53,
qd,mr3k.0,herold,27,
qd,mr3k.0,ein_diener_bei_küchmeister,43,
qd,mr3k.0,graf_schwarzburg,12,
qd,mr3k.0,zweite_stimme,45,
qd,mr3k.0,dritter_diener,49,
qd,mr3k.0,zweiter_soldat,8,
qd,mr3k.0,graf_heinrich_von_plauen,17,
qd,mr3k.0,gertrud,37,
qd,mr3k.0,jost_von_hohenkirch,34,
qd,mr3k.0,jolante,5,
qd,mr3k.0,georg_von_wirsberg,6,
qd,mr3k.0,mehrere_bauern,54,
qd,mr3k.0,wuttke,28,
qd,mr3k.0,rominta,4,
qd,mr3k.0,johann_von_schönfeld,11,
qd,mr3k.0,dietrich,39,
qd,mr3k.0,erste_stimme,44,
qd,mr3k.0,mehrere_söldner,22,
qd,mr3k.0,elsbeth,38,
qd,mr3k.0,renys,40,
