corpus,drama,figure_surface,figure_id,Gender,Age
qd,msdg.0,ER,er,,
qd,msdg.0,WILLIBALD,willibald,,
qd,msdg.0,ERSTER DIENER,erster_diener,,
qd,msdg.0,PAPHNUTIUS,paphnutius,,
qd,msdg.0,VIERTER BÜRGER,vierter_bürger,,
qd,msdg.0,KRIEGSGESANG,kriegsgesang,,
qd,msdg.0,RALF,ralf,,
qd,msdg.0,ANDRER BÜRGER,andrer_bürger,,
qd,msdg.0,VIERTER SOLDAT,vierter_soldat,,
qd,msdg.0,KUNZ,kunz,,
qd,msdg.0,ZWEITER JÄGER,zweiter_jäger,,
qd,msdg.0,BAUERN,bauern,,
qd,msdg.0,ANDRE,andre,,
qd,msdg.0,VATER,vater,,
qd,msdg.0,MATHILDE,mathilde,,
qd,msdg.0,GYMNASIAST,gymnasiast,,
qd,msdg.0,ZWEITER SOLDAT,zweiter_soldat,,
qd,msdg.0,DRITTER DIENER,dritter_diener,,
qd,msdg.0,BÜRGERMEISTER,bürgermeister,,
qd,msdg.0,ZWEITER DIENER,zweiter_diener,,
qd,msdg.0,VIERTER DIENER,vierter_diener,,
qd,msdg.0,REIGEN,reigen,,
qd,msdg.0,SECHSTER DIENER,sechster_diener,,
qd,msdg.0,ERSTER SOLDAT,erster_soldat,,
qd,msdg.0,ZWEITER BÜRGER,zweiter_bürger,,
qd,msdg.0,SECHSTER BÜRGER,sechster_bürger,,
qd,msdg.0,KÖNIG,könig,,
qd,msdg.0,FÜNFTER BÜRGER,fünfter_bürger,,
qd,msdg.0,FREIMUND,freimund,,
qd,msdg.0,BLAUE,blaue,,
qd,msdg.0,SOLDATEN,soldaten,,
qd,msdg.0,GENERAL,general,,
qd,msdg.0,BIESTER,biester,,
qd,msdg.0,NICOLAI,nicolai,,
qd,msdg.0,DRITTER JÄGER,dritter_jäger,,
qd,msdg.0,FÜNFTER DIENER,fünfter_diener,,
qd,msdg.0,OBERJÄGERMEISTER,oberjägermeister,,
qd,msdg.0,DRITTER SOLDAT,dritter_soldat,,
qd,msdg.0,DRAUSSEN,draussen,,
qd,msdg.0,OFFIZIER,offizier,,
qd,msdg.0,ERSTER BÜRGER,erster_bürger,,
qd,msdg.0,DRITTER BÜRGER,dritter_bürger,,
qd,msdg.0,NARR,narr,,
qd,msdg.0,ZEHNTER BÜRGER,zehnter_bürger,,
qd,msdg.0,NEUNTER BÜRGER,neunter_bürger,,
qd,msdg.0,COLOMBINE,colombine,,
qd,msdg.0,BAUER,bauer,,
qd,msdg.0,NOTHANKER,nothanker,,
qd,msdg.0,WÄCHTER,wächter,,
qd,msdg.0,TÄNZER,tänzer,,
qd,msdg.0,DIE SCHLEPPTRAGENDEN JÜNGLINGE,die_schlepptragenden_jünglinge,,
qd,msdg.0,SIE,sie,,
qd,msdg.0,SIEBENTER BÜRGER,siebenter_bürger,,
qd,msdg.0,GESANG,gesang,,
qd,msdg.0,ACHTER BÜRGER,achter_bürger,,
qd,msdg.0,ERSTER JÄGER,erster_jäger,,
