corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,mvqk.0,834,915,_Stage,_Stage,Der,ART,der,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,Führer,NN,führer,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,der,ART,der,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,Komödianten,NN,komödiant,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,",","$,",--,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,genannt,VVPP,nennen,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,der,ART,der,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,actor,ADJA,actor,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,",","$,",--,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,tritt,VVFIN,treten,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,auf,PTKVZ,auf,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,",","$,",--,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,neigt,VVFIN,neigen,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,sich,PRF,sich,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,und,KON,und,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,spricht,VVFIN,sprechen,18272,,
qd,mvqk.0,834,915,_Stage,_Stage,.,$.,--,18272,,
qd,mvqk.0,2864,2867,_Stage,_Stage,Ab,APPR,ab,18272,,
qd,mvqk.0,2864,2867,_Stage,_Stage,.,$.,--,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Vor,APPR,vor,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,der,ART,der,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Hölle,NN,hölle,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,.,$.,--,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Phantastische,ADJA,phantastisch,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Szenerie,NN,szenerie,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,und,KON,und,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Beleuchtung,NN,beleuchtung,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,.,$.,--,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Im,APPRART,in,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Hintergrunde,NN,hintergrunde,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,ein,ART,ein,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,Tor,NN,tor,18272,,
qd,mvqk.0,2920,2999,_Stage,_Stage,.,$.,--,18272,,
qd,mvqk.0,3010,3041,CHARON,charon,kommt,VVFIN,kommen,18272,,
qd,mvqk.0,3010,3041,CHARON,charon,und,KON,und,18272,,
qd,mvqk.0,3010,3041,CHARON,charon,spricht,VVFIN,sprechen,18272,,
qd,mvqk.0,3010,3041,CHARON,charon,verdrießlich,ADJD,verdrießlich,18272,,
qd,mvqk.0,3010,3041,CHARON,charon,.,$.,--,18272,,
qd,mvqk.0,3410,3415,CHARON,charon,Ruft,NN,ruft,18272,,
qd,mvqk.0,3410,3415,CHARON,charon,.,$.,--,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,Pluto,NE,pluto,18272,,(1)
qd,mvqk.0,3650,3706,_Stage,_Stage,erscheint,VVFIN,erscheinen,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,unter,APPR,unter,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,Donnergetöse,NN,donnergetöse,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,aus,APPR,aus,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,dem,ART,der,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,feurigen,ADJA,feurig,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,Tor,NN,tor,18272,,
qd,mvqk.0,3650,3706,_Stage,_Stage,.,$.,--,18272,,
qd,mvqk.0,6589,6596,CHARON,charon,bockig,ADJD,bockig,18272,,
qd,mvqk.0,6589,6596,CHARON,charon,.,$.,--,18272,,
qd,mvqk.0,6812,6828,PLUTO,pluto,Ruft,NN,ruft,18272,,
qd,mvqk.0,6812,6828,PLUTO,pluto,in,APPR,in,18272,,
qd,mvqk.0,6812,6828,PLUTO,pluto,das,ART,der,18272,,
qd,mvqk.0,6812,6828,PLUTO,pluto,Tor,NN,tor,18272,,
qd,mvqk.0,6812,6828,PLUTO,pluto,.,$.,--,18272,,
