corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,mvqs.0,6341,6408,_Stage,_Stage,Im,APPRART,in,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,herzoglichen,ADJA,herzoglich,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,Palais,NE,palais,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,zu,PTKZU,zu,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,Mitau,VVINF,mitau,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,Hinterbühne,NN,hinterbühne,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,um,APPR,um,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,drei,CARD,drei,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,Stufen,NN,stufe,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,erhöht,VVPP,erhöhen,31162,,
qd,mvqs.0,6341,6408,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,Eingänge,NN,eingang,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,rechts,ADV,rechts,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,und,KON,und,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,links,ADV,links,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,In,APPR,in,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,der,ART,der,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,Mitte,NN,mitte,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,ein,ART,ein,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,breites,ADJA,breit,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,Fenster,NN,fenster,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,",","$,",--,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,durch,APPR,durch,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,das,PRELS,der,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,man,PIS,man,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,eine,ART,ein,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,verschneite,ADJA,verschneit,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,Parklandschaft,NN,parklandschaft,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,sieht,VVFIN,sehen,31162,,
qd,mvqs.0,6411,6524,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Vorderbühne,NN,vorderbühne,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,mit,APPR,mit,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Möbeln,NN,möbel,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,im,APPRART,in,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Stile,NN,stil,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Louis,NE,louis,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,XIV,NE,xiv,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Tischchen,NN,tischchen,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,und,KON,und,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Sitzmöbel,NN,sitzmöbel,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,–,XY,–,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Eingang,NN,eingang,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,links,ADV,links,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,vorn,ADV,vorn,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,–,XY,–,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Farben,NN,farbe,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,hellbraun,VVFIN,hellbraun,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,und,KON,und,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,silbern,VVFIN,silbern,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,.,$.,--,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,–,XY,–,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Die,ART,der,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,ganze,ADJA,ganz,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Bühne,NN,bühne,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,ist,VAFIN,sein,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,mit,APPR,mit,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Rosen,NN,rose,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,übersät,ADJD,übersät,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,–,XY,–,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,überall,ADV,überall,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,stehen,VVFIN,stehen,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,höhere,ADJA,hoch,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,und,KON,und,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,niedere,ADJA,niedern,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Rosensträucher,NN,rosensträucher,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,",","$,",--,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,die,ART,der,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,rote,ADJA,rot,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,und,KON,und,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,rosenfarbene,ADJA,rosenfarben,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,Blüten,NN,blüte,31162,,
qd,mvqs.0,6527,6800,_Stage,_Stage,tragen,VVINF,tragen,31162,,
