corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,mvr3.0,576,1115,_stage,1010,1016,Roland,roland
qd,mvr3.0,1215,1309,rat_klemens,1285,1291,meinem,rat_klemens
qd,mvr3.0,1651,1850,rat_klemens,1665,1668,Ich,rat_klemens
qd,mvr3.0,1651,1850,rat_klemens,1781,1785,mein,rat_klemens
qd,mvr3.0,1855,1972,roland,1899,1910,Rat Klemens,rat_klemens
qd,mvr3.0,1977,2070,bürgerst,2032,2038,Roland,roland
qd,mvr3.0,1977,2070,bürgerst,2044,2049,Melak,melak
qd,mvr3.0,2273,2334,rat_klemens,2287,2290,Ich,rat_klemens
qd,mvr3.0,2536,2691,bürgerst,2572,2583,Rat Klemens,rat_klemens
qd,mvr3.0,2536,2691,bürgerst,2619,2622,Ich,bürgerst
qd,mvr3.0,2696,2738,roland,2722,2725,Ich,roland
qd,mvr3.0,2743,2856,bürgerst,2848,2851,ich,bürgerst
qd,mvr3.0,2861,2991,femlna,2892,2895,ich,femlna
qd,mvr3.0,3143,3390,bürgerst,3269,3275,Roland,roland
qd,mvr3.0,3143,3390,bürgerst,3320,3323,mir,bürgerst
qd,mvr3.0,3395,3475,bürgerst,3411,3414,Ich,bürgerst
qd,mvr3.0,3395,3475,bürgerst,3458,3461,mir,bürgerst
qd,mvr3.0,3836,3967,rat_klemens,3850,3853,Ich,rat_klemens
qd,mvr3.0,3836,3967,rat_klemens,3873,3876,Ich,rat_klemens
qd,mvr3.0,3836,3967,rat_klemens,3942,3948,Roland,roland
qd,mvr3.0,4075,4118,femlna,4084,4087,Ich,femlna
qd,mvr3.0,4273,4358,bürgerst,4316,4319,ich,bürgerst
qd,mvr3.0,4430,4708,bürgerst,4580,4583,ich,bürgerst
qd,mvr3.0,4430,4708,bürgerst,4635,4638,ich,bürgerst
qd,mvr3.0,4430,4708,bürgerst,4695,4700,meine,bürgerst
qd,mvr3.0,4749,4888,bürgerst,4837,4840,mir,bürgerst
qd,mvr3.0,4969,5045,roland,5009,5012,Ich,roland
qd,mvr3.0,5138,5191,rat_klemens,5152,5155,Ich,rat_klemens
qd,mvr3.0,5196,5319,bürgerst,5217,5228,Rat Klemens,rat_klemens
qd,mvr3.0,5365,5404,_stage,5383,5389,Roland,roland
qd,mvr3.0,5607,5710,rat_klemens,5682,5686,mich,rat_klemens
qd,mvr3.0,5716,5751,femlna,5746,5750,mich,femlna
qd,mvr3.0,5756,5794,roland,5778,5784,Weiber,weiber
qd,mvr3.0,5799,5869,rat_klemens,5817,5820,Ich,rat_klemens
qd,mvr3.0,5799,5869,rat_klemens,5829,5835,Weiber,weiber
qd,mvr3.0,5981,6024,rat_klemens,6007,6010,ich,rat_klemens
qd,mvr3.0,6090,6132,_stage,6090,6101,Rat Klemens,rat_klemens
qd,mvr3.0,6137,6188,bürgerst,6153,6156,Ich,bürgerst
qd,mvr3.0,6193,6302,femlna,6202,6205,Ich,femlna
qd,mvr3.0,6193,6302,femlna,6237,6241,mich,femlna
qd,mvr3.0,6193,6302,femlna,6259,6262,ich,femlna
qd,mvr3.0,6432,6540,femlna,6455,6458,ich,femlna
qd,mvr3.0,6432,6540,femlna,6459,6463,mich,femlna
qd,mvr3.0,6638,6695,bürgerst,6661,6664,mir,bürgerst
qd,mvr3.0,7009,7101,femlna,7050,7053,Ich,femlna
qd,mvr3.0,7176,7223,femlna,7209,7212,ich,femlna
qd,mvr3.0,7228,7351,roland,7261,7265,mich,roland
qd,mvr3.0,7399,7512,räte,7441,7447,Roland,roland
qd,mvr3.0,7518,7586,roland,7532,7536,mich,roland
qd,mvr3.0,7939,9065,bürgerst,7955,7958,Ich,bürgerst
qd,mvr3.0,7939,9065,bürgerst,8278,8283,Melak,melak
qd,mvr3.0,7939,9065,bürgerst,8323,8326,ich,bürgerst
qd,mvr3.0,7939,9065,bürgerst,8327,8330,mir,bürgerst
qd,mvr3.0,7939,9065,bürgerst,8348,8351,ich,bürgerst
qd,mvr3.0,7939,9065,bürgerst,8615,8620,Meine,bürgerst
qd,mvr3.0,7939,9065,bürgerst,8667,8673,Stimme,stimme
qd,mvr3.0,9178,9244,bürgerst,9198,9203,meine,bürgerst
qd,mvr3.0,9300,9464,bürgerst,9357,9360,ich,bürgerst
qd,mvr3.0,9469,9581,rat_klemens,9483,9496,Die Franzosen,die_franzosen
