corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,mvrf.0,568,790,_stage,599,604,Weber,lothar
qd,mvrf.0,793,888,_stage,793,797,Karl,karl
qd,mvrf.0,793,888,_stage,818,823,Selma,selma
qd,mvrf.0,1023,1113,selma,1061,1064,Mir,selma
qd,mvrf.0,1023,1113,selma,1078,1081,Ich,selma
qd,mvrf.0,1023,1113,selma,1087,1091,mich,selma
qd,mvrf.0,1118,1187,karl,1156,1159,Mir,karl
qd,mvrf.0,1118,1187,karl,1166,1169,Ich,karl
qd,mvrf.0,1192,1378,selma,1220,1223,ich,selma
qd,mvrf.0,1192,1378,selma,1269,1272,ich,selma
qd,mvrf.0,1192,1378,selma,1273,1277,mich,selma
qd,mvrf.0,1192,1378,selma,1338,1342,mich,selma
qd,mvrf.0,1192,1378,selma,1373,1377,Karl,karl
qd,mvrf.0,1384,1418,karl,1398,1403,Selma,selma
qd,mvrf.0,1423,1468,selma,1460,1463,ich,selma
qd,mvrf.0,1473,1496,karl,1480,1485,Meine,karl
qd,mvrf.0,1501,1567,selma,1559,1562,ich,selma
qd,mvrf.0,1600,1689,selma,1631,1634,ich,selma
qd,mvrf.0,1600,1689,selma,1646,1649,mir,selma
qd,mvrf.0,1600,1689,selma,1674,1677,ich,selma
qd,mvrf.0,1744,1960,karl,1751,1756,Selma,selma
qd,mvrf.0,1744,1960,karl,1769,1772,ich,karl
qd,mvrf.0,1744,1960,karl,1808,1811,ich,karl
qd,mvrf.0,1744,1960,karl,1863,1866,mir,karl
qd,mvrf.0,1744,1960,karl,1923,1927,mich,karl
qd,mvrf.0,1744,1960,karl,1956,1959,ich,karl
qd,mvrf.0,1965,2018,selma,1981,1985,mein,selma
qd,mvrf.0,1965,2018,selma,1986,1990,Karl,karl
qd,mvrf.0,2024,2078,karl,2047,2050,ich,karl
qd,mvrf.0,2024,2078,karl,2052,2057,Selma,selma
qd,mvrf.0,2083,2123,selma,2096,2099,ich,selma
qd,mvrf.0,2128,2153,karl,2147,2152,Selma,selma
qd,mvrf.0,2158,2182,selma,2170,2176,meinen,selma
qd,mvrf.0,2231,2288,selma,2247,2251,Karl,karl
qd,mvrf.0,2414,2445,selma,2425,2431,meinem,selma
