corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,n2kq.0,724,938,BOX,box,Nun,ADV,nun,28718,,
qd,n2kq.0,724,938,BOX,box,",","$,",--,28718,,
qd,n2kq.0,724,938,BOX,box,Gordon,NE,gordon,28718,gordon,(1)
qd,n2kq.0,724,938,BOX,box,",","$,",--,28718,,
qd,n2kq.0,724,938,BOX,box,der,ART,der,28718,,
qd,n2kq.0,724,938,BOX,box,Herr,NN,herr,28718,,
qd,n2kq.0,724,938,BOX,box,Graf,NN,graf,28718,,
qd,n2kq.0,724,938,BOX,box,hat,VAFIN,haben,28718,,
qd,n2kq.0,724,938,BOX,box,schon,ADV,schon,28718,,
qd,n2kq.0,724,938,BOX,box,dreimal,ADV,dreimal,28718,,
qd,n2kq.0,724,938,BOX,box,nach,APPR,nach,28718,,
qd,n2kq.0,724,938,BOX,box,dir,PPER,dir,28718,,
qd,n2kq.0,724,938,BOX,box,gefragt,VVPP,fragen,28718,,
qd,n2kq.0,724,938,BOX,box,;,$.,--,28718,,
qd,n2kq.0,724,938,BOX,box,wie,KOKOM,wie,28718,,
qd,n2kq.0,724,938,BOX,box,steht,VVFIN,stehen,28718,,
qd,n2kq.0,724,938,BOX,box,',$[,--,28718,,
qd,n2kq.0,724,938,BOX,box,s,PPER,--,28718,,
qd,n2kq.0,724,938,BOX,box,mit,APPR,mit,28718,,
qd,n2kq.0,724,938,BOX,box,Lovelace,NN,lovelace,28718,,
qd,n2kq.0,724,938,BOX,box,",","$,",--,28718,,
qd,n2kq.0,724,938,BOX,box,unserm,APPRART,unser,28718,,
qd,n2kq.0,724,938,BOX,box,Reitpferd,NN,reitpferd,28718,,
qd,n2kq.0,724,938,BOX,box,?,$.,--,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Sage,NE,sage,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,dem,ART,der,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Grafen,NN,grafe,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,",","$,",--,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,er,PPER,er,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,soll,VMFIN,sollen,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,den,ART,der,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Stallbedienten,NN,stallbedient,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,schwarzen,ADJA,schwarz,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Trauerflor,NN,trauerflor,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,kaufen,VVINF,kaufen,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,",","$,",--,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,das,ART,der,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,beste,ADJA,gut,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Pferd,NN,pferd,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,der,ART,der,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Residenz,NN,residenz,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,geht,VVFIN,gehen,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,zum,APPRART,zu,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,Teufel,NN,teufel,28718,,
qd,n2kq.0,943,1070,GORDON,gordon,.,$.,--,28718,,
qd,n2kq.0,1075,1100,BOX,box,So,ADV,so,28718,,
qd,n2kq.0,1075,1100,BOX,box,ist,VAFIN,sein,28718,,
qd,n2kq.0,1075,1100,BOX,box,keine,PIAT,kein,28718,,
qd,n2kq.0,1075,1100,BOX,box,Hilfe,NN,hilfe,28718,,
qd,n2kq.0,1075,1100,BOX,box,?,$.,--,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,Wie,PWAV,wie,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,soll,VMFIN,sollen,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,man,PIS,man,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,helfen,VVINF,helfen,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,",","$,",--,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,wenn,KOUS,wenn,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,der,ART,der,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,Leib,NN,leib,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,aufgerissen,VVPP,aufreißen,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,ist,VAFIN,sein,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,wie,KOKOM,wie,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,eine,ART,ein,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,lecke,ADJA,leck,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,Tonne,NN,tonne,28718,,
qd,n2kq.0,1105,1346,GORDON,gordon,?,$.,--,28718,,
