corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,n3cn.0,599,28821,0,613,5426,0
qd,n3cn.0,599,28821,0,5439,6373,0
qd,n3cn.0,599,28821,0,6386,7444,0
qd,n3cn.0,599,28821,0,7457,10793,0
qd,n3cn.0,599,28821,0,10806,13941,0
qd,n3cn.0,599,28821,0,13954,15276,0
qd,n3cn.0,599,28821,0,15290,20059,0
qd,n3cn.0,599,28821,0,20072,24435,0
qd,n3cn.0,599,28821,0,24448,27907,0
qd,n3cn.0,599,28821,0,27920,28821,0
qd,n3cn.0,28836,56707,0,28850,30407,0
qd,n3cn.0,28836,56707,0,30420,32967,0
qd,n3cn.0,28836,56707,0,32980,33680,0
qd,n3cn.0,28836,56707,0,33693,34368,0
qd,n3cn.0,28836,56707,0,34381,37267,0
qd,n3cn.0,28836,56707,0,37280,42706,0
qd,n3cn.0,28836,56707,0,42720,51831,0
qd,n3cn.0,28836,56707,0,51845,53559,0
qd,n3cn.0,28836,56707,0,53573,56707,0
qd,n3cn.0,56722,80879,0,56736,59934,0
qd,n3cn.0,56722,80879,0,59948,62604,0
qd,n3cn.0,56722,80879,0,62617,65823,0
qd,n3cn.0,56722,80879,0,65837,66467,0
qd,n3cn.0,56722,80879,0,66480,67405,0
qd,n3cn.0,56722,80879,0,67418,69325,0
qd,n3cn.0,56722,80879,0,69339,72769,0
qd,n3cn.0,56722,80879,0,72782,77829,0
qd,n3cn.0,56722,80879,0,77842,80879,0
qd,n3cn.0,80894,107814,0,80908,84017,0
qd,n3cn.0,80894,107814,0,84030,85722,0
qd,n3cn.0,80894,107814,0,85735,86587,0
qd,n3cn.0,80894,107814,0,86601,87994,0
qd,n3cn.0,80894,107814,0,88008,90664,0
qd,n3cn.0,80894,107814,0,90678,93056,0
qd,n3cn.0,80894,107814,0,93069,94869,0
qd,n3cn.0,80894,107814,0,94883,99212,0
qd,n3cn.0,80894,107814,0,99225,100237,0
qd,n3cn.0,80894,107814,0,100250,107629,0
qd,n3cn.0,80894,107814,0,107642,107814,0
qd,n3cn.0,107829,124979,0,107843,110380,0
qd,n3cn.0,107829,124979,0,110393,111449,0
qd,n3cn.0,107829,124979,0,111462,113105,0
qd,n3cn.0,107829,124979,0,113119,114576,0
qd,n3cn.0,107829,124979,0,114590,118409,0
qd,n3cn.0,107829,124979,0,118423,123712,0
qd,n3cn.0,107829,124979,0,123725,124352,0
qd,n3cn.0,107829,124979,0,124365,124979,0
