corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,n750.0,385,507,LOTTCHEN,lottchen,Lieber,ADJD,lieb,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Papa,NN,papa,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,",","$,",--,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Herr,NN,herr,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Damis,NE,damis,27779,damis,(3)
qd,n750.0,385,507,LOTTCHEN,lottchen,ist,VAFIN,sein,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,da,ADV,da,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,.,$.,--,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Der,ART,der,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Tee,NN,tee,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,ist,VAFIN,sein,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,schon,ADV,schon,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,in,APPR,in,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,dem,ART,der,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Garten,NN,garten,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,;,$.,--,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,wenn,KOUS,wenn,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,Sie,PPER,sie,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,so,ADV,so,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,gut,ADJD,gut,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,sein,VAINF,sein,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,und,KON,und,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,hinuntergehen,VVINF,hinuntergehen,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,wollen,VMFIN,wollen,27779,,
qd,n750.0,385,507,LOTTCHEN,lottchen,?,$.,--,27779,,
qd,n750.0,512,538,CLEON,cleon,Wo,PWAV,wo,27779,,
qd,n750.0,512,538,CLEON,cleon,ist,VAFIN,sein,27779,,
qd,n750.0,512,538,CLEON,cleon,Herr,NN,herr,27779,,
qd,n750.0,512,538,CLEON,cleon,Damis,NE,damis,27779,damis,(3)
qd,n750.0,512,538,CLEON,cleon,?,$.,--,27779,,
qd,n750.0,543,574,LOTTCHEN,lottchen,Er,PPER,er,27779,,
qd,n750.0,543,574,LOTTCHEN,lottchen,redt,VVFIN,redt,27779,,
qd,n750.0,543,574,LOTTCHEN,lottchen,mit,APPR,mit,27779,,
qd,n750.0,543,574,LOTTCHEN,lottchen,Julchen,NN,julchen,27779,julchen,(4)
qd,n750.0,543,574,LOTTCHEN,lottchen,.,$.,--,27779,,
qd,n750.0,579,878,CLEON,cleon,Meine,PPOSAT,mein,27779,cleon,(1)
qd,n750.0,579,878,CLEON,cleon,Tochter,NN,tochter,27779,,
qd,n750.0,579,878,CLEON,cleon,",","$,",--,27779,,
qd,n750.0,579,878,CLEON,cleon,ist,VAFIN,sein,27779,,
qd,n750.0,579,878,CLEON,cleon,dir,PPER,dir,27779,,
qd,n750.0,579,878,CLEON,cleon,',$[,--,27779,,
qd,n750.0,579,878,CLEON,cleon,s,PPER,--,27779,,
qd,n750.0,579,878,CLEON,cleon,auch,ADV,auch,27779,,
qd,n750.0,579,878,CLEON,cleon,zuwider,PTKVZ,zuwider,27779,,
qd,n750.0,579,878,CLEON,cleon,",","$,",--,27779,,
qd,n750.0,579,878,CLEON,cleon,daß,KOUS,daß,27779,,
qd,n750.0,579,878,CLEON,cleon,ich,PPER,ich,27779,cleon,(1)
qd,n750.0,579,878,CLEON,cleon,den,ART,der,27779,,
qd,n750.0,579,878,CLEON,cleon,Herrn,NN,herr,27779,,
qd,n750.0,579,878,CLEON,cleon,Damis,NE,dami,27779,damis,(3)
qd,n750.0,579,878,CLEON,cleon,auf,APPR,auf,27779,,
qd,n750.0,579,878,CLEON,cleon,eine,ART,ein,27779,,
qd,n750.0,579,878,CLEON,cleon,Tasse,NN,tasse,27779,,
qd,n750.0,579,878,CLEON,cleon,Tee,NN,tee,27779,,
qd,n750.0,579,878,CLEON,cleon,zu,APPR,zu,27779,,
qd,n750.0,579,878,CLEON,cleon,mir,PPER,sich,27779,cleon,(1)
qd,n750.0,579,878,CLEON,cleon,gebeten,VVPP,bitten,27779,,
qd,n750.0,579,878,CLEON,cleon,habe,VAFIN,haben,27779,,
qd,n750.0,579,878,CLEON,cleon,?,$.,--,27779,,
qd,n750.0,579,878,CLEON,cleon,Du,PPER,du,27779,,
qd,n750.0,579,878,CLEON,cleon,merkst,VAFIN,merken,27779,,
qd,n750.0,579,878,CLEON,cleon,doch,ADV,doch,27779,,
qd,n750.0,579,878,CLEON,cleon,wohl,ADV,wohl,27779,,
qd,n750.0,579,878,CLEON,cleon,seine,PPOSAT,sein,27779,,
qd,n750.0,579,878,CLEON,cleon,Absicht,NN,absicht,27779,,
qd,n750.0,579,878,CLEON,cleon,?,$.,--,27779,,
qd,n750.0,579,878,CLEON,cleon,Geht,VVFIN,gehen,27779,,
qd,n750.0,579,878,CLEON,cleon,dir,PPER,dir,27779,,
qd,n750.0,579,878,CLEON,cleon,',$[,--,27779,,
qd,n750.0,579,878,CLEON,cleon,s,PPER,--,27779,,
qd,n750.0,579,878,CLEON,cleon,auch,ADV,auch,27779,,
qd,n750.0,579,878,CLEON,cleon,nahe,ADJD,nahe,27779,,
qd,n750.0,579,878,CLEON,cleon,?,$.,--,27779,,
qd,n750.0,579,878,CLEON,cleon,Du,PPER,du,27779,,
qd,n750.0,579,878,CLEON,cleon,gutes,ADJA,gut,27779,,
qd,n750.0,579,878,CLEON,cleon,Kind,NN,kind,27779,,
qd,n750.0,579,878,CLEON,cleon,",","$,",--,27779,,
qd,n750.0,579,878,CLEON,cleon,du,PPER,du,27779,,
qd,n750.0,579,878,CLEON,cleon,dauerst,VVFIN,dauerst,27779,,
