corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,nds0.0,381,458,ANSELMO,anselmo,Hilf,VVIMP,hilf,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,dem,ART,der,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,armen,ADJA,arm,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,Gaddo,NN,gaddo,20033,gaddo,(2)
qd,nds0.0,381,458,ANSELMO,anselmo,",","$,",--,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,mein,PPOSAT,mein,20033,anselmo,(0)
qd,nds0.0,381,458,ANSELMO,anselmo,Vater,NN,vater,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,"!",$.,--,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,Sein,PPOSAT,sein,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,Anblick,NN,anblick,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,dringt,VVFIN,dringen,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,mir,PPER,sich,20033,anselmo,(0)
qd,nds0.0,381,458,ANSELMO,anselmo,ans,APPRART,an,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,Herz,NN,herz,20033,,
qd,nds0.0,381,458,ANSELMO,anselmo,.,$.,--,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,Guten,ADJA,gute,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,Mut,NN,mut,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,",","$,",--,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,mein,PPOSAT,mein,20033,ugolino,(1)
qd,nds0.0,463,520,UGOLINO,ugolino,wackrer,ADJA,wackr,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,Anselmo,NN,anselmo,20033,anselmo,(0)
qd,nds0.0,463,520,UGOLINO,ugolino,.,$.,--,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,–,XY,–,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,Armer,PIDAT,armer,20033,,
qd,nds0.0,463,520,UGOLINO,ugolino,Gaddo,NN,gaddo,20033,gaddo,(2)
qd,nds0.0,463,520,UGOLINO,ugolino,"!",$.,--,20033,,
qd,nds0.0,525,549,GADDO,gaddo,Ach,ITJ,ach,20033,,
qd,nds0.0,525,549,GADDO,gaddo,",","$,",--,20033,,
