corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,nks0.0,32432,32448,_stage,32432,32438,Arsene,arsene
qd,nks0.0,32451,33072,arsene,32493,32496,ich,arsene
qd,nks0.0,32451,33072,arsene,32497,32501,mich,arsene
qd,nks0.0,32451,33072,arsene,32527,32531,Cato,cato
qd,nks0.0,32451,33072,arsene,32532,32535,mir,arsene
qd,nks0.0,32451,33072,arsene,32580,32583,ich,arsene
qd,nks0.0,32451,33072,arsene,32660,32663,Ich,arsene
qd,nks0.0,32451,33072,arsene,32680,32684,mein,arsene
qd,nks0.0,32451,33072,arsene,32728,32731,ich,arsene
qd,nks0.0,32451,33072,arsene,32732,32736,mich,arsene
qd,nks0.0,32451,33072,arsene,32776,32780,mich,arsene
qd,nks0.0,32451,33072,arsene,32798,32802,Mein,arsene
qd,nks0.0,32451,33072,arsene,32905,32914,Pharnaces,pharnaces
qd,nks0.0,32451,33072,arsene,33016,33020,mich,arsene
qd,nks0.0,32451,33072,arsene,33034,33037,ich,arsene
qd,nks0.0,33078,33281,phönice,33215,33224,Pharnaces,pharnaces
qd,nks0.0,33561,34513,arsene,33570,33573,Ich,arsene
qd,nks0.0,33561,34513,arsene,33588,33592,mich,arsene
qd,nks0.0,33561,34513,arsene,33625,33630,meine,arsene
qd,nks0.0,33561,34513,arsene,33675,33679,Mein,arsene
qd,nks0.0,33561,34513,arsene,33729,33732,mir,arsene
qd,nks0.0,33561,34513,arsene,33793,33797,mich,arsene
qd,nks0.0,33561,34513,arsene,34209,34212,ich,arsene
qd,nks0.0,33561,34513,arsene,34254,34257,ich,arsene
qd,nks0.0,33561,34513,arsene,34269,34273,mein,arsene
qd,nks0.0,33561,34513,arsene,34301,34304,Ich,arsene
qd,nks0.0,33561,34513,arsene,34335,34339,mein,arsene
qd,nks0.0,34740,35375,arsene,34764,34767,ich,arsene
qd,nks0.0,34740,35375,arsene,34824,34828,mich,arsene
qd,nks0.0,34740,35375,arsene,34848,34852,Mich,arsene
qd,nks0.0,34740,35375,arsene,35005,35008,ich,arsene
qd,nks0.0,34740,35375,arsene,35023,35027,mein,arsene
qd,nks0.0,34740,35375,arsene,35130,35136,meiner,arsene
qd,nks0.0,34740,35375,arsene,35173,35177,mein,arsene
qd,nks0.0,34740,35375,arsene,35330,35334,mein,arsene
qd,nks0.0,34740,35375,arsene,35360,35364,mein,arsene
