corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Ach,ITJ,ach,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,",","$,",--,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,liebe,VVFIN,lieb,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Schwester,NN,schwester,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,"!",$.,--,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,wenn,KOUS,wenn,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,doch,ADV,doch,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,nur,ADV,nur,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,heute,ADV,heute,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,unsrer,ADJA,unsrer,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Frau,NN,frau,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Muhme,NE,muhme,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,keine,PIAT,kein,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Verhinderung,NN,verhinderung,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,in,APPR,in,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,den,ART,der,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Weg,NN,weg,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,käme,VVFIN,kommen,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,;,$.,--,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,daß,KOUS,daß,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,sie,PPER,sie,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,das,ART,der,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,Testament,NN,testament,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,machen,VVINF,machen,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,könnte,VMFIN,können,30070,,
qd,nm24.0,546,696,FRÄULEIN AMALIE,fräulein_amalie,"!",$.,--,30070,,
qd,nm24.0,701,736,FRÄULEIN KAROLINE,fräulein_karoline,Warum,PWAV,warum,30070,,
qd,nm24.0,701,736,FRÄULEIN KAROLINE,fräulein_karoline,denn,KON,denn,30070,,
qd,nm24.0,701,736,FRÄULEIN KAROLINE,fräulein_karoline,das,PDS,der,30070,,
qd,nm24.0,701,736,FRÄULEIN KAROLINE,fräulein_karoline,?,$.,--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,Ei,NN,ei,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,nun,ADV,nun,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,"!",$.,--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,Weil,KOUS,weil,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,sie,PPER,sie,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,sich,PRF,sich,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,',$[,--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,s,PPER,--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,doch,ADV,doch,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,einmal,ADV,einmal,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,vorgenommen,VVPP,vornehmen,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,hat,VAFIN,haben,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,",","$,",--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,ihre,PPOSAT,ihr,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,Sachen,NN,sache,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,in,APPR,in,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,Richtigkeit,NN,richtigkeit,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,zu,PTKZU,zu,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,bringen,VVINF,bringen,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,:,$.,--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,so,ADV,so,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,wüßte,VVFIN,wissen,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,doch,ADV,doch,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,ein,ART,ein,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,jeder,PIS,jeder,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,",","$,",--,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,woran,PWAV,woran,30070,,
qd,nm24.0,741,890,FRÄULEIN AMALIE,fräulein_amalie,er,PPER,er,30070,,
