corpus,drama,figure_surface,figure_id,Gender,Age
qd,nm2b.0,DER DIENER,der_diener,,
qd,nm2b.0,HERR GLAUBELEICHT,herr_glaubeleicht,,
qd,nm2b.0,JUNGFER LUISCHEN,jungfer_luischen,,
qd,nm2b.0,CATHRINE,cathrine,,
qd,nm2b.0,HERR LIEBMANN,herr_liebmann,,
qd,nm2b.0,JACOB,jacob,,
qd,nm2b.0,HERR VON MUCKERSDORFF,herr_von_muckersdorff,,
qd,nm2b.0,HERR SCHEINFROMM,herr_scheinfromm,,
qd,nm2b.0,FRAU ZANCKENHEIMIN,frau_zanckenheimin,,
qd,nm2b.0,FRAU EHRLICHEN,frau_ehrlichen,,
qd,nm2b.0,FRAU GLAUBELEICHTIN,frau_glaubeleichtin,,
qd,nm2b.0,FRAU BETTELSACKIN,frau_bettelsackin,,
qd,nm2b.0,FRAU SEUFFZERIN,frau_seuffzerin,,
qd,nm2b.0,DER ADVOCAT,der_advocat,,
qd,nm2b.0,HERR WACKERMANN,herr_wackermann,,
qd,nm2b.0,JUNGFER DORCHEN,jungfer_dorchen,,
