corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,nm2b.0,11908,43334,0,11922,19151,0
qd,nm2b.0,11908,43334,0,19164,23677,0
qd,nm2b.0,11908,43334,0,23689,26490,0
qd,nm2b.0,11908,43334,0,26504,30483,0
qd,nm2b.0,11908,43334,0,30496,34837,0
qd,nm2b.0,11908,43334,0,34852,43334,0
qd,nm2b.0,43351,70871,0,43365,45225,0
qd,nm2b.0,43351,70871,0,45240,52581,0
qd,nm2b.0,43351,70871,0,52594,57740,0
qd,nm2b.0,43351,70871,0,57754,58574,0
qd,nm2b.0,43351,70871,0,58588,63716,0
qd,nm2b.0,43351,70871,0,63730,64494,0
qd,nm2b.0,43351,70871,0,64507,69688,0
qd,nm2b.0,43351,70871,0,69703,70871,0
qd,nm2b.0,70887,92395,0,70901,72243,0
qd,nm2b.0,70887,92395,0,72256,74391,0
qd,nm2b.0,70887,92395,0,74404,78281,0
qd,nm2b.0,70887,92395,0,78295,78674,0
qd,nm2b.0,70887,92395,0,78687,81006,0
qd,nm2b.0,70887,92395,0,81019,84638,0
qd,nm2b.0,70887,92395,0,84651,86369,0
qd,nm2b.0,70887,92395,0,86383,90271,0
qd,nm2b.0,70887,92395,0,90284,92395,0
qd,nm2b.0,92411,134447,0,92425,100106,0
qd,nm2b.0,92411,134447,0,100120,107399,0
qd,nm2b.0,92411,134447,0,107413,107944,0
qd,nm2b.0,92411,134447,0,107957,111340,0
qd,nm2b.0,92411,134447,0,111355,112831,0
qd,nm2b.0,92411,134447,0,112844,124866,0
qd,nm2b.0,92411,134447,0,124879,129963,0
qd,nm2b.0,92411,134447,0,129977,134447,0
qd,nm2b.0,134463,160593,0,134477,136097,0
qd,nm2b.0,134463,160593,0,136110,136995,0
qd,nm2b.0,134463,160593,0,137008,139485,0
qd,nm2b.0,134463,160593,0,139499,141790,0
qd,nm2b.0,134463,160593,0,141803,145333,0
qd,nm2b.0,134463,160593,0,145346,145802,0
qd,nm2b.0,134463,160593,0,145816,156212,0
qd,nm2b.0,134463,160593,0,156226,159395,0
qd,nm2b.0,134463,160593,0,159408,160593,0
