corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,nmg0.0,406,41779,0,420,21268,0
qd,nmg0.0,406,41779,0,21282,41779,0
qd,nmg0.0,41795,84030,0,41809,66081,0
qd,nmg0.0,41795,84030,0,66094,84030,0
qd,nmg0.0,84046,108857,0,84060,90212,0
qd,nmg0.0,84046,108857,0,90225,102632,0
qd,nmg0.0,84046,108857,0,102646,108857,0
qd,nmg0.0,108873,151084,0,108887,117371,0
qd,nmg0.0,108873,151084,0,117385,120748,0
qd,nmg0.0,108873,151084,0,120761,129560,0
qd,nmg0.0,108873,151084,0,129574,151084,0
