corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,nmg5.0,884,913,_Stage,_Stage,Die,ART,der,55470,,
qd,nmg5.0,884,913,_Stage,_Stage,Ostseeküste,NN,ostseeküste,55470,,
qd,nmg5.0,884,913,_Stage,_Stage,bei,APPR,bei,55470,,
qd,nmg5.0,884,913,_Stage,_Stage,Nyköping,NE,nyköping,55470,,
qd,nmg5.0,884,913,_Stage,_Stage,.,$.,--,55470,,
qd,nmg5.0,923,933,BIÖRN,biörn,tritt,VVFIN,treten,55470,,
qd,nmg5.0,923,933,BIÖRN,biörn,auf,PTKVZ,auf,55470,,
qd,nmg5.0,923,933,BIÖRN,biörn,.,$.,--,55470,,
qd,nmg5.0,982,1011,BIÖRN,biörn,Ein,ART,ein,55470,,
qd,nmg5.0,982,1011,BIÖRN,biörn,Soldat,NN,soldat,55470,,(1)
qd,nmg5.0,982,1011,BIÖRN,biörn,kommt,VVFIN,kommen,55470,,
qd,nmg5.0,982,1011,BIÖRN,biörn,voller,ADJA,voll,55470,,
qd,nmg5.0,982,1011,BIÖRN,biörn,Eile,NN,eile,55470,,
qd,nmg5.0,982,1011,BIÖRN,biörn,.,$.,--,55470,,
qd,nmg5.0,1526,1543,BERDOA,berdoa,hinter,APPR,hinter,55470,,
qd,nmg5.0,1526,1543,BERDOA,berdoa,der,ART,der,55470,,
qd,nmg5.0,1526,1543,BERDOA,berdoa,Szene,NN,szene,55470,,
qd,nmg5.0,1526,1543,BERDOA,berdoa,.,$.,--,55470,,
qd,nmg5.0,1675,1692,BERDOA,berdoa,hinter,APPR,hinter,55470,,
qd,nmg5.0,1675,1692,BERDOA,berdoa,der,ART,der,55470,,
qd,nmg5.0,1675,1692,BERDOA,berdoa,Szene,NN,szene,55470,,
qd,nmg5.0,1675,1692,BERDOA,berdoa,.,$.,--,55470,,
qd,nmg5.0,1911,1928,BERDOA,berdoa,hinter,APPR,hinter,55470,,
qd,nmg5.0,1911,1928,BERDOA,berdoa,der,ART,der,55470,,
qd,nmg5.0,1911,1928,BERDOA,berdoa,Szene,NN,szene,55470,,
qd,nmg5.0,1911,1928,BERDOA,berdoa,.,$.,--,55470,,
qd,nmg5.0,2280,2297,VIELE STIMMEN,viele_stimmen,hinter,APPR,hinter,55470,,
qd,nmg5.0,2280,2297,VIELE STIMMEN,viele_stimmen,der,ART,der,55470,,
qd,nmg5.0,2280,2297,VIELE STIMMEN,viele_stimmen,Szene,NN,szene,55470,,
qd,nmg5.0,2280,2297,VIELE STIMMEN,viele_stimmen,.,$.,--,55470,,
qd,nmg5.0,2492,2508,BIÖRN,biörn,Zu,APPR,zu,55470,,
qd,nmg5.0,2492,2508,BIÖRN,biörn,dem,ART,der,55470,,
qd,nmg5.0,2492,2508,BIÖRN,biörn,Soldaten,NN,soldat,55470,,
qd,nmg5.0,2492,2508,BIÖRN,biörn,.,$.,--,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,Er,PPER,er,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,geht,VVFIN,gehen,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,ab,PTKVZ,ab,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,;,$.,--,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,Stimmen,NN,stimme,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,in,APPR,in,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,der,ART,der,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,Ferne,NN,ferne,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,rufen,VVFIN,rufen,55470,,
qd,nmg5.0,2892,2931,BIÖRN,biörn,.,$.,--,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,Usbek,NE,usbek,55470,,(4)
qd,nmg5.0,2987,3073,BIÖRN,biörn,tritt,VVFIN,treten,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,sehr,ADV,sehr,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,rasch,ADJD,rasch,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,auf,PTKVZ,auf,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,",","$,",--,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,in,APPR,in,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,der,ART,der,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,Hand,NN,hand,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,ein,ART,ein,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,finnisches,ADJA,finnisch,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,Feldzeichen,NN,feldzeichen,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,;,$.,--,55470,,
qd,nmg5.0,2987,3073,BIÖRN,biörn,Finnen,NN,finne,55470,,(7)
qd,nmg5.0,2987,3073,BIÖRN,biörn,folgen,VVFIN,folgen,55470,,
