corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,npm2.0,543,600,_stage,543,547,Leon,leon
qd,npm2.0,543,600,_stage,572,585,Hausverwalter,hausverwalter
qd,npm2.0,603,653,leon,609,612,Ich,leon
qd,npm2.0,658,720,hausverwalter,694,697,ich,hausverwalter
qd,npm2.0,725,860,leon,770,773,ich,leon
qd,npm2.0,936,1016,leon,950,954,mein,leon
qd,npm2.0,936,1016,leon,989,992,ich,leon
qd,npm2.0,1130,1232,leon,1177,1181,mich,leon
qd,npm2.0,1130,1232,leon,1187,1191,mein,leon
qd,npm2.0,1297,2265,leon,1338,1341,mir,leon
qd,npm2.0,1297,2265,leon,1535,1538,ich,leon
qd,npm2.0,1297,2265,leon,1562,1565,ich,leon
qd,npm2.0,1297,2265,leon,1572,1575,Ich,leon
qd,npm2.0,1297,2265,leon,1703,1706,ich,leon
qd,npm2.0,1297,2265,leon,1721,1724,mir,leon
qd,npm2.0,1297,2265,leon,1764,1767,ich,leon
qd,npm2.0,1297,2265,leon,1776,1781,meine,leon
qd,npm2.0,1297,2265,leon,1856,1859,ich,leon
qd,npm2.0,1297,2265,leon,1916,1919,ich,leon
qd,npm2.0,1297,2265,leon,2002,2006,mich,leon
qd,npm2.0,2331,3545,leon,2338,2342,Mich,leon
qd,npm2.0,2331,3545,leon,2381,2384,Ich,leon
qd,npm2.0,2331,3545,leon,2407,2412,meine,leon
qd,npm2.0,2331,3545,leon,2438,2442,mein,leon
qd,npm2.0,2331,3545,leon,2624,2627,ich,leon
qd,npm2.0,2331,3545,leon,2727,2730,ich,leon
qd,npm2.0,2331,3545,leon,2766,2770,mein,leon
qd,npm2.0,2331,3545,leon,2836,2839,ich,leon
qd,npm2.0,2331,3545,leon,2972,2975,ich,leon
qd,npm2.0,2331,3545,leon,3155,3158,ich,leon
qd,npm2.0,2331,3545,leon,3206,3209,mir,leon
qd,npm2.0,2331,3545,leon,3269,3272,ich,leon
qd,npm2.0,2331,3545,leon,3301,3304,ich,leon
qd,npm2.0,2331,3545,leon,3359,3362,ich,leon
qd,npm2.0,2331,3545,leon,3378,3381,ich,leon
qd,npm2.0,2331,3545,leon,3535,3538,ich,leon
qd,npm2.0,3662,4254,leon,3720,3723,Ich,leon
qd,npm2.0,3662,4254,leon,3830,3833,mir,leon
qd,npm2.0,3662,4254,leon,3861,3864,ich,leon
qd,npm2.0,3662,4254,leon,4004,4007,ich,leon
qd,npm2.0,3662,4254,leon,4021,4024,ich,leon
qd,npm2.0,3662,4254,leon,4042,4045,mir,leon
qd,npm2.0,3662,4254,leon,4073,4077,Mich,leon
qd,npm2.0,3662,4254,leon,4132,4135,ich,leon
qd,npm2.0,3662,4254,leon,4166,4170,mich,leon
qd,npm2.0,3662,4254,leon,4176,4179,ich,leon
qd,npm2.0,3662,4254,leon,4213,4216,ich,leon
qd,npm2.0,3662,4254,leon,4227,4230,ich,leon
qd,npm2.0,4308,4328,leon,4318,4321,ich,leon
qd,npm2.0,4372,4565,leon,4420,4423,mir,leon
qd,npm2.0,4372,4565,leon,4443,4446,Mir,leon
qd,npm2.0,4372,4565,leon,4447,4452,meine,leon
qd,npm2.0,4729,5405,leon,4886,4890,mich,leon
qd,npm2.0,4729,5405,leon,4914,4917,mir,leon
qd,npm2.0,4729,5405,leon,5183,5186,ich,leon
