corpus,drama,figure_surface,figure_id,Gender,Age
qd,ns3r.0,BITTSTELLER,bittsteller,,
qd,ns3r.0,ZWEITER BITTSTELLER,zweiter_bittsteller,,
qd,ns3r.0,DRITTER BITTSTELLER,dritter_bittsteller,,
qd,ns3r.0,RAHEL,rahel,,
qd,ns3r.0,ISAAK,isaak,,
qd,ns3r.0,VON AUSSEN,von_aussen,,
qd,ns3r.0,KÖNIGIN,königin,,
qd,ns3r.0,MANRIQUE,manrique,,
qd,ns3r.0,KNAPPE,knappe,,
qd,ns3r.0,EINE WEIBERSTIMME,eine_weiberstimme,,
qd,ns3r.0,KAMMERFRAU,kammerfrau,,
qd,ns3r.0,ESTHER,esther,,
qd,ns3r.0,KÖNIG,könig,,
qd,ns3r.0,GARCERAN,garceran,,
qd,ns3r.0,DIENER,diener,,
