corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,Lauf,NN,lauf,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,",","$,",--,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,Barbara,NE,barbara,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,"!",$.,--,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,lauf,APPR,lauf,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,schnell,ADJD,schnell,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,nach,APPR,nach,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,Meister,NN,meister,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,Niklas,NE,niklas,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,"!",$.,--,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,Die,ART,der,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,Königin,NN,königin,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,scheint,VVFIN,scheinen,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,wohl,ADV,wohl,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,",","$,",--,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,doch,KON,doch,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,trau,VVFIN,trau,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,ich,PPER,ich,34139,elisabeth,(0)
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,nicht,PTKNEG,nicht,34139,,
qd,nttc.0,1406,1542,ELISABETH,frau_elisabeth,.,$.,--,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,Hast,VAFIN,haben,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,du,PPER,du,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,den,ART,der,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,Balsam,NN,balsam,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,?,$.,--,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,Gut,ADJD,gut,34139,,
qd,nttc.0,1547,1669,ELISABETH,frau_elisabeth,",","$,",--,34139,,
