corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,nv2j.0,455,536,_Stage,_Stage,Zimbeln,NN,zimbel,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,und,KON,und,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,Flöten,NN,flöte,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,und,KON,und,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,verworrener,ADJA,verworren,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,Volkszuruf,NN,volkszuruf,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,in,APPR,in,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,der,ART,der,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,Ferne,NN,ferne,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,Rhamnes,NE,rhamnes,21041,,(0)
qd,nv2j.0,455,536,_Stage,_Stage,stürzt,VVFIN,stürzen,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,herein,PTKVZ,herein,21041,,
qd,nv2j.0,455,536,_Stage,_Stage,.,$.,--,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,Eucharis,NE,eucharis,21041,,(6)
qd,nv2j.0,781,835,RHAMNES,rhamnes,",","$,",--,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,Melitta,NE,melitta,21041,,(1)
qd,nv2j.0,781,835,RHAMNES,rhamnes,und,KON,und,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,Dienerinnen,NN,dienerin,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,aus,APPR,aus,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,dem,ART,der,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,Säulengange,NN,säulengange,21041,,
qd,nv2j.0,781,835,RHAMNES,rhamnes,.,$.,--,21041,,
qd,nv2j.0,977,994,VOLK,geschrei,hinter,APPR,hinter,21041,,
qd,nv2j.0,977,994,VOLK,geschrei,der,ART,der,21041,,
qd,nv2j.0,977,994,VOLK,geschrei,Bühne,NN,bühne,21041,,
qd,nv2j.0,977,994,VOLK,geschrei,.,$.,--,21041,,
qd,nv2j.0,1716,1733,VOLK,geschrei,hinter,APPR,hinter,21041,,
qd,nv2j.0,1716,1733,VOLK,geschrei,der,ART,der,21041,,
qd,nv2j.0,1716,1733,VOLK,geschrei,Bühne,NN,bühne,21041,,
qd,nv2j.0,1716,1733,VOLK,geschrei,.,$.,--,21041,,
qd,nv2j.0,1774,1789,RHAMNES,rhamnes,zu,APPR,zu,21041,,
qd,nv2j.0,1774,1789,RHAMNES,rhamnes,den,ART,der,21041,,
qd,nv2j.0,1774,1789,RHAMNES,rhamnes,Mädchen,NN,mädchen,21041,,
qd,nv2j.0,1774,1789,RHAMNES,rhamnes,.,$.,--,21041,,
qd,nv2j.0,2689,2716,RHAMNES,rhamnes,Er,PPER,er,21041,,
qd,nv2j.0,2689,2716,RHAMNES,rhamnes,treibt,VVFIN,treiben,21041,,
qd,nv2j.0,2689,2716,RHAMNES,rhamnes,die,ART,der,21041,,
qd,nv2j.0,2689,2716,RHAMNES,rhamnes,Mädchen,NN,mädchen,21041,,
qd,nv2j.0,2689,2716,RHAMNES,rhamnes,fort,PTKVZ,fort,21041,,
qd,nv2j.0,2689,2716,RHAMNES,rhamnes,.,$.,--,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,Sappho,NE,sappho,21041,,(3)
qd,nv2j.0,2853,3073,_Stage,_Stage,",","$,",--,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,köstlich,ADJD,köstlich,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,gekleidet,VVPP,kleiden,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,",","$,",--,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,auf,APPR,auf,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,einem,ART,ein,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,mit,APPR,mit,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,weißen,ADJA,weiß,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,Pferden,NN,pferd,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,bespannten,ADJA,bespannt,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,Wagen,NN,wagen,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,",","$,",--,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,eine,ART,ein,21041,,
qd,nv2j.0,2853,3073,_Stage,_Stage,goldne,ADJA,goldn,21041,,
