corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,nvk1.0,595,738,_Stage,_Stage,Saal,NN,saal,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,in,APPR,in,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Bancbanus,NE,bancbanus,26151,,(1)
qd,nvk1.0,595,738,_Stage,_Stage,Hause,NN,haus,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Hohe,ADJA,hoch,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Bogenfenster,NN,bogenfenster,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,",","$,",--,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,altertümliches,ADJA,altertümlich,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,",","$,",--,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,unscheinbares,ADJA,unscheinbar,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Geräte,NN,gerät,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,schicklich,ADJD,schicklich,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,verteilt,VVPP,verteilen,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Lichter,NN,licht,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,auf,APPR,auf,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,dem,ART,der,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Tische,NN,tisch,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Vor,APPR,vor,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,Tagesanbruch,NN,tagesanbruch,26151,,
qd,nvk1.0,595,738,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Bancbanus,NE,bancbanus,26151,,(1)
qd,nvk1.0,741,896,_Stage,_Stage,im,APPRART,in,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Vorgrunde,NN,vorgrunde,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,am,APPRART,an,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Tische,NN,tisch,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,stehend,ADJD,stehend,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Zwei,CARD,zwei,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Diener,NN,diener,26151,,(13)
qd,nvk1.0,741,896,_Stage,_Stage,sind,VAFIN,sein,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,beschäftigt,VVPP,beschäftigen,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,ihn,PPER,ihn,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,anzukleiden,VVIZU,anzleiden,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Der,ART,der,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,eine,PIS,ein,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,hält,VVFIN,halten,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,den,ART,der,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Kalpak,NN,kalpak,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,",","$,",--,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,der,ART,der,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,andere,ADJA,anderer,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,kniet,VVFIN,knaten,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,",","$,",--,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,die,ART,der,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,Sporne,NN,sporne,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,befestigend,ADJD,befestigend,26151,,
qd,nvk1.0,741,896,_Stage,_Stage,.,$.,--,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,tönt,VVFIN,tönen,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,unter,APPR,unter,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,Geschrei,NN,geschrei,26151,,(8)
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,",","$,",--,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,Gelächter,NN,gelächter,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,und,KON,und,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,Händeklatschen,NN,händeklatschen,26151,,
qd,nvk1.0,923,973,VON DER STRASSE HERAUF,von_der_strasse_herauf,.,$.,--,26151,,
qd,nvk1.0,1487,1523,GESANG,gesang,zur,APPRART,zu,26151,,
qd,nvk1.0,1487,1523,GESANG,gesang,Zitherbegleitung,NN,zitherbegleitung,26151,,
qd,nvk1.0,1487,1523,GESANG,gesang,auf,APPR,auf,26151,,
qd,nvk1.0,1487,1523,GESANG,gesang,der,ART,der,26151,,
qd,nvk1.0,1487,1523,GESANG,gesang,Straße,NN,straße,26151,,
qd,nvk1.0,1487,1523,GESANG,gesang,.,$.,--,26151,,
qd,nvk1.0,1610,1635,VIELE STIMMEN,viele_stimmen,unter,APPR,unter,26151,,
qd,nvk1.0,1610,1635,VIELE STIMMEN,viele_stimmen,Lärm,NN,lärm,26151,,
qd,nvk1.0,1610,1635,VIELE STIMMEN,viele_stimmen,und,KON,und,26151,,
qd,nvk1.0,1610,1635,VIELE STIMMEN,viele_stimmen,Gelächter,NN,gelächter,26151,,
qd,nvk1.0,1610,1635,VIELE STIMMEN,viele_stimmen,.,$.,--,26151,,
qd,nvk1.0,1681,1714,EIN DIENER,ein_diener,die,ART,der,26151,,
qd,nvk1.0,1681,1714,EIN DIENER,ein_diener,Faust,NN,faust,26151,,
qd,nvk1.0,1681,1714,EIN DIENER,ein_diener,vor,APPR,vor,26151,,
qd,nvk1.0,1681,1714,EIN DIENER,ein_diener,die,ART,der,26151,,
qd,nvk1.0,1681,1714,EIN DIENER,ein_diener,Stirn,NN,stirn,26151,,
