corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,p5bz.0,8179,8247,SONNSFELD,fräulein_von_sonnsfeld,Es,PPER,es,27150,,
qd,p5bz.0,8179,8247,SONNSFELD,fräulein_von_sonnsfeld,ist,VAFIN,sein,27150,,
qd,p5bz.0,8179,8247,SONNSFELD,fräulein_von_sonnsfeld,schon,ADV,schon,27150,,
qd,p5bz.0,8179,8247,SONNSFELD,fräulein_von_sonnsfeld,gut,ADJD,gut,27150,,
qd,p5bz.0,8179,8247,SONNSFELD,fräulein_von_sonnsfeld,.,$.,--,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,Wir,PPER,wir,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,wissen,VVFIN,wissen,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,schon,ADV,schon,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,",","$,",--,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,sag,VVIMP,sögen,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,',$[,--,27150,,
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,ich,PPER,ich,27150,fräulein_von_sonnsfeld,(1)
qd,p5bz.0,8297,8358,SONNSFELD,fräulein_von_sonnsfeld,.,$.,--,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,Es,PPER,es,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,ist,VAFIN,sein,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,nicht,PTKNEG,nicht,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,zum,APPRART,zu,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,Aushalten,NN,aushalten,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,.,$.,--,27150,,
qd,p5bz.0,8452,8884,SONNSFELD,fräulein_von_sonnsfeld,Die,ART,der,27150,,
