corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,p5c7.0,10043,42077,0,10057,11923,0
qd,p5c7.0,10043,42077,0,11936,15362,0
qd,p5c7.0,10043,42077,0,15375,20724,0
qd,p5c7.0,10043,42077,0,20738,28010,0
qd,p5c7.0,10043,42077,0,28023,32031,0
qd,p5c7.0,10043,42077,0,32044,36315,0
qd,p5c7.0,10043,42077,0,36329,40867,0
qd,p5c7.0,10043,42077,0,40881,42077,0
qd,p5c7.0,42092,79371,0,42106,48866,0
qd,p5c7.0,42092,79371,0,48880,51871,0
qd,p5c7.0,42092,79371,0,51884,54201,0
qd,p5c7.0,42092,79371,0,54214,56227,0
qd,p5c7.0,42092,79371,0,56240,66073,0
qd,p5c7.0,42092,79371,0,66086,79371,0
qd,p5c7.0,79386,112396,0,79400,80614,0
qd,p5c7.0,79386,112396,0,80627,81235,0
qd,p5c7.0,79386,112396,0,81248,83310,0
qd,p5c7.0,79386,112396,0,83324,86882,0
qd,p5c7.0,79386,112396,0,86895,88792,0
qd,p5c7.0,79386,112396,0,88805,96994,0
qd,p5c7.0,79386,112396,0,97007,101125,0
qd,p5c7.0,79386,112396,0,101138,102737,0
qd,p5c7.0,79386,112396,0,102751,103546,0
qd,p5c7.0,79386,112396,0,103560,110203,0
qd,p5c7.0,79386,112396,0,110216,112396,0
qd,p5c7.0,112411,139661,0,112425,113443,0
qd,p5c7.0,112411,139661,0,113456,120806,0
qd,p5c7.0,112411,139661,0,120820,127203,0
qd,p5c7.0,112411,139661,0,127216,139661,0
qd,p5c7.0,139677,164326,0,139691,141267,0
qd,p5c7.0,139677,164326,0,141281,144153,0
qd,p5c7.0,139677,164326,0,144166,146342,0
qd,p5c7.0,139677,164326,0,146355,149360,0
qd,p5c7.0,139677,164326,0,149373,158132,0
qd,p5c7.0,139677,164326,0,158145,164326,0
